cell_id,Atlapetes latinuchus,Atlapetes latinuchus nigrifrons,Atlapetes latinuchus [latinuchus Group]
826607fffffffff,4.0,0.0,1.0
82660ffffffffff,259.0,0.0,0.0
82661ffffffffff,1060.0,0.0,0.0
826627fffffffff,1260.0,675.0,0.0
82662ffffffffff,13.0,1.0,0.0
8266c7fffffffff,736.0,0.0,7.0
8266d7fffffffff,4010.0,0.0,421.0
8266dffffffffff,176.0,0.0,23.0
8266e7fffffffff,279.0,0.0,5.0
8266f7fffffffff,618.0,0.0,1.0
828f0ffffffffff,29.0,0.0,0.0
828f2ffffffffff,376.0,0.0,21.0
828f47fffffffff,118.0,0.0,8.0
828f57fffffffff,1372.0,0.0,90.0
828f5ffffffffff,66.0,0.0,0.0
828f77fffffffff,2108.0,0.0,229.0
