cell_id,Anthus correndera,Anthus correndera [correndera Group],Anthus correndera grayi
838e66fffffffff,2.0,0.0,0.0
83a905fffffffff,14.0,0.0,0.0
83a961fffffffff,2.0,0.0,0.0
83b248fffffffff,6.0,0.0,0.0
83b249fffffffff,14.0,0.0,0.0
83b24bfffffffff,3.0,0.0,0.0
83b24dfffffffff,68.0,0.0,0.0
83b259fffffffff,1.0,0.0,0.0
83b268fffffffff,3.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0
83b26afffffffff,15.0,0.0,0.0
83b26bfffffffff,3.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b2c0fffffffff,42.0,2.0,0.0
83b2c4fffffffff,22.0,14.0,0.0
83b2c5fffffffff,16.0,10.0,0.0
83b2ccfffffffff,1.0,0.0,0.0
83b2e2fffffffff,23.0,0.0,0.0
83b2e8fffffffff,17.0,0.0,0.0
83b2ecfffffffff,1.0,0.0,0.0
83b304fffffffff,3.0,0.0,0.0
83b305fffffffff,4.0,1.0,0.0
83b30cfffffffff,11.0,0.0,0.0
83b30efffffffff,2.0,0.0,0.0
83b31dfffffffff,15.0,0.0,0.0
83b323fffffffff,4.0,0.0,0.0
83b32afffffffff,10.0,0.0,0.0
83b350fffffffff,1.0,0.0,0.0
83b351fffffffff,11.0,0.0,0.0
83b354fffffffff,3.0,0.0,0.0
83b355fffffffff,3.0,0.0,0.0
83b35efffffffff,6.0,0.0,0.0
83c21bfffffffff,5.0,5.0,0.0
83c2c2fffffffff,8.0,0.0,0.0
83c2c5fffffffff,5.0,0.0,0.0
83c2c9fffffffff,13.0,0.0,0.0
83c2cdfffffffff,15.0,0.0,0.0
83c2d0fffffffff,5.0,0.0,0.0
83c2d2fffffffff,1.0,0.0,0.0
83c2d4fffffffff,8.0,0.0,0.0
83c2d5fffffffff,2.0,0.0,0.0
83c2e3fffffffff,17.0,0.0,0.0
83c2e9fffffffff,76.0,0.0,0.0
83c2eafffffffff,1.0,0.0,0.0
83c2ebfffffffff,4.0,0.0,0.0
83c2f3fffffffff,11.0,0.0,0.0
83c343fffffffff,18.0,0.0,0.0
83c34bfffffffff,35.0,0.0,0.0
83ce83fffffffff,4.0,0.0,0.0
83ce8cfffffffff,2.0,0.0,0.0
83cea3fffffffff,1.0,1.0,0.0
83cf12fffffffff,9.0,0.0,0.0
83cf16fffffffff,1.0,0.0,0.0
83cf8cfffffffff,2.0,0.0,0.0
83cfa2fffffffff,3.0,0.0,0.0
83cfa4fffffffff,12.0,3.0,0.0
83de62fffffffff,5.0,0.0,5.0
83de66fffffffff,1.0,0.0,1.0
83de70fffffffff,11.0,0.0,11.0
83de71fffffffff,3.0,0.0,2.0
83df41fffffffff,5.0,0.0,0.0
83df68fffffffff,2.0,0.0,0.0
83df69fffffffff,5.0,0.0,0.0
83df6afffffffff,3.0,0.0,0.0
83df6bfffffffff,4.0,2.0,0.0
83df6dfffffffff,3.0,0.0,0.0
