cell_id,Chaetura vauxi,Chaetura vauxi vauxi,Chaetura vauxi gaumeri,Chaetura vauxi [richmondi Group],Chaetura vauxi aphanes
831280fffffffff,38.0,0.0,0.0,0.0,0.0
831282fffffffff,3.0,0.0,0.0,0.0,0.0
831284fffffffff,20.0,0.0,0.0,0.0,0.0
831285fffffffff,6.0,0.0,0.0,0.0,0.0
831286fffffffff,2.0,0.0,0.0,0.0,0.0
831289fffffffff,4.0,0.0,0.0,0.0,0.0
83128bfffffffff,8.0,0.0,0.0,0.0,0.0
83128dfffffffff,13.0,0.0,0.0,0.0,0.0
83128efffffffff,6.0,0.0,0.0,0.0,0.0
831299fffffffff,13.0,0.0,0.0,0.0,0.0
83129afffffffff,3.0,0.0,0.0,0.0,0.0
83129bfffffffff,19.0,0.0,0.0,0.0,0.0
83129dfffffffff,3.0,0.0,0.0,0.0,0.0
8312a2fffffffff,49.0,0.0,0.0,0.0,0.0
8312a3fffffffff,11.0,0.0,0.0,0.0,0.0
8312a6fffffffff,3.0,0.0,0.0,0.0,0.0
8312abfffffffff,7.0,0.0,0.0,0.0,0.0
8312b0fffffffff,55.0,0.0,0.0,0.0,0.0
8312c0fffffffff,29.0,0.0,0.0,0.0,0.0
8312c2fffffffff,168.0,0.0,0.0,0.0,0.0
8312c3fffffffff,48.0,0.0,0.0,0.0,0.0
8312cafffffffff,114.0,0.0,0.0,0.0,0.0
8312cbfffffffff,524.0,0.0,0.0,0.0,0.0
8312cefffffffff,6.0,0.0,0.0,0.0,0.0
8312d0fffffffff,41.0,0.0,0.0,0.0,0.0
8312d1fffffffff,317.0,0.0,0.0,0.0,0.0
8312d2fffffffff,90.0,0.0,0.0,0.0,0.0
8312d3fffffffff,222.0,0.0,0.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0,0.0,0.0
8312d5fffffffff,9.0,0.0,0.0,0.0,0.0
8312d6fffffffff,73.0,0.0,0.0,0.0,0.0
8312d8fffffffff,299.0,0.0,0.0,0.0,0.0
8312d9fffffffff,261.0,0.0,0.0,0.0,0.0
8312dafffffffff,62.0,0.0,0.0,0.0,0.0
8312dbfffffffff,201.0,0.0,0.0,0.0,0.0
8312dcfffffffff,247.0,0.0,0.0,0.0,0.0
8312ddfffffffff,430.0,0.0,0.0,0.0,0.0
8312defffffffff,283.0,0.0,0.0,0.0,0.0
8312f0fffffffff,4.0,0.0,0.0,0.0,0.0
8312f1fffffffff,22.0,0.0,0.0,0.0,0.0
8312f2fffffffff,2.0,0.0,0.0,0.0,0.0
8312f3fffffffff,4.0,0.0,0.0,0.0,0.0
8312f6fffffffff,125.0,0.0,0.0,0.0,0.0
831390fffffffff,2.0,0.0,0.0,0.0,0.0
831391fffffffff,16.0,0.0,0.0,0.0,0.0
831393fffffffff,48.0,0.0,0.0,0.0,0.0
831398fffffffff,1.0,0.0,0.0,0.0,0.0
83139bfffffffff,15.0,0.0,0.0,0.0,0.0
83139efffffffff,98.0,0.0,0.0,0.0,0.0
831d24fffffffff,4.0,0.0,0.0,0.0,0.0
832790fffffffff,2.0,0.0,0.0,0.0,0.0
832792fffffffff,10.0,0.0,0.0,0.0,0.0
832800fffffffff,37.0,0.0,0.0,0.0,0.0
832802fffffffff,1868.0,0.0,0.0,0.0,0.0
832803fffffffff,40.0,0.0,0.0,0.0,0.0
832806fffffffff,196.0,0.0,0.0,0.0,0.0
832810fffffffff,260.0,0.0,0.0,0.0,0.0
832811fffffffff,121.0,0.0,0.0,0.0,0.0
832812fffffffff,209.0,0.0,0.0,0.0,0.0
832813fffffffff,74.0,0.0,0.0,0.0,0.0
832814fffffffff,362.0,0.0,0.0,0.0,0.0
832815fffffffff,65.0,0.0,0.0,0.0,0.0
832816fffffffff,3.0,0.0,0.0,0.0,0.0
832818fffffffff,254.0,0.0,0.0,0.0,0.0
832819fffffffff,30.0,0.0,0.0,0.0,0.0
83281afffffffff,258.0,0.0,0.0,0.0,0.0
83281bfffffffff,2097.0,0.0,0.0,0.0,0.0
83281cfffffffff,586.0,0.0,0.0,0.0,0.0
83281dfffffffff,28.0,0.0,0.0,0.0,0.0
83281efffffffff,935.0,0.0,0.0,0.0,0.0
832830fffffffff,1748.0,0.0,0.0,0.0,0.0
832831fffffffff,317.0,8.0,0.0,0.0,0.0
832832fffffffff,487.0,0.0,0.0,0.0,0.0
832833fffffffff,54.0,0.0,0.0,0.0,0.0
832834fffffffff,1704.0,19.0,0.0,0.0,0.0
832835fffffffff,290.0,0.0,0.0,0.0,0.0
832836fffffffff,80.0,0.0,0.0,0.0,0.0
832880fffffffff,30.0,0.0,0.0,0.0,0.0
832881fffffffff,377.0,0.0,0.0,0.0,0.0
832882fffffffff,3.0,0.0,0.0,0.0,0.0
832883fffffffff,84.0,0.0,0.0,0.0,0.0
832884fffffffff,60.0,0.0,0.0,0.0,0.0
832885fffffffff,22.0,0.0,0.0,0.0,0.0
832888fffffffff,610.0,0.0,0.0,0.0,0.0
832889fffffffff,639.0,0.0,0.0,0.0,0.0
83288afffffffff,219.0,0.0,0.0,0.0,0.0
83288bfffffffff,24.0,0.0,0.0,0.0,0.0
83288cfffffffff,477.0,0.0,0.0,0.0,0.0
83288dfffffffff,195.0,0.0,0.0,0.0,0.0
83288efffffffff,453.0,0.0,0.0,0.0,0.0
832898fffffffff,729.0,0.0,0.0,0.0,0.0
832899fffffffff,76.0,0.0,0.0,0.0,0.0
83289afffffffff,195.0,0.0,0.0,0.0,0.0
83289bfffffffff,287.0,0.0,0.0,0.0,0.0
83289cfffffffff,53.0,0.0,0.0,0.0,0.0
83289dfffffffff,121.0,0.0,0.0,0.0,0.0
83289efffffffff,329.0,0.0,0.0,0.0,0.0
8328a1fffffffff,6.0,0.0,0.0,0.0,0.0
8328a4fffffffff,2.0,0.0,0.0,0.0,0.0
8328a8fffffffff,17.0,0.0,0.0,0.0,0.0
8328a9fffffffff,598.0,0.0,0.0,0.0,0.0
8328aafffffffff,300.0,2.0,0.0,0.0,0.0
8328abfffffffff,199.0,0.0,0.0,0.0,0.0
8328acfffffffff,52.0,0.0,0.0,0.0,0.0
8328adfffffffff,146.0,0.0,0.0,0.0,0.0
8328aefffffffff,89.0,8.0,0.0,0.0,0.0
8328b0fffffffff,1.0,0.0,0.0,0.0,0.0
