cell_id,Sylvietta brachyura,Sylvietta brachyura brachyura/carnapi,Sylvietta brachyura leucopsis
835281fffffffff,2.0,0.0,0.0
835283fffffffff,3.0,0.0,0.0
83528afffffffff,3.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0
835298fffffffff,5.0,0.0,0.0
835299fffffffff,3.0,0.0,0.0
83529bfffffffff,20.0,0.0,0.0
8352cafffffffff,3.0,0.0,0.0
8352d3fffffffff,4.0,0.0,0.0
8352d4fffffffff,12.0,0.0,0.0
8352d6fffffffff,4.0,0.0,0.0
835401fffffffff,1.0,0.0,0.0
835402fffffffff,19.0,7.0,0.0
835408fffffffff,3.0,0.0,0.0
835410fffffffff,28.0,12.0,0.0
835411fffffffff,42.0,10.0,0.0
835413fffffffff,58.0,18.0,0.0
835414fffffffff,2.0,0.0,0.0
835415fffffffff,13.0,7.0,0.0
835418fffffffff,1.0,0.0,0.0
835419fffffffff,4.0,0.0,0.0
83541afffffffff,67.0,7.0,0.0
83541bfffffffff,17.0,1.0,0.0
83541efffffffff,12.0,2.0,0.0
835449fffffffff,1.0,0.0,0.0
8354a9fffffffff,230.0,25.0,0.0
8354acfffffffff,30.0,0.0,0.0
8354adfffffffff,36.0,0.0,0.0
8354e2fffffffff,1.0,0.0,0.0
8354e4fffffffff,70.0,26.0,0.0
8354e5fffffffff,33.0,9.0,0.0
8354e6fffffffff,3.0,0.0,0.0
8354e8fffffffff,1.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0
8354f4fffffffff,30.0,4.0,0.0
8354f5fffffffff,3.0,0.0,0.0
8354f6fffffffff,5.0,0.0,0.0
835851fffffffff,2.0,0.0,0.0
83585efffffffff,2.0,0.0,0.0
835896fffffffff,4.0,0.0,0.0
8358a4fffffffff,2.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358cdfffffffff,3.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0
8358defffffffff,5.0,0.0,0.0
8358e2fffffffff,44.0,0.0,0.0
8358e6fffffffff,12.0,0.0,0.0
8358f5fffffffff,9.0,0.0,0.0
83598bfffffffff,1.0,0.0,0.0
835991fffffffff,1.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,8.0,2.0,0.0
83599afffffffff,8.0,0.0,0.0
83599efffffffff,22.0,1.0,0.0
836a10fffffffff,1.0,0.0,0.0
836a45fffffffff,2.0,0.0,0.0
836a49fffffffff,2.0,0.0,0.0
836a4bfffffffff,2.0,0.0,0.0
836a58fffffffff,7.0,0.0,0.0
836a5afffffffff,25.0,0.0,0.0
836a5bfffffffff,5.0,0.0,0.0
836a61fffffffff,3.0,0.0,0.0
836a69fffffffff,14.0,0.0,0.0
836ac0fffffffff,9.0,0.0,0.0
836ac1fffffffff,7.0,0.0,0.0
836ac3fffffffff,21.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0
836accfffffffff,8.0,0.0,0.0
836acdfffffffff,5.0,0.0,0.0
836acefffffffff,9.0,0.0,0.0
836adcfffffffff,3.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0
836ae1fffffffff,2.0,0.0,0.0
836ae8fffffffff,40.0,0.0,0.0
836aeafffffffff,65.0,0.0,0.0
836aebfffffffff,4.0,0.0,0.0
836aeefffffffff,47.0,0.0,0.0
836b12fffffffff,4.0,0.0,0.0
836bacfffffffff,1.0,0.0,0.0
83750dfffffffff,1.0,0.0,0.0
837520fffffffff,129.0,6.0,0.0
837521fffffffff,3.0,0.0,0.0
837529fffffffff,55.0,6.0,0.0
83752afffffffff,3.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837574fffffffff,12.0,0.0,0.0
837576fffffffff,2.0,0.0,0.0
837a40fffffffff,256.0,0.0,22.0
837a41fffffffff,156.0,0.0,0.0
837a46fffffffff,5.0,0.0,0.0
837a48fffffffff,15.0,0.0,0.0
837a49fffffffff,3.0,0.0,0.0
837a4bfffffffff,12.0,0.0,0.0
837a4cfffffffff,74.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0
837a50fffffffff,2.0,0.0,0.0
837a53fffffffff,6.0,0.0,0.0
837a55fffffffff,2.0,0.0,0.0
837a58fffffffff,2.0,0.0,0.0
837a5dfffffffff,1.0,0.0,0.0
837a60fffffffff,52.0,0.0,0.0
837a61fffffffff,43.0,0.0,0.0
837a64fffffffff,59.0,0.0,0.0
837a65fffffffff,71.0,0.0,0.0
837a66fffffffff,5.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0
837a6efffffffff,9.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0
837ac1fffffffff,6.0,0.0,0.0
837ac8fffffffff,22.0,0.0,0.0
837acafffffffff,18.0,0.0,0.0
837accfffffffff,3.0,0.0,0.0
837acdfffffffff,9.0,0.0,0.0
837ad9fffffffff,171.0,0.0,0.0
837adafffffffff,2.0,0.0,0.0
837ae8fffffffff,39.0,0.0,0.0
837ae9fffffffff,15.0,0.0,0.0
837aeafffffffff,15.0,0.0,0.0
837b4bfffffffff,17.0,0.0,0.0
837b5bfffffffff,1.0,0.0,0.0
83828bfffffffff,4.0,0.0,0.0
839690fffffffff,17.0,0.0,0.0
839692fffffffff,90.0,0.0,0.0
839693fffffffff,12.0,0.0,0.0
