cell_id,Zapornia pusilla,Zapornia pusilla intermedia,Zapornia pusilla pusilla,Zapornia pusilla [palustris Group]
8408829ffffffff,1.0,1.0,0.0,0.0
8408867ffffffff,1.0,0.0,0.0,0.0
8418443ffffffff,3.0,0.0,0.0,0.0
84184b7ffffffff,19.0,0.0,0.0,0.0
841946dffffffff,3.0,0.0,0.0,0.0
841948dffffffff,2.0,0.0,0.0,0.0
84194b9ffffffff,1.0,0.0,0.0,0.0
84194dbffffffff,3.0,0.0,0.0,0.0
8419695ffffffff,5.0,0.0,0.0,0.0
84196b3ffffffff,2.0,0.0,0.0,0.0
84196d9ffffffff,1.0,0.0,0.0,0.0
84196dbffffffff,2.0,0.0,0.0,0.0
8419739ffffffff,2.0,0.0,0.0,0.0
841e02dffffffff,1.0,0.0,0.0,0.0
841e121ffffffff,1.0,0.0,0.0,0.0
841eda3ffffffff,5.0,0.0,0.0,0.0
841ee65ffffffff,1.0,0.0,0.0,0.0
841ee8dffffffff,1.0,0.0,0.0,0.0
841f4c7ffffffff,4.0,0.0,0.0,0.0
841f835ffffffff,1.0,0.0,0.0,0.0
841fa35ffffffff,1.0,0.0,0.0,0.0
841fa49ffffffff,4.0,0.0,0.0,0.0
8420133ffffffff,1.0,0.0,0.0,0.0
842c00bffffffff,1.0,0.0,0.0,0.0
842c225ffffffff,2.0,0.0,0.0,0.0
842c2a3ffffffff,3.0,0.0,0.0,0.0
842c4cdffffffff,1.0,0.0,0.0,0.0
842d331ffffffff,1.0,0.0,0.0,0.0
842da17ffffffff,7.0,0.0,0.0,0.0
842dac5ffffffff,2.0,0.0,0.0,0.0
842db03ffffffff,7.0,0.0,0.0,0.0
842db1dffffffff,1.0,1.0,0.0,0.0
84346a7ffffffff,1.0,0.0,0.0,0.0
843901dffffffff,3.0,0.0,0.0,0.0
8439023ffffffff,3.0,0.0,0.0,0.0
8439039ffffffff,2.0,0.0,0.0,0.0
843903dffffffff,4.0,0.0,0.0,0.0
8439089ffffffff,2.0,0.0,0.0,0.0
8439103ffffffff,2.0,0.0,0.0,0.0
8439117ffffffff,2.0,0.0,0.0,0.0
8439187ffffffff,7.0,0.0,0.0,0.0
8439193ffffffff,3.0,0.0,0.0,0.0
8439195ffffffff,5.0,0.0,0.0,0.0
8439197ffffffff,3.0,0.0,0.0,0.0
84391c5ffffffff,1.0,0.0,0.0,0.0
84391c7ffffffff,2.0,0.0,0.0,0.0
84391ebffffffff,3.0,0.0,0.0,0.0
8439205ffffffff,2.0,0.0,0.0,0.0
843920dffffffff,1.0,0.0,0.0,0.0
84392c5ffffffff,5.0,0.0,0.0,0.0
84392d9ffffffff,3.0,0.0,0.0,0.0
8439333ffffffff,4.0,0.0,0.0,0.0
8439445ffffffff,4.0,0.0,0.0,0.0
843950dffffffff,2.0,0.0,0.0,0.0
843970bffffffff,2.0,0.0,0.0,0.0
8439729ffffffff,7.0,0.0,0.0,0.0
8439741ffffffff,5.0,0.0,0.0,0.0
8439755ffffffff,4.0,0.0,0.0,0.0
8439989ffffffff,1.0,0.0,0.0,0.0
843c029ffffffff,4.0,0.0,0.0,0.0
843c189ffffffff,2.0,0.0,0.0,0.0
843c1b5ffffffff,4.0,0.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0,0.0
843c33bffffffff,1.0,0.0,0.0,0.0
843c33dffffffff,2.0,0.0,0.0,0.0
843c5a9ffffffff,15.0,0.0,0.0,0.0
843c8c9ffffffff,2.0,0.0,0.0,0.0
843c8d9ffffffff,2.0,0.0,0.0,0.0
843c8edffffffff,1.0,0.0,0.0,0.0
843c915ffffffff,4.0,0.0,0.0,0.0
843c921ffffffff,2.0,0.0,0.0,0.0
843c93bffffffff,3.0,0.0,0.0,0.0
843c93dffffffff,2.0,0.0,0.0,0.0
843c9c1ffffffff,9.0,0.0,0.0,0.0
843c9c5ffffffff,1.0,0.0,0.0,0.0
843c9d9ffffffff,28.0,0.0,0.0,0.0
843c9e9ffffffff,5.0,0.0,0.0,0.0
843ca97ffffffff,2.0,0.0,0.0,0.0
843cab9ffffffff,3.0,0.0,0.0,0.0
843cc67ffffffff,9.0,0.0,0.0,0.0
843cc6bffffffff,6.0,0.0,2.0,0.0
843ce11ffffffff,3.0,0.0,0.0,0.0
843ce15ffffffff,1.0,0.0,0.0,0.0
843cea1ffffffff,2.0,0.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0,0.0
843cf29ffffffff,2.0,0.0,0.0,0.0
843cf2dffffffff,36.0,0.0,0.0,0.0
843d101ffffffff,3.0,0.0,0.0,0.0
843d34bffffffff,5.0,0.0,2.0,0.0
843d8d5ffffffff,3.0,0.0,3.0,0.0
843d929ffffffff,3.0,0.0,0.0,0.0
843d987ffffffff,3.0,0.0,0.0,0.0
843da11ffffffff,27.0,0.0,3.0,0.0
843da13ffffffff,9.0,0.0,0.0,0.0
843da1bffffffff,7.0,0.0,0.0,0.0
843da9dffffffff,2.0,0.0,0.0,0.0
843dad5ffffffff,3.0,0.0,0.0,0.0
843e689ffffffff,3.0,0.0,0.0,0.0
843f305ffffffff,2.0,0.0,0.0,0.0
843f4d1ffffffff,1.0,1.0,0.0,0.0
843f4d3ffffffff,6.0,0.0,0.0,0.0
843f681ffffffff,4.0,0.0,0.0,0.0
843f695ffffffff,2.0,0.0,0.0,0.0
843f729ffffffff,2.0,0.0,0.0,0.0
84411cbffffffff,3.0,0.0,0.0,0.0
844192dffffffff,2.0,0.0,2.0,0.0
8441a55ffffffff,2.0,0.0,0.0,0.0
8441b43ffffffff,16.0,0.0,0.0,0.0
8442533ffffffff,1.0,0.0,0.0,0.0
8442c01ffffffff,2.0,0.0,0.0,0.0
8442c27ffffffff,3.0,0.0,0.0,0.0
8442c2dffffffff,9.0,0.0,0.0,0.0
8442cc7ffffffff,1.0,0.0,0.0,0.0
8442ce3ffffffff,5.0,0.0,0.0,0.0
8442ce9ffffffff,8.0,0.0,2.0,0.0
8442d95ffffffff,5.0,0.0,0.0,0.0
8442db5ffffffff,13.0,0.0,0.0,0.0
8442dd1ffffffff,10.0,0.0,0.0,0.0
8443ae5ffffffff,85.0,1.0,0.0,0.0
844b91bffffffff,2.0,0.0,0.0,0.0
844ba2bffffffff,2.0,0.0,0.0,0.0
844ba57ffffffff,2.0,0.0,0.0,0.0
8460025ffffffff,9.0,0.0,0.0,0.0
8460045ffffffff,6.0,0.0,0.0,0.0
846004dffffffff,17.0,0.0,0.0,0.0
8460061ffffffff,5.0,0.0,0.0,0.0
8460113ffffffff,3.0,0.0,0.0,0.0
846014dffffffff,122.0,0.0,0.0,0.0
846015dffffffff,5.0,0.0,0.0,0.0
8460169ffffffff,2.0,0.0,0.0,0.0
84601e9ffffffff,23.0,0.0,0.0,0.0
8460221ffffffff,4.0,0.0,0.0,0.0
8460227ffffffff,189.0,0.0,0.0,0.0
8460263ffffffff,12.0,0.0,0.0,0.0
8460307ffffffff,1.0,0.0,0.0,0.0
8460313ffffffff,6.0,0.0,0.0,0.0
8460315ffffffff,2.0,0.0,0.0,0.0
