cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
826437fffffffff,10.0,3.0,0.0
826507fffffffff,413.0,61.0,0.0
82650ffffffffff,3.0,0.0,0.0
82651ffffffffff,190.0,87.0,0.0
826527fffffffff,113.0,17.0,0.0
826557fffffffff,25.0,14.0,0.0
826807fffffffff,6.0,0.0,0.0
826817fffffffff,336.0,0.0,183.0
82681ffffffffff,24.0,0.0,17.0
82689ffffffffff,5.0,0.0,2.0
8268a7fffffffff,1.0,0.0,0.0
8268affffffffff,3.0,0.0,2.0
828c97fffffffff,12.0,0.0,5.0
828cb7fffffffff,1.0,0.0,1.0
828cd7fffffffff,19.0,12.0,0.0
