cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
8444249ffffffff,12.0,0.0,0.0
8445011ffffffff,4.0,0.0,0.0
8445019ffffffff,146.0,0.0,0.0
844501bffffffff,11.0,2.0,0.0
8445053ffffffff,24.0,0.0,0.0
8445059ffffffff,9.0,0.0,0.0
844505bffffffff,116.0,0.0,0.0
8445081ffffffff,6.0,0.0,0.0
8445083ffffffff,102.0,6.0,0.0
8445085ffffffff,138.0,19.0,0.0
8445087ffffffff,305.0,46.0,0.0
844508bffffffff,2.0,2.0,0.0
844508dffffffff,30.0,2.0,0.0
8445091ffffffff,6.0,0.0,0.0
8445095ffffffff,6.0,5.0,0.0
8445099ffffffff,12.0,0.0,0.0
844509bffffffff,13.0,8.0,0.0
844509dffffffff,3.0,0.0,0.0
84450a1ffffffff,286.0,3.0,0.0
84450a3ffffffff,124.0,4.0,0.0
84450a5ffffffff,38.0,3.0,0.0
84450a7ffffffff,20.0,0.0,0.0
84450a9ffffffff,67.0,3.0,0.0
84450abffffffff,33.0,7.0,0.0
84450adffffffff,139.0,14.0,0.0
84450b1ffffffff,53.0,10.0,0.0
84450b5ffffffff,106.0,10.0,0.0
84450b9ffffffff,8.0,0.0,0.0
84450bbffffffff,2.0,0.0,0.0
84450bdffffffff,34.0,0.0,0.0
84450c1ffffffff,39.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,36.0,2.0,0.0
84450c7ffffffff,9.0,0.0,0.0
84450cdffffffff,19.0,0.0,0.0
84450d1ffffffff,10.0,3.0,0.0
84450d3ffffffff,172.0,86.0,0.0
84450d5ffffffff,47.0,21.0,0.0
84450d7ffffffff,6.0,0.0,0.0
84450d9ffffffff,4.0,0.0,0.0
84450dbffffffff,3.0,3.0,0.0
84450ddffffffff,22.0,11.0,0.0
84450e1ffffffff,9.0,0.0,0.0
84450e3ffffffff,234.0,6.0,0.0
84450e7ffffffff,2.0,0.0,0.0
84450ebffffffff,134.0,26.0,0.0
844519bffffffff,6.0,4.0,0.0
8445201ffffffff,5.0,0.0,0.0
8445203ffffffff,142.0,0.0,0.0
8445205ffffffff,34.0,0.0,0.0
8445207ffffffff,54.0,0.0,0.0
844520bffffffff,109.0,0.0,0.0
844520dffffffff,65.0,0.0,0.0
8445211ffffffff,17.0,0.0,0.0
8445213ffffffff,30.0,0.0,0.0
8445215ffffffff,752.0,0.0,0.0
8445217ffffffff,267.0,0.0,0.0
8445219ffffffff,6.0,0.0,0.0
844521dffffffff,221.0,0.0,0.0
8445221ffffffff,221.0,0.0,0.0
8445225ffffffff,794.0,0.0,0.0
844522bffffffff,23.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445233ffffffff,741.0,0.0,0.0
844523bffffffff,97.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0
8445249ffffffff,32.0,0.0,0.0
8445253ffffffff,4.0,0.0,0.0
8445255ffffffff,1.0,0.0,0.0
8445257ffffffff,49.0,0.0,0.0
844525bffffffff,2.0,0.0,0.0
8445263ffffffff,390.0,0.0,0.0
844526bffffffff,105.0,0.0,0.0
8445281ffffffff,52.0,0.0,0.0
8445283ffffffff,42.0,2.0,0.0
8445285ffffffff,47.0,5.0,0.0
8445287ffffffff,187.0,25.0,0.0
8445289ffffffff,665.0,0.0,0.0
844528dffffffff,130.0,1.0,0.0
8445293ffffffff,4.0,0.0,0.0
8445297ffffffff,3.0,0.0,0.0
84452a1ffffffff,66.0,9.0,0.0
84452a3ffffffff,11.0,2.0,0.0
84452a5ffffffff,322.0,0.0,0.0
84452a7ffffffff,48.0,10.0,0.0
84452a9ffffffff,412.0,0.0,0.0
84452abffffffff,30.0,2.0,0.0
84452adffffffff,1050.0,0.0,0.0
84452b3ffffffff,2.0,0.0,0.0
84452b5ffffffff,14.0,0.0,0.0
84452b9ffffffff,100.0,15.0,0.0
84452bdffffffff,180.0,33.0,0.0
84452c1ffffffff,27.0,0.0,0.0
84452c3ffffffff,350.0,19.0,0.0
84452c5ffffffff,57.0,0.0,0.0
84452c7ffffffff,294.0,1.0,0.0
84452c9ffffffff,18.0,0.0,0.0
