cell_id,Tanysiptera galatea,Tanysiptera galatea [galatea Group],Tanysiptera galatea rosseliana
8372a2fffffffff,3.0,0.0,0.0
8372b3fffffffff,1.0,0.0,0.0
8372b5fffffffff,2.0,0.0,0.0
8372d4fffffffff,2.0,0.0,0.0
8372d9fffffffff,4.0,0.0,0.0
8372dbfffffffff,199.0,0.0,0.0
8372dcfffffffff,1.0,0.0,0.0
8372f2fffffffff,37.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0
837390fffffffff,134.0,1.0,0.0
837395fffffffff,20.0,0.0,0.0
837398fffffffff,9.0,0.0,0.0
83739afffffffff,354.0,0.0,0.0
83739bfffffffff,36.0,0.0,0.0
839541fffffffff,6.0,0.0,0.0
839544fffffffff,4.0,0.0,0.0
839545fffffffff,26.0,1.0,0.0
839561fffffffff,43.0,0.0,0.0
83956afffffffff,21.0,0.0,0.0
83956bfffffffff,36.0,1.0,0.0
83956cfffffffff,2.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0
839c99fffffffff,253.0,0.0,0.0
839c9dfffffffff,8.0,0.0,0.0
839ca6fffffffff,3.0,0.0,0.0
839caafffffffff,23.0,0.0,0.0
839caefffffffff,20.0,0.0,0.0
839cc2fffffffff,1.0,0.0,0.0
839cd1fffffffff,1.0,0.0,0.0
839cd3fffffffff,97.0,0.0,0.0
