cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
834508fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83450dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,17.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0,0.0,0.0,1.0
834836fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,10.0,4.0,0.0,0.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
835f4afffffffff,1.0,1.0,0.0,0.0,0.0,0.0
835f5bfffffffff,8.0,3.0,0.0,0.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,6.0,1.0,0.0,0.0,0.0,0.0
8366d0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,9.0,0.0,4.0,0.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836741fffffffff,6.0,2.0,0.0,0.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
836d23fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836d2cfffffffff,5.0,5.0,0.0,0.0,0.0,0.0
836d31fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836d64fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,88.0,3.0,0.0,0.0,0.0,0.0
838121fffffffff,77.0,0.0,0.0,0.0,77.0,0.0
838124fffffffff,19.0,0.0,0.0,0.0,2.0,17.0
838180fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
838b22fffffffff,14.0,0.0,0.0,13.0,0.0,0.0
838b26fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
838b2cfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838b2dfffffffff,4.0,0.0,0.0,4.0,0.0,0.0
838b63fffffffff,10.0,0.0,0.0,10.0,0.0,0.0
838f2cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83a812fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
83a813fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83a881fffffffff,14.0,0.0,0.0,0.0,0.0,14.0
83a88bfffffffff,12.0,0.0,0.0,0.0,0.0,12.0
83a88efffffffff,2.0,0.0,0.0,0.0,0.0,2.0
83a8a1fffffffff,9.0,0.0,0.0,0.0,0.0,9.0
83a8a9fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
83a8acfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
83a8d4fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83a90efffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83a92cfffffffff,26.0,0.0,0.0,0.0,0.0,0.0
83a953fffffffff,9.0,0.0,0.0,0.0,0.0,5.0
83a961fffffffff,72.0,0.0,0.0,0.0,0.0,0.0
83a965fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83a96cfffffffff,24.0,0.0,0.0,0.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b26dfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
83b32dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83b351fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
83b366fffffffff,5.0,0.0,0.0,5.0,0.0,0.0
