cell_id,Passer domesticus,Passer domesticus [domesticus Group],Passer domesticus [indicus Group]
8407451ffffffff,17.0,0.0,0.0
8407635ffffffff,6.0,0.0,0.0
840771dffffffff,5.0,0.0,0.0
8408997ffffffff,2.0,2.0,0.0
840c32dffffffff,2.0,0.0,0.0
840e491ffffffff,4.0,0.0,0.0
840e497ffffffff,6.0,0.0,0.0
840ecc1ffffffff,9.0,0.0,0.0
841126dffffffff,8.0,6.0,0.0
8412539ffffffff,1.0,0.0,0.0
841286dffffffff,1.0,0.0,0.0
8412b01ffffffff,4.0,0.0,0.0
8412b03ffffffff,12.0,0.0,0.0
8412c11ffffffff,2.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0
8412c89ffffffff,1.0,0.0,0.0
8412c97ffffffff,7.0,0.0,0.0
8412cadffffffff,2.0,0.0,0.0
8412cc9ffffffff,1.0,0.0,0.0
8412ccdffffffff,16.0,0.0,0.0
8412cd9ffffffff,1.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0
8412ddbffffffff,2.0,0.0,0.0
8412ea3ffffffff,1.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0
8412f13ffffffff,1.0,0.0,0.0
841382dffffffff,9.0,0.0,0.0
8413867ffffffff,252.0,0.0,0.0
8413919ffffffff,3.0,0.0,0.0
8413b11ffffffff,1.0,0.0,0.0
8413b35ffffffff,9.0,0.0,0.0
8418495ffffffff,73.0,0.0,0.0
84184b1ffffffff,13.0,0.0,0.0
84184b7ffffffff,4.0,0.0,0.0
84184b9ffffffff,11.0,0.0,0.0
84184bbffffffff,5.0,0.0,0.0
8418597ffffffff,1.0,1.0,0.0
84185b3ffffffff,2.0,2.0,0.0
84185b5ffffffff,95.0,0.0,0.0
84185bbffffffff,14.0,2.0,0.0
841901bffffffff,2.0,0.0,0.0
84190e1ffffffff,2.0,0.0,0.0
8419229ffffffff,2.0,2.0,0.0
8419267ffffffff,2.0,2.0,0.0
8419423ffffffff,8.0,0.0,0.0
841aa27ffffffff,2.0,0.0,0.0
841aa35ffffffff,2.0,0.0,0.0
841aa3dffffffff,2.0,0.0,0.0
841aa47ffffffff,3.0,0.0,0.0
841aa4dffffffff,3.0,0.0,0.0
841b985ffffffff,2.0,0.0,0.0
841b98dffffffff,4.0,0.0,0.0
841b99bffffffff,2.0,0.0,0.0
841b9a5ffffffff,2.0,0.0,0.0
841b9a9ffffffff,1.0,0.0,0.0
841b9e1ffffffff,2.0,0.0,0.0
841b9e3ffffffff,4.0,0.0,0.0
841b9e7ffffffff,10.0,0.0,0.0
841e037ffffffff,1.0,0.0,0.0
841e05bffffffff,2.0,0.0,0.0
841e0a9ffffffff,1.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0
841e125ffffffff,2.0,0.0,0.0
841e12dffffffff,2.0,0.0,0.0
841e19dffffffff,2.0,0.0,0.0
841e1b3ffffffff,4.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0
841e5c9ffffffff,2.0,0.0,0.0
841e5cdffffffff,5.0,0.0,0.0
841ea53ffffffff,2.0,0.0,0.0
841ec1dffffffff,1.0,0.0,0.0
841ec43ffffffff,2.0,0.0,0.0
841ec47ffffffff,2.0,0.0,0.0
841ec91ffffffff,2.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0
841ece9ffffffff,3.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0
841eea3ffffffff,1.0,0.0,0.0
841eea7ffffffff,2.0,0.0,0.0
841eeadffffffff,2.0,0.0,0.0
841f0d7ffffffff,2.0,0.0,0.0
841f11dffffffff,1.0,1.0,0.0
841f1b5ffffffff,2.0,0.0,0.0
841f1d5ffffffff,2.0,2.0,0.0
841f283ffffffff,9.0,9.0,0.0
841f317ffffffff,1.0,1.0,0.0
841f33bffffffff,1.0,1.0,0.0
841f53dffffffff,3.0,0.0,0.0
841f715ffffffff,1.0,0.0,0.0
841f8a1ffffffff,4.0,0.0,0.0
841f8a7ffffffff,1.0,0.0,0.0
841f8abffffffff,2.0,0.0,0.0
841f8b3ffffffff,2.0,0.0,0.0
841f8d7ffffffff,1.0,1.0,0.0
841f8edffffffff,2.0,0.0,0.0
841f91bffffffff,3.0,0.0,0.0
841f9e1ffffffff,3.0,0.0,0.0
841facbffffffff,1.0,1.0,0.0
842013dffffffff,1.0,0.0,0.0
8420199ffffffff,5.0,0.0,5.0
8420333ffffffff,9.0,0.0,0.0
8420845ffffffff,3.0,0.0,0.0
8420e05ffffffff,2.0,0.0,2.0
8420e07ffffffff,2.0,0.0,2.0
8420e3bffffffff,1.0,0.0,0.0
8421567ffffffff,2.0,0.0,0.0
842512bffffffff,1.0,1.0,0.0
84255a3ffffffff,4.0,2.0,0.0
84255b5ffffffff,1.0,1.0,0.0
8425ac9ffffffff,3.0,3.0,0.0
8425ae9ffffffff,1.0,1.0,0.0
8426099ffffffff,1.0,0.0,0.0
84261b3ffffffff,2.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0
842640dffffffff,3.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426439ffffffff,1.0,0.0,0.0
8426443ffffffff,4.0,0.0,0.0
8426459ffffffff,1.0,0.0,0.0
8426461ffffffff,2.0,0.0,0.0
8426463ffffffff,15.0,0.0,0.0
842646bffffffff,3.0,0.0,0.0
84264adffffffff,2.0,0.0,0.0
84264c7ffffffff,3.0,0.0,0.0
84264d1ffffffff,1.0,0.0,0.0
84264d9ffffffff,4.0,0.0,0.0
84264e1ffffffff,5.0,0.0,0.0
84264e5ffffffff,4.0,0.0,0.0
84264edffffffff,1.0,0.0,0.0
8426533ffffffff,1.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0
8426565ffffffff,1.0,0.0,0.0
8426567ffffffff,12.0,0.0,0.0
8426583ffffffff,2.0,0.0,0.0
8426589ffffffff,3.0,0.0,0.0
842658dffffffff,2.0,0.0,0.0
84265a9ffffffff,2.0,0.0,0.0
84265b1ffffffff,3.0,0.0,0.0
84265b5ffffffff,3.0,0.0,0.0
84265b7ffffffff,2.0,0.0,0.0
84265dbffffffff,5.0,0.0,0.0
84265e7ffffffff,2.0,0.0,0.0
8426641ffffffff,2.0,0.0,0.0
8426645ffffffff,2.0,0.0,0.0
8426649ffffffff,8.0,0.0,0.0
842664dffffffff,2.0,0.0,0.0
842669bffffffff,9.0,0.0,0.0
84266b7ffffffff,3.0,0.0,0.0
8426723ffffffff,2.0,0.0,0.0
8426745ffffffff,2.0,2.0,0.0
8426767ffffffff,2.0,0.0,0.0
8426801ffffffff,10.0,0.0,0.0
8426805ffffffff,3.0,0.0,0.0
8426813ffffffff,2.0,0.0,0.0
8426815ffffffff,2.0,0.0,0.0
8426817ffffffff,1.0,0.0,0.0
8426819ffffffff,10.0,0.0,0.0
842681bffffffff,26.0,0.0,0.0
8426833ffffffff,2.0,0.0,0.0
8426853ffffffff,3.0,0.0,0.0
8426881ffffffff,6.0,0.0,0.0
8426889ffffffff,8.0,0.0,0.0
842688dffffffff,3.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0
842689dffffffff,2.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0
84268a7ffffffff,5.0,0.0,0.0
84268adffffffff,2.0,0.0,0.0
84268b9ffffffff,1.0,0.0,0.0
84268bbffffffff,1.0,0.0,0.0
84268c7ffffffff,1.0,0.0,0.0
84268cdffffffff,25.0,0.0,0.0
84268d7ffffffff,10.0,0.0,0.0
84268dbffffffff,23.0,0.0,0.0
84268e1ffffffff,2.0,0.0,0.0
84268e9ffffffff,9.0,0.0,0.0
84268edffffffff,18.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0
8426953ffffffff,2.0,0.0,0.0
8426961ffffffff,1.0,0.0,0.0
8426963ffffffff,3.0,0.0,0.0
8426969ffffffff,13.0,0.0,0.0
842696bffffffff,1.0,0.0,0.0
8426983ffffffff,2.0,0.0,0.0
8426987ffffffff,1.0,0.0,0.0
842698bffffffff,2.0,0.0,0.0
8426995ffffffff,13.0,0.0,0.0
842699bffffffff,1.0,0.0,0.0
842699dffffffff,6.0,0.0,0.0
84269a1ffffffff,1.0,0.0,0.0
84269b9ffffffff,2.0,0.0,0.0
84269cdffffffff,6.0,0.0,0.0
84269d7ffffffff,4.0,0.0,0.0
84269d9ffffffff,3.0,0.0,0.0
8426a81ffffffff,11.0,0.0,0.0
8426a83ffffffff,2.0,0.0,0.0
8426a87ffffffff,3.0,0.0,0.0
8426a8bffffffff,4.0,0.0,0.0
8426a97ffffffff,5.0,0.0,0.0
8426aa1ffffffff,11.0,0.0,0.0
8426aa5ffffffff,16.0,0.0,0.0
8426aa7ffffffff,14.0,0.0,0.0
8426aa9ffffffff,2.0,0.0,0.0
8426aabffffffff,6.0,0.0,0.0
8426aadffffffff,2.0,0.0,0.0
8426ab5ffffffff,6.0,0.0,0.0
8426ab7ffffffff,4.0,0.0,0.0
8426ab9ffffffff,4.0,0.0,0.0
8426abbffffffff,3.0,0.0,0.0
8426ac5ffffffff,2.0,0.0,0.0
8426ae3ffffffff,4.0,0.0,0.0
8426b51ffffffff,2.0,0.0,0.0
8426c11ffffffff,1.0,0.0,0.0
8426c49ffffffff,2.0,0.0,0.0
8426c89ffffffff,1.0,1.0,0.0
8426d33ffffffff,2.0,0.0,0.0
8426d49ffffffff,4.0,0.0,0.0
