cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
832600fffffffff,2.0,0.0,0.0,0.0
832601fffffffff,210.0,0.0,24.0,0.0
832602fffffffff,25.0,0.0,0.0,0.0
832603fffffffff,67.0,0.0,12.0,0.0
832604fffffffff,6.0,0.0,0.0,0.0
832605fffffffff,97.0,0.0,2.0,0.0
832608fffffffff,371.0,0.0,18.0,0.0
832609fffffffff,69.0,0.0,0.0,0.0
83260afffffffff,326.0,0.0,0.0,0.0
83260bfffffffff,521.0,0.0,19.0,0.0
83260cfffffffff,15.0,0.0,0.0,0.0
83260dfffffffff,376.0,0.0,0.0,0.0
83260efffffffff,98.0,0.0,18.0,0.0
832610fffffffff,89.0,0.0,0.0,0.0
832611fffffffff,77.0,0.0,0.0,0.0
832612fffffffff,24.0,0.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0
832616fffffffff,6.0,0.0,0.0,0.0
832618fffffffff,9.0,0.0,0.0,0.0
832619fffffffff,14.0,0.0,0.0,0.0
83261afffffffff,11.0,0.0,2.0,0.0
83261bfffffffff,15.0,0.0,0.0,0.0
83261cfffffffff,5.0,0.0,0.0,0.0
83261efffffffff,3.0,0.0,0.0,0.0
832620fffffffff,149.0,0.0,0.0,0.0
832621fffffffff,478.0,0.0,14.0,0.0
832622fffffffff,20.0,0.0,0.0,0.0
832623fffffffff,65.0,0.0,0.0,0.0
832624fffffffff,15.0,0.0,0.0,0.0
832625fffffffff,57.0,0.0,0.0,0.0
832626fffffffff,30.0,0.0,0.0,0.0
832628fffffffff,138.0,0.0,0.0,0.0
832629fffffffff,201.0,0.0,0.0,0.0
83262afffffffff,36.0,0.0,0.0,0.0
83262bfffffffff,397.0,0.0,1.0,0.0
83262cfffffffff,2593.0,0.0,17.0,0.0
83262dfffffffff,701.0,0.0,28.0,0.0
83262efffffffff,155.0,0.0,2.0,0.0
832631fffffffff,2.0,0.0,0.0,0.0
832633fffffffff,8.0,0.0,0.0,0.0
832640fffffffff,1956.0,0.0,97.0,0.0
832641fffffffff,2278.0,0.0,331.0,0.0
832642fffffffff,1259.0,0.0,6.0,0.0
832643fffffffff,2515.0,0.0,74.0,0.0
832644fffffffff,171.0,0.0,11.0,0.0
832645fffffffff,150.0,0.0,36.0,0.0
832646fffffffff,4846.0,0.0,132.0,0.0
832648fffffffff,1297.0,0.0,0.0,0.0
832649fffffffff,1294.0,0.0,0.0,0.0
83264afffffffff,1292.0,0.0,0.0,0.0
83264bfffffffff,600.0,0.0,9.0,0.0
83264cfffffffff,1836.0,0.0,98.0,0.0
83264dfffffffff,3417.0,0.0,0.0,0.0
83264efffffffff,921.0,0.0,30.0,0.0
832650fffffffff,701.0,0.0,0.0,0.0
832651fffffffff,998.0,0.0,9.0,0.0
832652fffffffff,1720.0,0.0,7.0,0.0
832653fffffffff,2580.0,0.0,39.0,0.0
832654fffffffff,633.0,0.0,0.0,0.0
832655fffffffff,4209.0,0.0,10.0,0.0
832656fffffffff,3614.0,0.0,5.0,0.0
832658fffffffff,357.0,0.0,2.0,0.0
832659fffffffff,2362.0,0.0,17.0,0.0
83265afffffffff,546.0,0.0,16.0,0.0
83265bfffffffff,2244.0,0.0,25.0,0.0
83265cfffffffff,1049.0,0.0,18.0,0.0
83265dfffffffff,1000.0,0.0,6.0,0.0
83265efffffffff,925.0,0.0,5.0,0.0
832660fffffffff,510.0,0.0,9.0,0.0
832661fffffffff,3360.0,0.0,6.0,0.0
832662fffffffff,1606.0,0.0,83.0,0.0
832663fffffffff,1232.0,0.0,16.0,0.0
832664fffffffff,14123.0,0.0,846.0,0.0
832665fffffffff,685.0,0.0,9.0,0.0
832666fffffffff,2129.0,0.0,54.0,0.0
832668fffffffff,2444.0,0.0,385.0,0.0
832669fffffffff,297.0,0.0,50.0,0.0
83266afffffffff,1524.0,0.0,101.0,0.0
83266bfffffffff,1374.0,0.0,240.0,0.0
83266cfffffffff,2666.0,0.0,3.0,0.0
83266dfffffffff,2223.0,0.0,242.0,0.0
83266efffffffff,1264.0,0.0,9.0,0.0
832670fffffffff,259.0,0.0,2.0,0.0
832671fffffffff,766.0,0.0,49.0,0.0
832672fffffffff,136.0,0.0,0.0,0.0
832673fffffffff,402.0,0.0,11.0,0.0
832674fffffffff,531.0,0.0,10.0,0.0
832675fffffffff,406.0,0.0,20.0,0.0
832676fffffffff,63.0,0.0,2.0,0.0
832680fffffffff,87.0,3.0,0.0,0.0
832681fffffffff,1694.0,7.0,0.0,0.0
832682fffffffff,112.0,14.0,0.0,0.0
832683fffffffff,157.0,0.0,0.0,0.0
832684fffffffff,4.0,0.0,0.0,0.0
832685fffffffff,207.0,2.0,0.0,0.0
832686fffffffff,8.0,0.0,0.0,0.0
832688fffffffff,1336.0,58.0,0.0,0.0
832689fffffffff,207.0,6.0,0.0,0.0
83268afffffffff,27.0,0.0,0.0,0.0
83268bfffffffff,192.0,6.0,0.0,0.0
83268cfffffffff,3133.0,47.0,0.0,0.0
83268dfffffffff,291.0,0.0,0.0,0.0
83268efffffffff,98.0,5.0,0.0,0.0
832690fffffffff,495.0,37.0,0.0,0.0
832691fffffffff,269.0,192.0,0.0,0.0
832692fffffffff,425.0,20.0,0.0,0.0
832693fffffffff,32.0,7.0,0.0,0.0
832694fffffffff,70.0,2.0,0.0,0.0
832695fffffffff,197.0,14.0,0.0,0.0
832696fffffffff,2696.0,851.0,0.0,0.0
832698fffffffff,1319.0,36.0,0.0,0.0
832699fffffffff,465.0,1.0,0.0,0.0
83269afffffffff,200.0,6.0,0.0,0.0
83269bfffffffff,264.0,9.0,0.0,0.0
83269cfffffffff,2717.0,131.0,0.0,0.0
83269dfffffffff,596.0,36.0,0.0,0.0
83269efffffffff,1478.0,349.0,0.0,0.0
8326a0fffffffff,2.0,0.0,0.0,0.0
8326a1fffffffff,119.0,2.0,0.0,0.0
8326a2fffffffff,28.0,0.0,0.0,0.0
8326a3fffffffff,7.0,0.0,0.0,0.0
8326a5fffffffff,114.0,0.0,0.0,0.0
8326a8fffffffff,348.0,0.0,0.0,0.0
8326a9fffffffff,67.0,0.0,0.0,0.0
8326aafffffffff,1133.0,0.0,0.0,0.0
8326abfffffffff,411.0,0.0,0.0,0.0
8326acfffffffff,85.0,3.0,0.0,0.0
8326adfffffffff,76.0,6.0,0.0,0.0
8326aefffffffff,292.0,5.0,0.0,0.0
8326b0fffffffff,9.0,0.0,0.0,0.0
8326b1fffffffff,24.0,1.0,0.0,0.0
8326b2fffffffff,1.0,0.0,0.0,0.0
8326b3fffffffff,42.0,5.0,0.0,0.0
8326b5fffffffff,9.0,0.0,0.0,0.0
8326c0fffffffff,46.0,0.0,0.0,0.0
8326c1fffffffff,1421.0,0.0,0.0,0.0
8326c2fffffffff,62.0,0.0,0.0,0.0
8326c3fffffffff,869.0,0.0,0.0,0.0
8326c4fffffffff,317.0,0.0,6.0,0.0
8326c5fffffffff,591.0,0.0,0.0,0.0
8326c6fffffffff,82.0,0.0,0.0,0.0
8326c8fffffffff,3071.0,0.0,0.0,0.0
8326c9fffffffff,632.0,0.0,0.0,0.0
8326cafffffffff,897.0,0.0,0.0,0.0
8326cbfffffffff,1922.0,0.0,0.0,0.0
8326ccfffffffff,159.0,0.0,0.0,0.0
8326cdfffffffff,292.0,0.0,0.0,0.0
8326cefffffffff,122.0,0.0,0.0,0.0
8326d0fffffffff,5.0,0.0,0.0,0.0
8326d1fffffffff,235.0,0.0,0.0,0.0
8326d2fffffffff,30.0,0.0,0.0,0.0
8326d3fffffffff,56.0,0.0,0.0,0.0
8326d4fffffffff,278.0,0.0,0.0,0.0
8326d5fffffffff,19.0,0.0,0.0,0.0
8326d6fffffffff,31.0,0.0,0.0,0.0
8326d8fffffffff,38.0,0.0,0.0,0.0
8326d9fffffffff,211.0,0.0,0.0,0.0
8326dafffffffff,19.0,0.0,0.0,0.0
8326dbfffffffff,265.0,0.0,0.0,0.0
8326dcfffffffff,45.0,0.0,0.0,0.0
8326ddfffffffff,63.0,0.0,0.0,0.0
8326defffffffff,141.0,0.0,0.0,0.0
8326e0fffffffff,255.0,0.0,2.0,0.0
8326e1fffffffff,216.0,0.0,4.0,0.0
8326e2fffffffff,643.0,0.0,2.0,0.0
8326e3fffffffff,432.0,0.0,0.0,0.0
8326e4fffffffff,1079.0,0.0,2.0,0.0
8326e5fffffffff,1988.0,0.0,24.0,0.0
8326e6fffffffff,121.0,0.0,0.0,0.0
