cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
8428363ffffffff,24.0,0.0,0.0,0.0
8429125ffffffff,5.0,0.0,0.0,0.0
8429a01ffffffff,16.0,2.0,0.0,0.0
8429a0bffffffff,14.0,2.0,0.0,0.0
8429a19ffffffff,1.0,0.0,0.0,0.0
8429a1dffffffff,16.0,0.0,0.0,0.0
8429a41ffffffff,14.0,0.0,0.0,0.0
8429a45ffffffff,18.0,2.0,0.0,0.0
8429a4dffffffff,4.0,0.0,0.0,0.0
8444a19ffffffff,6.0,0.0,0.0,0.0
8445019ffffffff,3.0,0.0,0.0,0.0
8445053ffffffff,6.0,0.0,0.0,0.0
844509bffffffff,4.0,0.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0,0.0
8445203ffffffff,1.0,0.0,0.0,0.0
8445215ffffffff,5.0,0.0,0.0,0.0
8445219ffffffff,3.0,0.0,0.0,0.0
844521dffffffff,1.0,0.0,0.0,0.0
8445243ffffffff,2.0,0.0,0.0,0.0
8445253ffffffff,2.0,2.0,0.0,0.0
8445257ffffffff,3.0,0.0,0.0,0.0
844526bffffffff,1.0,0.0,0.0,0.0
84452adffffffff,22.0,1.0,0.0,0.0
84452e1ffffffff,6.0,0.0,0.0,0.0
84452e5ffffffff,26.0,1.0,0.0,0.0
84452e7ffffffff,2.0,0.0,0.0,0.0
84452ebffffffff,4.0,0.0,0.0,0.0
8445313ffffffff,4.0,0.0,0.0,0.0
844533bffffffff,8.0,0.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0,0.0
8445649ffffffff,1.0,0.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0,0.0
84484a5ffffffff,2.0,0.0,0.0,0.0
844880dffffffff,19.0,8.0,0.0,0.0
8448a07ffffffff,10.0,0.0,0.0,0.0
8448a21ffffffff,2.0,0.0,0.0,0.0
8448b2bffffffff,14.0,4.0,0.0,0.0
8448b39ffffffff,41.0,3.0,0.0,0.0
8448b3dffffffff,234.0,24.0,0.0,0.0
8449807ffffffff,2.0,0.0,0.0,0.0
844980bffffffff,49.0,0.0,3.0,0.0
844983dffffffff,11.0,0.0,0.0,0.0
8449855ffffffff,2.0,0.0,0.0,0.0
84498edffffffff,7.0,0.0,0.0,0.0
8449901ffffffff,13.0,0.0,0.0,0.0
8449903ffffffff,8.0,0.0,0.0,0.0
8449905ffffffff,13.0,0.0,0.0,0.0
8449941ffffffff,3.0,0.0,0.0,0.0
8449943ffffffff,1.0,0.0,0.0,0.0
844994bffffffff,12.0,0.0,0.0,0.0
8449951ffffffff,1.0,0.0,0.0,0.0
8449959ffffffff,9.0,0.0,0.0,0.0
844995bffffffff,14.0,0.0,0.0,0.0
8449961ffffffff,3.0,0.0,0.0,0.0
8449965ffffffff,13.0,3.0,0.0,0.0
84499cdffffffff,3.0,0.0,0.0,0.0
8449a8dffffffff,6.0,0.0,0.0,0.0
8449b33ffffffff,15.0,0.0,0.0,0.0
8449b37ffffffff,1.0,0.0,0.0,0.0
84660a7ffffffff,6.0,0.0,0.0,0.0
8466107ffffffff,20.0,0.0,0.0,0.0
8466113ffffffff,12.0,0.0,0.0,0.0
8466139ffffffff,13.0,0.0,0.0,0.0
846613dffffffff,11.0,0.0,0.0,0.0
8466163ffffffff,5.0,0.0,0.0,0.0
8466167ffffffff,2.0,2.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0
84661c1ffffffff,1.0,0.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0,0.0
84661cdffffffff,16.0,0.0,0.0,0.0
84661ebffffffff,11.0,0.0,0.0,0.0
8466205ffffffff,2.0,0.0,0.0,0.0
8466849ffffffff,3.0,0.0,0.0,0.0
8466a0bffffffff,2.0,0.0,0.0,0.0
8466a31ffffffff,3.0,0.0,0.0,0.0
8466a51ffffffff,25.0,0.0,0.0,0.0
8466a5bffffffff,14.0,0.0,0.0,0.0
8466a65ffffffff,9.0,0.0,0.0,0.0
8466b01ffffffff,6.0,0.0,0.0,0.0
8466b09ffffffff,21.0,3.0,0.0,0.0
8466b0bffffffff,15.0,6.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0,0.0
8466b47ffffffff,3.0,0.0,0.0,0.0
8466b49ffffffff,11.0,0.0,0.0,0.0
8466b4dffffffff,1.0,0.0,0.0,0.0
8466b53ffffffff,4.0,0.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0,0.0
8466b59ffffffff,2.0,0.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0,0.0
8466d0dffffffff,17.0,2.0,0.0,0.0
8466d35ffffffff,3.0,3.0,0.0,0.0
8467329ffffffff,4.0,0.0,0.0,0.0
8467461ffffffff,2.0,0.0,0.0,0.0
84679a1ffffffff,2.0,0.0,0.0,0.0
84679a5ffffffff,24.0,6.0,0.0,0.0
84679a7ffffffff,50.0,0.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0,0.0
846d203ffffffff,4.0,4.0,0.0,0.0
846d20dffffffff,2.0,0.0,0.0,0.0
846d219ffffffff,2.0,2.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0
846d231ffffffff,10.0,5.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0,0.0
846d2c3ffffffff,1.0,0.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d2cbffffffff,4.0,4.0,0.0,0.0
846d30dffffffff,12.0,1.0,0.0,0.0
846d317ffffffff,3.0,0.0,0.0,0.0
846d319ffffffff,7.0,0.0,0.0,0.0
846d32bffffffff,4.0,0.0,0.0,0.0
846d35dffffffff,3.0,3.0,0.0,0.0
846d361ffffffff,2.0,0.0,0.0,0.0
846d613ffffffff,1.0,0.0,0.0,0.0
846d641ffffffff,2.0,0.0,0.0,0.0
846d647ffffffff,1.0,0.0,0.0,0.0
846d651ffffffff,6.0,0.0,0.0,0.0
846d653ffffffff,4.0,0.0,0.0,0.0
846d65bffffffff,2.0,0.0,0.0,0.0
846d681ffffffff,15.0,0.0,0.0,0.0
846d689ffffffff,1.0,0.0,0.0,0.0
846d68bffffffff,2.0,0.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0,0.0
846d699ffffffff,6.0,6.0,0.0,0.0
846d69bffffffff,3.0,1.0,0.0,0.0
846d69dffffffff,34.0,12.0,0.0,0.0
846d6b9ffffffff,3.0,0.0,0.0,0.0
846d6c7ffffffff,64.0,0.0,0.0,0.0
846d6d1ffffffff,3.0,0.0,0.0,0.0
846d6d3ffffffff,1.0,0.0,0.0,0.0
846d74bffffffff,3.0,0.0,0.0,0.0
848f2abffffffff,2.0,0.0,0.0,0.0
848f2b9ffffffff,2.0,0.0,0.0,0.0
848f2bdffffffff,2.0,0.0,0.0,0.0
848f2cdffffffff,1.0,1.0,0.0,0.0
