cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
820747fffffffff,10.0,0.0,0.0
82074ffffffffff,6.0,0.0,0.0
8209a7fffffffff,2.0,0.0,0.0
820c47fffffffff,25.0,0.0,0.0
820c4ffffffffff,4.0,0.0,0.0
820c57fffffffff,7.0,0.0,0.0
820c5ffffffffff,12.0,0.0,0.0
820c6ffffffffff,7.0,0.0,0.0
820ccffffffffff,4.0,0.0,0.0
820cdffffffffff,5.0,0.0,0.0
820ceffffffffff,11.0,0.0,0.0
821297fffffffff,37.0,0.0,0.0
82129ffffffffff,82.0,8.0,0.0
8212b7fffffffff,1.0,0.0,0.0
821617fffffffff,17.0,0.0,0.0
821627fffffffff,18.0,0.0,0.0
821657fffffffff,40.0,0.0,0.0
82165ffffffffff,130.0,0.0,0.0
8216b7fffffffff,6.0,0.0,0.0
821757fffffffff,7.0,0.0,0.0
821807fffffffff,80.0,0.0,0.0
821847fffffffff,15.0,0.0,0.0
82184ffffffffff,131.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0
821877fffffffff,18.0,0.0,0.0
82190ffffffffff,3.0,0.0,0.0
821947fffffffff,16.0,0.0,0.0
82194ffffffffff,16.0,5.0,0.0
821957fffffffff,5.0,0.0,0.0
82196ffffffffff,8.0,0.0,0.0
821a17fffffffff,2.0,0.0,0.0
821aa7fffffffff,147.0,0.0,0.0
821ab7fffffffff,27.0,0.0,0.0
821b87fffffffff,24.0,0.0,0.0
821b8ffffffffff,8.0,0.0,0.0
821b97fffffffff,5.0,0.0,0.0
821b9ffffffffff,8.0,0.0,0.0
821d27fffffffff,26.0,0.0,0.0
821d2ffffffffff,3.0,0.0,0.0
821d37fffffffff,2.0,0.0,0.0
821d67fffffffff,68.0,2.0,0.0
821d77fffffffff,1.0,0.0,0.0
821db7fffffffff,5.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f27fffffffff,8.0,0.0,0.0
821f37fffffffff,5.0,2.0,0.0
82225ffffffffff,3.0,0.0,0.0
82229ffffffffff,2.0,0.0,0.0
8222d7fffffffff,7.0,0.0,0.0
8222effffffffff,6.0,0.0,0.0
822807fffffffff,378.0,35.0,0.0
82280ffffffffff,32.0,0.0,0.0
82281ffffffffff,322.0,22.0,0.0
822827fffffffff,14.0,0.0,0.0
822837fffffffff,375.0,36.0,0.0
8228c7fffffffff,1091.0,0.0,0.0
8228cffffffffff,83.0,0.0,0.0
8228dffffffffff,17.0,0.0,0.0
8228e7fffffffff,580.0,30.0,0.0
8228f7fffffffff,44.0,0.0,0.0
822917fffffffff,1858.0,167.0,413.0
82291ffffffffff,2.0,0.0,0.0
822937fffffffff,1.0,0.0,0.0
8229a7fffffffff,242.0,6.0,73.0
822a07fffffffff,1050.0,80.0,0.0
822a1ffffffffff,1.0,0.0,0.0
822a27fffffffff,308.0,0.0,0.0
822a37fffffffff,85.0,10.0,0.0
822a4ffffffffff,15.0,0.0,0.0
822a77fffffffff,1.0,1.0,0.0
822ac7fffffffff,1095.0,9.0,0.0
822af7fffffffff,147.0,6.0,0.0
822b07fffffffff,18.0,0.0,0.0
822b0ffffffffff,892.0,0.0,0.0
822b1ffffffffff,3021.0,14.0,0.0
822b27fffffffff,74.0,0.0,0.0
822b2ffffffffff,199.0,0.0,0.0
822b37fffffffff,13.0,0.0,0.0
822e2ffffffffff,3.0,0.0,0.0
822e87fffffffff,6.0,0.0,0.0
822f5ffffffffff,5.0,0.0,0.0
822f67fffffffff,2.0,0.0,0.0
822f6ffffffffff,2.0,0.0,0.0
8232f7fffffffff,1.0,0.0,0.0
823437fffffffff,4.0,0.0,0.0
82346ffffffffff,1.0,0.0,0.0
82351ffffffffff,14.0,0.0,0.0
8235affffffffff,2.0,0.0,0.0
823917fffffffff,32.0,0.0,0.0
82391ffffffffff,53.0,0.0,0.0
823927fffffffff,3.0,0.0,0.0
823937fffffffff,99.0,0.0,0.0
82449ffffffffff,2.0,0.0,0.0
824607fffffffff,3.0,0.0,0.0
82460ffffffffff,2.0,0.0,0.0
824637fffffffff,2.0,0.0,0.0
8247a7fffffffff,2.0,0.0,0.0
8247affffffffff,11.0,0.0,0.0
824807fffffffff,1.0,0.0,0.0
824827fffffffff,10.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0
824837fffffffff,4.0,0.0,0.0
824847fffffffff,16.0,0.0,0.0
82484ffffffffff,350.0,28.0,92.0
82490ffffffffff,1.0,0.0,0.0
824917fffffffff,1.0,0.0,0.0
82491ffffffffff,1.0,0.0,0.0
824957fffffffff,8.0,0.0,0.0
8249affffffffff,1.0,0.0,0.0
824a4ffffffffff,3.0,2.0,0.0
824da7fffffffff,3.0,0.0,0.0
825037fffffffff,2.0,0.0,0.0
825087fffffffff,4.0,0.0,0.0
82549ffffffffff,1.0,0.0,0.0
8254affffffffff,4.0,0.0,0.0
825647fffffffff,2.0,0.0,0.0
82574ffffffffff,3.0,0.0,0.0
825caffffffffff,3.0,0.0,0.0
825e47fffffffff,11.0,0.0,0.0
825e5ffffffffff,17.0,0.0,0.0
825f17fffffffff,3.0,0.0,0.0
825f1ffffffffff,3.0,0.0,0.0
825faffffffffff,3.0,0.0,0.0
8266b7fffffffff,15.0,0.0,0.0
826d47fffffffff,1.0,0.0,0.0
826d4ffffffffff,55.0,6.0,0.0
826d6ffffffffff,33.0,0.0,0.0
8278b7fffffffff,3.0,0.0,0.0
82798ffffffffff,3.0,0.0,0.0
827c5ffffffffff,3.0,0.0,0.0
827c67fffffffff,5.0,0.0,0.0
827ca7fffffffff,2.0,0.0,0.0
827caffffffffff,2.0,0.0,0.0
827cdffffffffff,1.0,0.0,0.0
827cf7fffffffff,2.0,0.0,0.0
827d6ffffffffff,2.0,0.0,0.0
827d87fffffffff,2.0,0.0,0.0
827d8ffffffffff,1.0,0.0,0.0
8280b7fffffffff,2.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0
82881ffffffffff,3.0,0.0,0.0
8288d7fffffffff,3.0,0.0,0.0
82891ffffffffff,3.0,0.0,0.0
82981ffffffffff,1.0,0.0,0.0
829837fffffffff,1.0,0.0,0.0
82ac17fffffffff,2.0,0.0,0.0
