cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
820137fffffffff,2.0,0.0,0.0
820147fffffffff,1.0,0.0,0.0
820157fffffffff,3.0,0.0,0.0
82015ffffffffff,2.0,0.0,0.0
82068ffffffffff,4.0,4.0,0.0
8206d7fffffffff,30.0,29.0,0.0
82074ffffffffff,2.0,2.0,0.0
82075ffffffffff,3.0,3.0,0.0
820817fffffffff,6.0,0.0,4.0
820887fffffffff,2.0,0.0,2.0
8208a7fffffffff,8.0,0.0,6.0
8208e7fffffffff,2.0,0.0,2.0
820987fffffffff,4.0,0.0,0.0
82098ffffffffff,2.0,0.0,0.0
820997fffffffff,12.0,0.0,0.0
82099ffffffffff,13.0,0.0,13.0
8209a7fffffffff,3.0,3.0,0.0
820c17fffffffff,36.0,0.0,0.0
820c37fffffffff,2.0,0.0,0.0
820c47fffffffff,4.0,0.0,0.0
820c57fffffffff,3.0,0.0,0.0
820c77fffffffff,12.0,0.0,0.0
820ca7fffffffff,23.0,0.0,0.0
820d07fffffffff,1.0,0.0,0.0
820d4ffffffffff,38.0,0.0,0.0
820d57fffffffff,4.0,0.0,0.0
820d6ffffffffff,6.0,0.0,0.0
820d77fffffffff,4.0,0.0,0.0
820e27fffffffff,2.0,0.0,0.0
820e2ffffffffff,4.0,0.0,0.0
820e4ffffffffff,9.0,0.0,0.0
820e87fffffffff,13.0,0.0,0.0
820ecffffffffff,16.0,3.0,0.0
820eeffffffffff,6.0,0.0,0.0
820ef7fffffffff,2.0,0.0,0.0
820f0ffffffffff,54.0,49.0,0.0
8213b7fffffffff,2.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0
82182ffffffffff,5.0,1.0,1.0
821847fffffffff,6.0,0.0,4.0
82184ffffffffff,13.0,0.0,0.0
82185ffffffffff,66.0,0.0,0.0
821877fffffffff,6.0,2.0,2.0
821907fffffffff,1.0,1.0,0.0
82190ffffffffff,11.0,1.0,4.0
82192ffffffffff,11.0,11.0,0.0
821947fffffffff,12.0,2.0,2.0
82194ffffffffff,31.0,5.0,10.0
821957fffffffff,9.0,1.0,8.0
82195ffffffffff,7.0,0.0,3.0
82196ffffffffff,3.0,0.0,2.0
821977fffffffff,2.0,0.0,0.0
821aa7fffffffff,78.0,2.0,0.0
821b9ffffffffff,2.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0
821e0ffffffffff,6.0,0.0,2.0
821e17fffffffff,11.0,0.0,2.0
821e1ffffffffff,4.0,0.0,0.0
821e27fffffffff,1.0,0.0,0.0
821e37fffffffff,3.0,0.0,0.0
821e5ffffffffff,3.0,0.0,0.0
821e87fffffffff,1.0,0.0,0.0
821ea7fffffffff,7.0,0.0,5.0
