cell_id,Passer moabiticus,Passer moabiticus moabiticus,Passer moabiticus yatii
842c129ffffffff,1.0,0.0,0.0
842c163ffffffff,1.0,0.0,0.0
842c365ffffffff,1.0,0.0,0.0
842c823ffffffff,2.0,0.0,0.0
842c833ffffffff,14.0,0.0,0.0
842c835ffffffff,17.0,0.0,0.0
842c987ffffffff,8.0,0.0,0.0
842c9c9ffffffff,25.0,0.0,0.0
842c9cbffffffff,4.0,0.0,0.0
842c9e1ffffffff,2.0,0.0,0.0
842ca03ffffffff,1.0,0.0,0.0
842ca13ffffffff,2.0,0.0,0.0
842cac5ffffffff,2.0,0.0,0.0
842cac9ffffffff,2.0,0.0,0.0
842d125ffffffff,1.0,0.0,0.0
842d8c7ffffffff,1.0,0.0,0.0
842da17ffffffff,2.0,0.0,0.0
842da1bffffffff,19.0,0.0,0.0
842da5dffffffff,1.0,0.0,0.0
842da81ffffffff,232.0,0.0,0.0
842da89ffffffff,1.0,0.0,0.0
842da8bffffffff,6.0,0.0,0.0
842da8dffffffff,7.0,0.0,0.0
842da95ffffffff,1.0,0.0,0.0
842dab1ffffffff,3.0,0.0,0.0
842dab9ffffffff,5.0,0.0,0.0
842dac3ffffffff,3.0,0.0,0.0
842dae3ffffffff,3.0,0.0,0.0
842dae9ffffffff,22.0,0.0,0.0
842db03ffffffff,535.0,107.0,0.0
842db07ffffffff,9.0,0.0,0.0
842db15ffffffff,6.0,0.0,0.0
842db1dffffffff,27.0,5.0,0.0
842db21ffffffff,106.0,20.0,0.0
842db25ffffffff,114.0,29.0,0.0
842db2bffffffff,54.0,2.0,0.0
842db2dffffffff,2.0,0.0,0.0
843e689ffffffff,357.0,53.0,0.0
843e68bffffffff,1.0,0.0,0.0
843e68dffffffff,9.0,0.0,0.0
843e6c3ffffffff,10.0,3.0,0.0
843e6cbffffffff,7.0,1.0,0.0
8443341ffffffff,5.0,0.0,0.0
8443501ffffffff,4.0,0.0,0.0
