cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
828b27fffffffff,9.0,1.0,4.0
828b2ffffffffff,5.0,0.0,0.0
82a947fffffffff,1.0,0.0,0.0
82a96ffffffffff,1.0,0.0,0.0
82b247fffffffff,6.0,0.0,1.0
82b24ffffffffff,16.0,0.0,0.0
82b267fffffffff,3.0,0.0,0.0
82b26ffffffffff,8.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b2effffffffff,5.0,0.0,0.0
82b32ffffffffff,1.0,0.0,1.0
82b347fffffffff,6.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82c2cffffffffff,17.0,0.0,0.0
82c357fffffffff,17.0,0.0,0.0
82c35ffffffffff,2.0,0.0,0.0
