cell_id,Bubo ascalaphus,Bubo ascalaphus ascalaphus,Bubo ascalaphus desertorum
842c901ffffffff,3.0,0.0,0.0
842c903ffffffff,1.0,0.0,0.0
842c911ffffffff,4.0,0.0,0.0
842c915ffffffff,13.0,0.0,0.0
842c91dffffffff,1.0,0.0,0.0
842c933ffffffff,7.0,0.0,2.0
842c935ffffffff,222.0,0.0,2.0
842c93bffffffff,29.0,0.0,5.0
842d911ffffffff,3.0,0.0,0.0
842d923ffffffff,1.0,0.0,0.0
842d927ffffffff,1.0,0.0,0.0
842db25ffffffff,3.0,0.0,0.0
842db2bffffffff,3.0,1.0,0.0
842db2dffffffff,1.0,0.0,0.0
842db37ffffffff,7.0,0.0,0.0
8438161ffffffff,18.0,1.0,0.0
8438169ffffffff,2.0,0.0,0.0
843816dffffffff,85.0,11.0,2.0
8438a41ffffffff,1.0,0.0,0.0
8439827ffffffff,1.0,0.0,0.0
8439883ffffffff,2.0,0.0,0.0
8439885ffffffff,7.0,0.0,0.0
8439887ffffffff,179.0,41.0,1.0
8439895ffffffff,2.0,0.0,0.0
84398a7ffffffff,1.0,0.0,0.0
84398a9ffffffff,2.0,0.0,0.0
84398bbffffffff,3.0,0.0,0.0
84398dbffffffff,2.0,0.0,0.0
84398e7ffffffff,3.0,0.0,0.0
8439931ffffffff,1.0,0.0,0.0
843993bffffffff,3.0,0.0,0.0
843993dffffffff,1.0,0.0,0.0
8439989ffffffff,3.0,0.0,0.0
84399cbffffffff,1.0,0.0,0.0
84399d7ffffffff,3.0,0.0,0.0
843e621ffffffff,2.0,0.0,0.0
843e683ffffffff,1.0,0.0,0.0
843e689ffffffff,77.0,3.0,0.0
843e6c3ffffffff,3.0,0.0,0.0
843e6c9ffffffff,7.0,0.0,0.0
843e6cbffffffff,16.0,0.0,0.0
8443813ffffffff,1.0,0.0,0.0
8443a11ffffffff,2.0,0.0,0.0
8443a13ffffffff,11.0,0.0,1.0
8443a15ffffffff,17.0,0.0,1.0
8443a17ffffffff,43.0,0.0,5.0
8443a39ffffffff,2.0,0.0,0.0
8443a69ffffffff,1.0,0.0,0.0
8443a8dffffffff,1.0,0.0,0.0
8443ac1ffffffff,6.0,0.0,0.0
8443ac3ffffffff,2.0,0.0,0.0
8443ac5ffffffff,34.0,0.0,3.0
8443acbffffffff,1.0,0.0,1.0
8443acdffffffff,5.0,0.0,0.0
8443ae3ffffffff,2.0,0.0,0.0
8443ae5ffffffff,17.0,0.0,1.0
8443aedffffffff,15.0,0.0,0.0
8443b1bffffffff,1.0,0.0,0.0
8453059ffffffff,1.0,0.0,0.0
84530cbffffffff,1.0,0.0,0.0
845313bffffffff,3.0,0.0,0.0
8453245ffffffff,4.0,0.0,0.0
8453291ffffffff,1.0,0.0,0.0
845343dffffffff,1.0,0.0,0.0
8453441ffffffff,1.0,0.0,0.0
8453451ffffffff,10.0,0.0,0.0
84534c9ffffffff,3.0,0.0,0.0
84534ddffffffff,1.0,0.0,0.0
8453631ffffffff,11.0,0.0,0.0
8453685ffffffff,1.0,0.0,0.0
845373dffffffff,3.0,0.0,0.0
845512bffffffff,7.0,0.0,0.0
8455131ffffffff,2.0,0.0,0.0
8455133ffffffff,2.0,0.0,0.0
8455135ffffffff,2.0,0.0,0.0
845513dffffffff,1.0,0.0,0.0
8455183ffffffff,3.0,0.0,0.0
84551edffffffff,3.0,0.0,0.0
8455abdffffffff,1.0,0.0,0.0
