cell_id,Basileuterus tristriatus,Basileuterus tristriatus sanlucasensis,Basileuterus tristriatus daedalus,Basileuterus tristriatus auricularis,Basileuterus tristriatus meridanus/bessereri,Basileuterus tristriatus pariae,Basileuterus tristriatus tristriatus/baezae
825f4ffffffffff,12.0,0.0,0.0,0.0,1.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
826607fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,608.0,0.0,0.0,5.0,0.0,0.0,0.0
82661ffffffffff,6005.0,0.0,289.0,31.0,0.0,0.0,0.0
826627fffffffff,88.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,244.0,0.0,0.0,0.0,23.0,0.0,0.0
8266c7fffffffff,1119.0,0.0,0.0,12.0,0.0,0.0,0.0
8266d7fffffffff,6026.0,0.0,627.0,0.0,0.0,0.0,0.0
8266dffffffffff,796.0,0.0,0.0,0.0,0.0,0.0,45.0
8266e7fffffffff,3590.0,0.0,8.0,42.0,0.0,0.0,0.0
8266f7fffffffff,3608.0,0.0,35.0,30.0,0.0,0.0,0.0
826747fffffffff,407.0,0.0,0.0,0.0,18.0,0.0,0.0
82674ffffffffff,1450.0,0.0,0.0,0.0,29.0,0.0,0.0
82675ffffffffff,181.0,0.0,0.0,0.0,6.0,0.0,0.0
828b67fffffffff,857.0,0.0,0.0,0.0,0.0,0.0,18.0
828b6ffffffffff,88.0,0.0,0.0,0.0,0.0,0.0,5.0
828e67fffffffff,167.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
828f0ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,201.0,0.0,7.0,0.0,0.0,0.0,0.0
828f47fffffffff,241.0,0.0,0.0,0.0,0.0,0.0,9.0
828f4ffffffffff,131.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,80.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,766.0,0.0,0.0,0.0,0.0,0.0,60.0
