cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
8312d2fffffffff,7.0,0.0,0.0
8326dbfffffffff,2.0,0.0,2.0
832802fffffffff,2.0,1.0,0.0
832811fffffffff,2.0,0.0,0.0
832814fffffffff,12.0,0.0,0.0
832815fffffffff,18.0,0.0,0.0
83281cfffffffff,5.0,0.0,0.0
83281efffffffff,4.0,0.0,0.0
832830fffffffff,329.0,0.0,0.0
832831fffffffff,3.0,0.0,0.0
832832fffffffff,95.0,4.0,0.0
832833fffffffff,124.0,0.0,0.0
832834fffffffff,27.0,7.0,0.0
832835fffffffff,48.0,0.0,0.0
832836fffffffff,500.0,0.0,0.0
832888fffffffff,2.0,0.0,0.0
83288dfffffffff,8.0,0.0,0.0
8328a9fffffffff,22.0,0.0,0.0
8328aefffffffff,42.0,0.0,0.0
8328d0fffffffff,1.0,0.0,0.0
8328d1fffffffff,6.0,0.0,0.0
8328d3fffffffff,18.0,0.0,0.0
8328d5fffffffff,19.0,8.0,0.0
8328d8fffffffff,2.0,0.0,0.0
8328dafffffffff,2.0,0.0,0.0
8328dcfffffffff,10.0,6.0,0.0
8328defffffffff,10.0,2.0,0.0
8328f0fffffffff,5.0,0.0,0.0
8328f2fffffffff,28.0,0.0,0.0
8328f6fffffffff,3.0,0.0,0.0
832912fffffffff,16.0,10.0,0.0
832913fffffffff,6.0,0.0,0.0
832916fffffffff,3.0,0.0,0.0
83291afffffffff,1.0,1.0,0.0
832989fffffffff,6.0,0.0,0.0
832994fffffffff,4.0,0.0,0.0
8329a0fffffffff,83.0,6.0,0.0
8329a1fffffffff,5.0,2.0,0.0
8329a3fffffffff,1.0,0.0,0.0
8329a4fffffffff,17.0,2.0,0.0
8329a5fffffffff,22.0,1.0,0.0
8329a6fffffffff,17.0,0.0,0.0
8329a8fffffffff,2.0,0.0,0.0
8329a9fffffffff,12.0,4.0,0.0
8329acfffffffff,12.0,0.0,0.0
8329adfffffffff,10.0,0.0,0.0
8329aefffffffff,37.0,2.0,0.0
8329b0fffffffff,34.0,0.0,4.0
8329b2fffffffff,7.0,0.0,1.0
8329b6fffffffff,296.0,0.0,3.0
834525fffffffff,2.0,0.0,0.0
834814fffffffff,1.0,0.0,1.0
83482efffffffff,7.0,0.0,0.0
834833fffffffff,11.0,0.0,4.0
83485bfffffffff,6.0,0.0,0.0
83485dfffffffff,1.0,0.0,0.0
834882fffffffff,1.0,0.0,0.0
834883fffffffff,3.0,0.0,0.0
83488afffffffff,16.0,0.0,0.0
83488efffffffff,15.0,0.0,0.0
834898fffffffff,98.0,0.0,4.0
834899fffffffff,2.0,0.0,0.0
83489afffffffff,13.0,0.0,0.0
83489cfffffffff,118.0,0.0,0.0
83489dfffffffff,23.0,0.0,0.0
83489efffffffff,34.0,0.0,2.0
8348a2fffffffff,1.0,0.0,1.0
8348abfffffffff,13.0,0.0,5.0
8348c1fffffffff,8.0,0.0,5.0
8348c3fffffffff,13.0,0.0,0.0
8348c5fffffffff,4.0,0.0,3.0
8348c9fffffffff,3.0,0.0,0.0
8348ccfffffffff,6.0,0.0,0.0
8348cdfffffffff,89.0,0.0,16.0
8348d3fffffffff,2.0,0.0,0.0
8348d4fffffffff,13.0,0.0,0.0
8348d5fffffffff,2.0,0.0,0.0
8348e3fffffffff,8.0,0.0,6.0
8348e8fffffffff,635.0,0.0,284.0
8348e9fffffffff,16.0,0.0,0.0
8348eafffffffff,6.0,0.0,0.0
8348ebfffffffff,511.0,0.0,9.0
8348ecfffffffff,90.0,0.0,76.0
8348edfffffffff,6.0,0.0,0.0
8348eefffffffff,140.0,0.0,38.0
8348f2fffffffff,5.0,0.0,5.0
834982fffffffff,9.0,0.0,5.0
834986fffffffff,2.0,0.0,2.0
834990fffffffff,3.0,0.0,1.0
834994fffffffff,7.0,0.0,2.0
834995fffffffff,4.0,0.0,4.0
834996fffffffff,4.0,0.0,0.0
834998fffffffff,2.0,0.0,2.0
83499cfffffffff,3.0,0.0,2.0
8349a8fffffffff,2.0,0.0,2.0
8349b1fffffffff,21.0,0.0,21.0
8349b3fffffffff,3.0,0.0,3.0
836d21fffffffff,1.0,0.0,1.0
836d23fffffffff,10.0,0.0,1.0
836d29fffffffff,2.0,0.0,0.0
836d32fffffffff,7.0,0.0,0.0
836d33fffffffff,4.0,0.0,1.0
