cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
822687fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824447fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82444ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824467fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82446ffffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82452ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
824837fffffffff,9.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
824887fffffffff,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82488ffffffffff,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824897fffffffff,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82489ffffffffff,205.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8248affffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248b7fffffffff,1550.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8248c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248d7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248effffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82490ffffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
824987fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82499ffffffffff,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82660ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
826627fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,25.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
8266d7fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
8266dffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
82674ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82675ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
826d17fffffffff,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d37fffffffff,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
