cell_id,Psilopogon asiaticus,Psilopogon asiaticus asiaticus,Psilopogon asiaticus davisoni
83209afffffffff,14.0,0.0,0.0
833c0afffffffff,18.0,2.0,0.0
833c11fffffffff,2.0,0.0,0.0
833c19fffffffff,15.0,0.0,0.0
833c1bfffffffff,10.0,0.0,0.0
833c1cfffffffff,26.0,1.0,0.0
833c1dfffffffff,6.0,0.0,0.0
833c5afffffffff,3.0,0.0,3.0
833c8cfffffffff,10.0,1.0,0.0
833ce1fffffffff,2.0,2.0,0.0
833ce3fffffffff,1.0,0.0,0.0
833ce4fffffffff,10.0,0.0,0.0
833ce5fffffffff,2.0,2.0,0.0
833cecfffffffff,1.0,1.0,0.0
833cf0fffffffff,11.0,0.0,0.0
833cf2fffffffff,22.0,2.0,0.0
833cf4fffffffff,2.0,0.0,0.0
833cf6fffffffff,10.0,0.0,0.0
833d14fffffffff,1.0,0.0,0.0
833d1efffffffff,2.0,2.0,0.0
833dadfffffffff,3.0,3.0,0.0
83402afffffffff,2.0,0.0,0.0
83404cfffffffff,11.0,11.0,0.0
83404dfffffffff,1.0,1.0,0.0
834118fffffffff,1.0,0.0,0.0
83414dfffffffff,1.0,0.0,0.0
