cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
82661ffffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8266d7fffffffff,6.0,0.0,1.0,0.0,0.0,0.0
8266f7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
828067fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
828137fffffffff,2.0,0.0,0.0,0.0,1.0,1.0
828147fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
82814ffffffffff,13.0,0.0,0.0,0.0,13.0,0.0
828177fffffffff,10.0,0.0,0.0,0.0,8.0,0.0
828b67fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828f0ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82a817fffffffff,78.0,0.0,3.0,0.0,13.0,26.0
82a8a7fffffffff,13.0,0.0,0.0,0.0,4.0,6.0
