cell_id,Cardellina rubra,Cardellina rubra melanauris,Cardellina rubra rubra/rowleyi
834814fffffffff,2.0,2.0,0.0
834833fffffffff,10.0,8.0,0.0
8348e8fffffffff,9.0,0.0,2.0
834980fffffffff,4.0,0.0,0.0
834982fffffffff,15.0,0.0,2.0
834986fffffffff,3.0,0.0,3.0
834990fffffffff,14.0,0.0,0.0
834991fffffffff,2.0,0.0,2.0
834994fffffffff,15.0,0.0,0.0
834995fffffffff,43.0,0.0,2.0
834996fffffffff,9.0,0.0,2.0
8349a8fffffffff,2.0,0.0,2.0
8349b1fffffffff,4.0,0.0,4.0
836d30fffffffff,1.0,0.0,1.0
836d32fffffffff,15.0,0.0,10.0
