cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
8412c87ffffffff,11.0,0.0,0.0
8412ccdffffffff,27.0,0.0,0.0
8412d11ffffffff,3.0,0.0,0.0
8412d17ffffffff,5.0,0.0,0.0
8412db3ffffffff,3.0,0.0,0.0
8426009ffffffff,2.0,0.0,0.0
842600dffffffff,1.0,0.0,0.0
8426047ffffffff,2.0,0.0,0.0
842605bffffffff,2.0,0.0,0.0
8426063ffffffff,2.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0
8426097ffffffff,2.0,0.0,0.0
8426099ffffffff,4.0,0.0,0.0
84260a9ffffffff,6.0,0.0,0.0
84260b3ffffffff,3.0,0.0,0.0
84260b9ffffffff,7.0,0.0,0.0
84260bbffffffff,6.0,0.0,0.0
84260cbffffffff,4.0,0.0,0.0
84260ddffffffff,2.0,0.0,0.0
84260e3ffffffff,3.0,0.0,0.0
8426101ffffffff,2.0,0.0,0.0
842610dffffffff,2.0,0.0,0.0
8426117ffffffff,1.0,0.0,0.0
842611dffffffff,1.0,0.0,0.0
842612bffffffff,10.0,0.0,0.0
842612dffffffff,4.0,0.0,0.0
8426155ffffffff,5.0,0.0,0.0
8426187ffffffff,2.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0
84261e1ffffffff,1.0,0.0,0.0
84261e7ffffffff,4.0,0.0,0.0
8426205ffffffff,4.0,0.0,0.0
8426231ffffffff,2.0,0.0,0.0
8426233ffffffff,2.0,0.0,0.0
8426237ffffffff,2.0,0.0,0.0
84262adffffffff,6.0,0.0,0.0
84262c3ffffffff,11.0,0.0,0.0
84262e1ffffffff,4.0,0.0,0.0
84262e5ffffffff,2.0,0.0,0.0
842640dffffffff,16.0,0.0,0.0
8426425ffffffff,2.0,0.0,0.0
8426463ffffffff,81.0,0.0,0.0
8426509ffffffff,4.0,0.0,0.0
842652bffffffff,1.0,0.0,0.0
8426533ffffffff,43.0,0.0,0.0
8426539ffffffff,2.0,0.0,0.0
842653bffffffff,5.0,0.0,0.0
8426541ffffffff,2.0,0.0,0.0
8426547ffffffff,7.0,0.0,0.0
8426551ffffffff,29.0,0.0,0.0
8426555ffffffff,108.0,0.0,2.0
8426557ffffffff,10.0,0.0,0.0
842655dffffffff,2.0,0.0,0.0
8426561ffffffff,2.0,0.0,0.0
8426563ffffffff,2.0,0.0,0.0
842656dffffffff,3.0,0.0,0.0
84265b1ffffffff,1.0,0.0,0.0
84265b3ffffffff,2.0,0.0,0.0
84265b5ffffffff,79.0,0.0,0.0
84265b9ffffffff,2.0,0.0,0.0
84265bbffffffff,2.0,0.0,0.0
84265e9ffffffff,2.0,0.0,0.0
84265edffffffff,13.0,0.0,2.0
8426627ffffffff,1.0,0.0,0.0
8426645ffffffff,56.0,0.0,0.0
8426647ffffffff,2.0,0.0,0.0
8426717ffffffff,4.0,0.0,0.0
8426723ffffffff,2.0,0.0,0.0
8426727ffffffff,1.0,0.0,0.0
8426735ffffffff,3.0,0.0,0.0
8426803ffffffff,3.0,0.0,0.0
8426805ffffffff,5.0,0.0,0.0
842680bffffffff,3.0,0.0,0.0
8426811ffffffff,2.0,0.0,0.0
842681bffffffff,19.0,0.0,0.0
8426829ffffffff,1.0,0.0,0.0
842683bffffffff,6.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
8426859ffffffff,12.0,0.0,0.0
842685bffffffff,9.0,0.0,0.0
842685dffffffff,16.0,0.0,0.0
8426881ffffffff,23.0,0.0,0.0
8426885ffffffff,2.0,0.0,0.0
8426887ffffffff,1.0,0.0,0.0
8426889ffffffff,13.0,0.0,0.0
842688dffffffff,10.0,0.0,0.0
8426897ffffffff,2.0,0.0,0.0
8426899ffffffff,19.0,0.0,0.0
842689dffffffff,5.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0
84268b9ffffffff,2.0,0.0,0.0
84268bbffffffff,7.0,0.0,0.0
84268c1ffffffff,10.0,0.0,0.0
84268c5ffffffff,7.0,0.0,0.0
84268c7ffffffff,1.0,0.0,0.0
84268c9ffffffff,2.0,0.0,0.0
84268cbffffffff,1.0,0.0,0.0
84268cdffffffff,51.0,0.0,0.0
84268d7ffffffff,27.0,0.0,0.0
84268d9ffffffff,3.0,0.0,0.0
84268dbffffffff,17.0,0.0,0.0
84268e7ffffffff,2.0,0.0,0.0
84268ebffffffff,7.0,0.0,0.0
8426905ffffffff,3.0,0.0,0.0
842690dffffffff,23.0,0.0,0.0
8426945ffffffff,3.0,0.0,0.0
842694dffffffff,5.0,0.0,0.0
8426961ffffffff,22.0,0.0,0.0
8426963ffffffff,3.0,0.0,0.0
8426969ffffffff,14.0,0.0,0.0
842696bffffffff,13.0,0.0,0.0
8426987ffffffff,4.0,0.0,0.0
8426989ffffffff,2.0,0.0,0.0
8426991ffffffff,2.0,0.0,0.0
8426995ffffffff,23.0,0.0,0.0
842699bffffffff,5.0,0.0,0.0
84269a1ffffffff,1.0,0.0,0.0
84269cdffffffff,11.0,0.0,0.0
84269d1ffffffff,1.0,0.0,0.0
84269d5ffffffff,14.0,0.0,0.0
84269d9ffffffff,1.0,0.0,0.0
8426a2bffffffff,4.0,0.0,0.0
