cell_id,Leptasthenura aegithaloides,Leptasthenura aegithaloides grisescens,Leptasthenura aegithaloides berlepschi,Leptasthenura aegithaloides aegithaloides,Leptasthenura aegithaloides pallida
84b2007ffffffff,2.0,2.0,0.0,0.0,0.0
84b2009ffffffff,2.0,2.0,0.0,0.0,0.0
84b2283ffffffff,1.0,0.0,1.0,0.0,0.0
84b244dffffffff,1.0,0.0,0.0,0.0,0.0
84b2457ffffffff,6.0,0.0,0.0,0.0,0.0
84b2463ffffffff,8.0,0.0,0.0,0.0,0.0
84b246bffffffff,6.0,0.0,0.0,0.0,0.0
84b2597ffffffff,3.0,0.0,0.0,0.0,0.0
84b2627ffffffff,2.0,0.0,0.0,0.0,0.0
84b2c41ffffffff,2.0,0.0,0.0,2.0,0.0
84b2c47ffffffff,1.0,0.0,0.0,0.0,0.0
84b2c4bffffffff,2.0,0.0,0.0,2.0,0.0
84b2c51ffffffff,4.0,0.0,0.0,0.0,0.0
84b2c55ffffffff,5.0,0.0,0.0,5.0,0.0
84b2cddffffffff,3.0,0.0,0.0,0.0,3.0
84b2e2dffffffff,3.0,0.0,0.0,0.0,0.0
84b2e4dffffffff,1.0,0.0,0.0,0.0,0.0
84b2e99ffffffff,4.0,0.0,0.0,0.0,0.0
84b2ea7ffffffff,1.0,0.0,0.0,0.0,1.0
84b2ec5ffffffff,4.0,0.0,0.0,0.0,0.0
84b2ee1ffffffff,7.0,0.0,0.0,0.0,7.0
84b2ee9ffffffff,4.0,0.0,0.0,0.0,4.0
84b2eebffffffff,2.0,0.0,0.0,0.0,0.0
84b30abffffffff,2.0,0.0,0.0,2.0,0.0
84b3289ffffffff,1.0,0.0,1.0,0.0,0.0
84b3515ffffffff,5.0,0.0,5.0,0.0,0.0
84b3539ffffffff,2.0,0.0,2.0,0.0,0.0
84b354bffffffff,4.0,0.0,1.0,3.0,0.0
84b3731ffffffff,1.0,0.0,1.0,0.0,0.0
84b3735ffffffff,1.0,0.0,1.0,0.0,0.0
84c2e99ffffffff,10.0,0.0,0.0,0.0,0.0
84c3239ffffffff,4.0,0.0,0.0,0.0,4.0
84c32a9ffffffff,3.0,0.0,0.0,0.0,3.0
84c32adffffffff,4.0,0.0,0.0,0.0,0.0
84c32e1ffffffff,3.0,0.0,0.0,0.0,3.0
84c34bbffffffff,3.0,0.0,0.0,0.0,0.0
84c3569ffffffff,4.0,0.0,0.0,0.0,0.0
84cf123ffffffff,2.0,0.0,0.0,0.0,0.0
84cf127ffffffff,2.0,0.0,0.0,0.0,2.0
84cf129ffffffff,12.0,0.0,0.0,0.0,2.0
84cf12bffffffff,2.0,0.0,0.0,0.0,0.0
84cf853ffffffff,2.0,0.0,0.0,0.0,2.0
84cf885ffffffff,3.0,0.0,0.0,0.0,3.0
84cf887ffffffff,2.0,0.0,0.0,0.0,0.0
84cf88dffffffff,6.0,0.0,0.0,0.0,0.0
84cf895ffffffff,3.0,0.0,0.0,0.0,3.0
84cf8a3ffffffff,2.0,0.0,0.0,0.0,0.0
84cf8d5ffffffff,1.0,0.0,0.0,0.0,0.0
84cfa49ffffffff,3.0,0.0,0.0,0.0,0.0
84df681ffffffff,4.0,0.0,0.0,0.0,4.0
84df683ffffffff,15.0,0.0,0.0,0.0,14.0
84df699ffffffff,2.0,0.0,0.0,0.0,1.0
84df6a3ffffffff,1.0,0.0,0.0,0.0,0.0
84df6b7ffffffff,3.0,0.0,0.0,0.0,0.0
84df6b9ffffffff,3.0,0.0,0.0,0.0,0.0
