cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
835280fffffffff,12.0,12.0,0.0
835281fffffffff,4.0,4.0,0.0
835283fffffffff,17.0,17.0,0.0
835284fffffffff,2.0,2.0,0.0
835285fffffffff,3.0,3.0,0.0
835286fffffffff,15.0,15.0,0.0
835291fffffffff,3.0,3.0,0.0
835298fffffffff,16.0,14.0,0.0
835299fffffffff,62.0,61.0,0.0
83529afffffffff,5.0,5.0,0.0
83529bfffffffff,320.0,291.0,0.0
83529dfffffffff,2.0,2.0,0.0
83529efffffffff,1.0,1.0,0.0
836a48fffffffff,1.0,1.0,0.0
836a49fffffffff,3.0,1.0,0.0
836a4afffffffff,1.0,0.0,0.0
836a5afffffffff,22.0,19.0,0.0
836a69fffffffff,2.0,2.0,0.0
836a6dfffffffff,2.0,2.0,0.0
836ac0fffffffff,5.0,2.0,0.0
836ac1fffffffff,3.0,2.0,0.0
836ac2fffffffff,2.0,2.0,0.0
836ac3fffffffff,156.0,136.0,0.0
836ac8fffffffff,3.0,3.0,0.0
836ac9fffffffff,31.0,31.0,0.0
836acefffffffff,46.0,38.0,0.0
836ad8fffffffff,119.0,90.0,0.0
836adafffffffff,3.0,3.0,0.0
836adcfffffffff,914.0,819.0,0.0
836addfffffffff,32.0,30.0,0.0
836adefffffffff,115.0,74.0,0.0
836aeafffffffff,3.0,3.0,0.0
836aeefffffffff,6.0,6.0,0.0
837a40fffffffff,186.0,164.0,0.0
837a41fffffffff,112.0,103.0,0.0
837a43fffffffff,2.0,2.0,0.0
837a44fffffffff,1.0,0.0,0.0
837a45fffffffff,373.0,339.0,0.0
837a48fffffffff,38.0,33.0,0.0
837a4bfffffffff,9.0,9.0,0.0
837a4cfffffffff,122.0,97.0,0.0
837a4dfffffffff,21.0,20.0,0.0
837a60fffffffff,197.0,142.0,0.0
837a61fffffffff,81.0,78.0,0.0
837a63fffffffff,22.0,21.0,0.0
837a64fffffffff,65.0,62.0,0.0
837a65fffffffff,250.0,227.0,0.0
837a66fffffffff,1.0,1.0,0.0
837a68fffffffff,452.0,386.0,0.0
837a69fffffffff,8.0,8.0,0.0
837a6afffffffff,788.0,708.0,0.0
837a6bfffffffff,26.0,20.0,0.0
837a6cfffffffff,19.0,17.0,0.0
837a6dfffffffff,181.0,172.0,0.0
837a6efffffffff,521.0,461.0,0.0
837ac1fffffffff,4.0,4.0,0.0
837ac8fffffffff,16.0,13.0,0.0
837ac9fffffffff,9.0,7.0,0.0
837acafffffffff,60.0,54.0,0.0
