cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
824527fffffffff,14.0,0.0,4.0
82452ffffffffff,2161.0,0.0,82.0
824807fffffffff,13.0,0.0,0.0
82480ffffffffff,305.0,0.0,0.0
824817fffffffff,154.0,8.0,0.0
82481ffffffffff,49.0,0.0,0.0
824837fffffffff,1034.0,76.0,0.0
824887fffffffff,27.0,3.0,0.0
8248a7fffffffff,1792.0,63.0,0.0
8248b7fffffffff,23.0,0.0,0.0
8248e7fffffffff,173.0,0.0,0.0
824987fffffffff,746.0,57.0,0.0
82498ffffffffff,65.0,0.0,0.0
824997fffffffff,3790.0,312.0,0.0
82499ffffffffff,404.0,6.0,0.0
8249a7fffffffff,17.0,0.0,0.0
8249affffffffff,1556.0,54.0,0.0
8249b7fffffffff,644.0,12.0,0.0
826d07fffffffff,119.0,10.0,0.0
826d17fffffffff,460.0,2.0,0.0
826d27fffffffff,784.0,52.0,45.0
826d2ffffffffff,3117.0,368.0,1047.0
826d37fffffffff,4099.0,83.0,45.0
