cell_id,Bradornis microrhynchus,Bradornis microrhynchus pumilus,Bradornis microrhynchus [microrhynchus Group]
847a401ffffffff,3.0,0.0,3.0
847a405ffffffff,1.0,0.0,1.0
847a413ffffffff,1.0,0.0,0.0
847a4dbffffffff,2.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0
847a611ffffffff,1.0,0.0,1.0
847a681ffffffff,1.0,0.0,1.0
847a683ffffffff,7.0,0.0,6.0
847a687ffffffff,2.0,0.0,0.0
847a68bffffffff,4.0,0.0,4.0
847a6a1ffffffff,2.0,0.0,2.0
847a6e1ffffffff,4.0,0.0,4.0
847a6e9ffffffff,1.0,0.0,1.0
847ae99ffffffff,1.0,1.0,0.0
847b597ffffffff,2.0,0.0,0.0
