cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
848b259ffffffff,2.0,0.0,2.0
848b611ffffffff,2.0,0.0,2.0
848e663ffffffff,10.0,0.0,8.0
848e6c3ffffffff,2.0,0.0,2.0
848f547ffffffff,14.0,0.0,0.0
848f553ffffffff,2.0,2.0,0.0
848f581ffffffff,1.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0
84b3051ffffffff,3.0,0.0,3.0
84b305dffffffff,39.0,0.0,37.0
84b3201ffffffff,1.0,0.0,0.0
84b3203ffffffff,2.0,0.0,0.0
84b326dffffffff,3.0,0.0,3.0
84b32cdffffffff,2.0,0.0,0.0
84b342dffffffff,14.0,0.0,0.0
84b3517ffffffff,7.0,0.0,0.0
84b35a1ffffffff,2.0,0.0,0.0
84b35a7ffffffff,2.0,0.0,2.0
84b35e1ffffffff,2.0,0.0,0.0
84b35e5ffffffff,2.0,0.0,0.0
84b35e9ffffffff,1.0,0.0,0.0
