cell_id,Zoothera dauma,Zoothera dauma dauma,Zoothera dauma horsfieldi,Zoothera dauma iriomotensis
823c07fffffffff,210.0,0.0,0.0,0.0
823c0ffffffffff,46.0,0.0,0.0,0.0
823c17fffffffff,11.0,0.0,0.0,0.0
823c1ffffffffff,105.0,2.0,0.0,0.0
823c37fffffffff,26.0,0.0,0.0,0.0
823c57fffffffff,82.0,0.0,0.0,0.0
823c5ffffffffff,68.0,0.0,0.0,0.0
823caffffffffff,5.0,0.0,0.0,0.0
823cc7fffffffff,18.0,0.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0
823ce7fffffffff,74.0,5.0,0.0,0.0
823ceffffffffff,61.0,0.0,0.0,0.0
823cf7fffffffff,68.0,1.0,0.0,0.0
823d17fffffffff,176.0,7.0,0.0,0.0
823d1ffffffffff,73.0,0.0,0.0,0.0
823d37fffffffff,4.0,0.0,0.0,0.0
823daffffffffff,261.0,6.0,0.0,0.0
824047fffffffff,7.0,4.0,0.0,0.0
82404ffffffffff,25.0,0.0,0.0,0.0
8240c7fffffffff,5.0,0.0,0.0,0.0
8240e7fffffffff,6.0,0.0,0.0,0.0
8240effffffffff,2.0,0.0,0.0,0.0
824147fffffffff,6.0,3.0,0.0,0.0
82415ffffffffff,9.0,1.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0
82426ffffffffff,1.0,0.0,0.0,0.0
824b87fffffffff,2.0,2.0,0.0,0.0
824ba7fffffffff,53.0,1.0,0.0,0.0
826487fffffffff,53.0,12.0,0.0,0.0
826497fffffffff,100.0,20.0,0.0,0.0
82649ffffffffff,3.0,1.0,0.0,0.0
8264a7fffffffff,4.0,0.0,0.0,0.0
8265b7fffffffff,6.0,0.0,0.0,0.0
828c17fffffffff,11.0,0.0,11.0,0.0
828d87fffffffff,1.0,0.0,0.0,0.0
828d8ffffffffff,1.0,0.0,1.0,0.0
828da7fffffffff,22.0,0.0,14.0,0.0
828db7fffffffff,2.0,0.0,1.0,0.0
8295a7fffffffff,2.0,0.0,0.0,0.0
