cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
83660afffffffff,1.0,0.0,0.0
836613fffffffff,2.0,0.0,0.0
83661bfffffffff,12.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
836672fffffffff,2.0,0.0,0.0
8366a0fffffffff,29.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366b4fffffffff,11.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366c4fffffffff,7.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e0fffffffff,4.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0
83679afffffffff,5.0,1.0,0.0
836d68fffffffff,13.0,0.0,0.0
836d69fffffffff,53.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0
838f29fffffffff,12.0,0.0,0.0
838f2cfffffffff,18.0,0.0,0.0
83a859fffffffff,4.0,0.0,0.0
