cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
84945e5ffffffff,1.0,0.0,0.0
8494ed3ffffffff,2.0,2.0,0.0
849c231ffffffff,3.0,0.0,0.0
849d0b1ffffffff,2.0,0.0,2.0
849d217ffffffff,3.0,0.0,3.0
84be08dffffffff,2.0,0.0,0.0
84be0e3ffffffff,2.0,0.0,0.0
84be429ffffffff,6.0,0.0,6.0
84be4cdffffffff,2.0,0.0,0.0
84be4e9ffffffff,2.0,0.0,0.0
84be50dffffffff,1.0,0.0,1.0
84be551ffffffff,1.0,0.0,1.0
84be631ffffffff,3.0,0.0,0.0
84be635ffffffff,1.0,0.0,0.0
84be63dffffffff,2.0,0.0,0.0
84be723ffffffff,2.0,0.0,0.0
84be725ffffffff,6.0,0.0,0.0
84be72dffffffff,9.0,0.0,0.0
84be737ffffffff,1.0,0.0,0.0
84be8d1ffffffff,31.0,0.0,0.0
84be8d9ffffffff,4.0,0.0,0.0
84beabbffffffff,2.0,0.0,0.0
84bee19ffffffff,2.0,0.0,0.0
84beec3ffffffff,1.0,0.0,1.0
84bef51ffffffff,2.0,0.0,0.0
