cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
834424fffffffff,28.0,0.0,0.0
834501fffffffff,214.0,2.0,0.0
834505fffffffff,195.0,22.0,0.0
834508fffffffff,958.0,106.0,0.0
834509fffffffff,15.0,5.0,0.0
83450afffffffff,1361.0,36.0,0.0
83450bfffffffff,398.0,55.0,0.0
83450cfffffffff,348.0,26.0,0.0
83450dfffffffff,268.0,139.0,0.0
83450efffffffff,1148.0,73.0,0.0
834520fffffffff,372.0,0.0,0.0
834521fffffffff,837.0,24.0,0.0
834522fffffffff,1123.0,0.0,0.0
834523fffffffff,1646.0,63.0,0.0
834524fffffffff,56.0,0.0,0.0
834525fffffffff,259.0,3.0,0.0
834526fffffffff,1024.0,0.0,0.0
834528fffffffff,1328.0,51.0,0.0
834529fffffffff,39.0,8.0,0.0
83452afffffffff,1819.0,72.0,0.0
83452bfffffffff,475.0,46.0,0.0
83452cfffffffff,1240.0,120.0,0.0
83452dfffffffff,529.0,77.0,0.0
83452efffffffff,10913.0,458.0,0.0
834530fffffffff,49.0,0.0,0.0
834531fffffffff,59.0,0.0,0.0
834532fffffffff,72.0,0.0,0.0
834534fffffffff,103.0,0.0,0.0
834535fffffffff,41.0,0.0,0.0
834536fffffffff,84.0,0.0,0.0
834564fffffffff,48.0,5.0,0.0
834572fffffffff,2.0,0.0,0.0
834576fffffffff,21.0,0.0,0.0
834990fffffffff,3.0,1.0,0.0
834991fffffffff,16.0,0.0,0.0
834996fffffffff,760.0,317.0,0.0
834998fffffffff,90.0,0.0,0.0
83499bfffffffff,2.0,0.0,0.0
83499cfffffffff,22.0,0.0,0.0
83499efffffffff,36.0,0.0,0.0
836606fffffffff,2.0,0.0,0.0
836610fffffffff,16.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0
836616fffffffff,32.0,0.0,6.0
836620fffffffff,5.0,0.0,0.0
836631fffffffff,161.0,0.0,0.0
8366a0fffffffff,315.0,0.0,10.0
8366a2fffffffff,2.0,0.0,0.0
8366a3fffffffff,7.0,0.0,0.0
8366a5fffffffff,5428.0,0.0,848.0
8366a6fffffffff,488.0,0.0,27.0
8366b4fffffffff,2934.0,0.0,0.0
8366b5fffffffff,157.0,0.0,1.0
836790fffffffff,11.0,0.0,0.0
836792fffffffff,13.0,0.0,0.0
836793fffffffff,11.0,0.0,0.0
836794fffffffff,23.0,0.0,0.0
836796fffffffff,260.0,0.0,0.0
83679afffffffff,3037.0,0.0,0.0
83679bfffffffff,969.0,0.0,13.0
8367b2fffffffff,6.0,0.0,0.0
836d04fffffffff,13.0,4.0,0.0
836d05fffffffff,152.0,61.0,0.0
836d20fffffffff,82.0,0.0,0.0
836d21fffffffff,404.0,88.0,0.0
836d22fffffffff,76.0,4.0,0.0
836d23fffffffff,557.0,117.0,0.0
836d24fffffffff,2.0,0.0,0.0
836d25fffffffff,14.0,0.0,0.0
836d26fffffffff,4.0,0.0,0.0
836d29fffffffff,7.0,0.0,0.0
836d2afffffffff,4.0,0.0,0.0
836d2bfffffffff,369.0,0.0,0.0
836d2cfffffffff,747.0,162.0,0.0
836d2dfffffffff,330.0,79.0,0.0
836d2efffffffff,2.0,0.0,0.0
836d30fffffffff,348.0,27.0,0.0
836d31fffffffff,224.0,40.0,0.0
836d34fffffffff,84.0,19.0,0.0
836d35fffffffff,328.0,42.0,0.0
836d36fffffffff,25.0,0.0,0.0
836d60fffffffff,110.0,0.0,0.0
836d61fffffffff,20.0,0.0,0.0
836d64fffffffff,14.0,0.0,0.0
836d65fffffffff,656.0,0.0,0.0
836d66fffffffff,8.0,0.0,0.0
836d68fffffffff,338.0,0.0,0.0
836d69fffffffff,4157.0,0.0,0.0
836d6cfffffffff,8.0,0.0,0.0
836d6dfffffffff,599.0,0.0,0.0
836d74fffffffff,24.0,0.0,0.0
836d75fffffffff,30.0,0.0,0.0
836d76fffffffff,2.0,0.0,0.0
