cell_id,Pteruthius intermedius,Pteruthius intermedius aenobarbulus,Pteruthius intermedius intermedius
843ce29ffffffff,1.0,1.0,0.0
8464825ffffffff,5.0,0.0,5.0
846482bffffffff,10.0,0.0,4.0
8464911ffffffff,1.0,0.0,0.0
8465b2bffffffff,4.0,0.0,0.0
