cell_id,Leptocoma sperata,Leptocoma sperata [sperata Group],Leptocoma sperata juliae
834b93fffffffff,12.0,0.0,0.0
836805fffffffff,3.0,0.0,0.0
836819fffffffff,2.0,0.0,0.0
836828fffffffff,351.0,25.0,0.0
83682dfffffffff,7.0,0.0,0.0
83682efffffffff,1.0,0.0,0.0
836840fffffffff,15.0,1.0,0.0
836841fffffffff,5.0,0.0,0.0
836842fffffffff,2.0,0.0,0.0
836843fffffffff,5.0,0.0,0.0
836844fffffffff,124.0,3.0,0.0
836845fffffffff,1.0,0.0,0.0
836846fffffffff,19.0,6.0,0.0
83684efffffffff,165.0,34.0,12.0
836856fffffffff,24.0,0.0,19.0
836858fffffffff,14.0,3.0,0.0
83685cfffffffff,157.0,14.0,82.0
83685dfffffffff,47.0,10.0,0.0
83685efffffffff,12.0,0.0,5.0
836861fffffffff,1.0,0.0,0.0
836863fffffffff,1.0,0.0,0.0
836864fffffffff,1.0,0.0,0.0
836865fffffffff,28.0,14.0,0.0
836866fffffffff,8.0,1.0,0.0
83686afffffffff,1.0,0.0,0.0
83686efffffffff,25.0,7.0,0.0
836875fffffffff,2.0,0.0,0.0
8368e4fffffffff,1.0,0.0,1.0
836941fffffffff,1.0,0.0,0.0
836943fffffffff,14.0,1.0,0.0
836945fffffffff,13.0,0.0,0.0
836948fffffffff,1.0,0.0,0.0
83694afffffffff,2.0,0.0,0.0
83694cfffffffff,2.0,0.0,0.0
83694efffffffff,146.0,11.0,0.0
836959fffffffff,17.0,10.0,0.0
83695bfffffffff,3.0,0.0,0.0
83695dfffffffff,1.0,0.0,0.0
83695efffffffff,6.0,0.0,0.0
836969fffffffff,1.0,0.0,0.0
83696afffffffff,7.0,1.0,0.0
83696cfffffffff,6.0,1.0,0.0
83696dfffffffff,12.0,3.0,0.0
