cell_id,Petroica pusilla,Petroica pusilla [similis Group],Petroica pusilla pusilla
829a07fffffffff,23.0,0.0,0.0
829a17fffffffff,20.0,0.0,0.0
829b47fffffffff,38.0,0.0,0.0
829b4ffffffffff,30.0,0.0,0.0
829b5ffffffffff,22.0,0.0,0.0
829b6ffffffffff,72.0,0.0,0.0
829e07fffffffff,20.0,0.0,0.0
829e17fffffffff,7.0,0.0,0.0
829e27fffffffff,38.0,0.0,0.0
829e37fffffffff,6.0,0.0,0.0
