cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
8448805ffffffff,1.0,0.0,0.0
844880dffffffff,2.0,0.0,0.0
844882bffffffff,1.0,1.0,0.0
844886bffffffff,1.0,0.0,0.0
84488e9ffffffff,7.0,0.0,0.0
84488ebffffffff,2.0,0.0,0.0
84488edffffffff,13.0,0.0,0.0
8448915ffffffff,21.0,0.0,0.0
844891bffffffff,3.0,3.0,0.0
844891dffffffff,8.0,0.0,0.0
8448951ffffffff,11.0,0.0,0.0
8448953ffffffff,4.0,0.0,0.0
8448955ffffffff,1.0,0.0,0.0
8448957ffffffff,6.0,0.0,0.0
844895bffffffff,3.0,3.0,0.0
844898dffffffff,2.0,0.0,0.0
84489c1ffffffff,60.0,0.0,0.0
84489c3ffffffff,30.0,0.0,0.0
84489c5ffffffff,3.0,0.0,0.0
84489c7ffffffff,11.0,0.0,0.0
84489c9ffffffff,5.0,0.0,0.0
84489d5ffffffff,2.0,0.0,0.0
84489d9ffffffff,11.0,0.0,0.0
84489ddffffffff,6.0,0.0,0.0
84489e1ffffffff,2.0,0.0,0.0
84489e9ffffffff,2.0,0.0,0.0
8448a21ffffffff,5.0,2.0,0.0
8448a29ffffffff,1.0,0.0,0.0
8448a2dffffffff,1.0,1.0,0.0
8448b13ffffffff,2.0,2.0,0.0
8448b15ffffffff,881.0,16.0,0.0
8448b23ffffffff,1.0,0.0,0.0
8448b2bffffffff,16.0,0.0,0.0
8448b31ffffffff,8.0,0.0,0.0
8448b35ffffffff,7.0,0.0,0.0
8448b37ffffffff,1.0,1.0,0.0
8448b39ffffffff,269.0,7.0,0.0
8448b3bffffffff,10.0,0.0,0.0
8448b3dffffffff,32.0,0.0,0.0
8449827ffffffff,2.0,0.0,0.0
8449901ffffffff,2.0,2.0,0.0
8449917ffffffff,1.0,1.0,0.0
8449959ffffffff,30.0,0.0,0.0
8449961ffffffff,4.0,2.0,0.0
8449963ffffffff,2.0,2.0,0.0
8449967ffffffff,4.0,0.0,0.0
8449969ffffffff,5.0,0.0,0.0
8449981ffffffff,11.0,11.0,0.0
8449987ffffffff,6.0,6.0,0.0
84499b7ffffffff,1.0,0.0,0.0
84499c5ffffffff,2.0,2.0,0.0
8449a23ffffffff,3.0,0.0,0.0
8449a85ffffffff,1.0,0.0,1.0
8449b19ffffffff,3.0,0.0,2.0
8449b1dffffffff,5.0,0.0,2.0
8449b57ffffffff,2.0,0.0,0.0
846d30dffffffff,22.0,0.0,0.0
846d311ffffffff,2.0,0.0,0.0
846d315ffffffff,5.0,0.0,1.0
846d32bffffffff,6.0,0.0,2.0
846d337ffffffff,1.0,0.0,1.0
846d36dffffffff,4.0,0.0,0.0
