cell_id,Pinarochroa sordida,Pinarochroa sordida sordida,Pinarochroa sordida ernesti,Pinarochroa sordida olimotiensis,Pinarochroa sordida hypospodia
825287fffffffff,48.0,1.0,0.0,0.0,0.0
82529ffffffffff,384.0,87.0,0.0,0.0,0.0
826a6ffffffffff,1.0,0.0,0.0,0.0,0.0
827a47fffffffff,216.0,0.0,7.0,0.0,0.0
827a4ffffffffff,3.0,0.0,0.0,0.0,0.0
827a67fffffffff,41.0,0.0,0.0,0.0,21.0
827ac7fffffffff,4.0,2.0,0.0,0.0,0.0
827acffffffffff,454.0,169.0,0.0,0.0,0.0
827adffffffffff,22.0,8.0,0.0,0.0,0.0
827aeffffffffff,2.0,0.0,0.0,0.0,0.0
829697fffffffff,21.0,0.0,0.0,0.0,0.0
