cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
843c885ffffffff,144.0,0.0,0.0,0.0,0.0,0.0
843c899ffffffff,128.0,0.0,0.0,0.0,0.0,0.0
843c89bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843cc29ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843cc65ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843cd1bffffffff,21.0,0.0,0.0,1.0,0.0,0.0
843cd41ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843cd43ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843cd49ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843cd4bffffffff,53.0,0.0,0.0,0.0,0.0,0.0
843cd51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843cd53ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843cd5bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843cde9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843cf25ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
843cf27ffffffff,599.0,0.0,0.0,32.0,0.0,0.0
843cf33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843cf35ffffffff,111.0,0.0,0.0,13.0,0.0,0.0
8441421ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8443a8dffffffff,167.0,0.0,80.0,0.0,0.0,0.0
8443ae3ffffffff,16.0,0.0,10.0,0.0,0.0,0.0
844b913ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
844b933ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
844b9cdffffffff,27.0,0.0,0.0,0.0,0.0,6.0
8452113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8452155ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8452157ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8460a91ffffffff,237.0,0.0,0.0,0.0,0.0,0.0
8464087ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84640a7ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
84640b9ffffffff,82.0,0.0,0.0,0.0,0.0,0.0
84640bdffffffff,36.0,0.0,0.0,0.0,0.0,0.0
84640d5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8464121ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8464127ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8464129ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
