cell_id,Asio otus,Asio otus wilsonianus/tuftsi,Asio otus otus/canariensis
820137fffffffff,2.0,0.0,0.0
820807fffffffff,1.0,0.0,0.0
820817fffffffff,2.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0
820887fffffffff,18.0,0.0,0.0
82089ffffffffff,21.0,0.0,2.0
8208a7fffffffff,9.0,0.0,0.0
8208affffffffff,2.0,0.0,0.0
8208b7fffffffff,12.0,0.0,0.0
8208d7fffffffff,2.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0
82099ffffffffff,9.0,0.0,0.0
8209b7fffffffff,1.0,0.0,0.0
820b9ffffffffff,2.0,0.0,0.0
820e4ffffffffff,5.0,0.0,0.0
820ec7fffffffff,9.0,0.0,0.0
820ecffffffffff,7.0,0.0,0.0
820edffffffffff,3.0,0.0,0.0
820eeffffffffff,107.0,0.0,0.0
821017fffffffff,5.0,0.0,0.0
8210c7fffffffff,8.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0
821107fffffffff,45.0,0.0,0.0
821127fffffffff,1.0,0.0,0.0
82112ffffffffff,4.0,0.0,0.0
821137fffffffff,2.0,0.0,0.0
821187fffffffff,4.0,0.0,0.0
82118ffffffffff,13.0,0.0,0.0
8211affffffffff,71.0,0.0,0.0
8211b7fffffffff,1.0,0.0,0.0
82121ffffffffff,2.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821247fffffffff,2.0,0.0,0.0
82124ffffffffff,8.0,0.0,0.0
821257fffffffff,40.0,0.0,0.0
82125ffffffffff,30.0,0.0,0.0
82128ffffffffff,13.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212c7fffffffff,18.0,0.0,0.0
8212cffffffffff,52.0,0.0,0.0
8212d7fffffffff,22.0,0.0,0.0
8212dffffffffff,13.0,0.0,0.0
8212e7fffffffff,4.0,0.0,0.0
8212effffffffff,168.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0
8214affffffffff,41.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0
821597fffffffff,4.0,0.0,0.0
82159ffffffffff,2.0,0.0,0.0
8215b7fffffffff,3.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0
82182ffffffffff,36.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0
