cell_id,Hirundapus caudacutus,Hirundapus caudacutus caudacutus,Hirundapus caudacutus nudipes
831485fffffffff,2.0,0.0,0.0
83148cfffffffff,2.0,0.0,0.0
83149efffffffff,2.0,0.0,0.0
8314aefffffffff,26.0,0.0,0.0
8314c8fffffffff,4.0,0.0,0.0
831588fffffffff,5.0,0.0,0.0
831598fffffffff,1.0,0.0,0.0
832464fffffffff,11.0,0.0,0.0
832540fffffffff,2.0,0.0,0.0
832546fffffffff,26.0,0.0,0.0
832e0cfffffffff,4.0,0.0,0.0
832e1afffffffff,3.0,0.0,0.0
832e1bfffffffff,7.0,0.0,0.0
832e1efffffffff,2.0,0.0,0.0
832e61fffffffff,1.0,0.0,0.0
832e68fffffffff,2.0,0.0,0.0
832e75fffffffff,10.0,0.0,0.0
832e99fffffffff,2.0,0.0,0.0
832eacfffffffff,5.0,0.0,0.0
832eadfffffffff,8.0,0.0,0.0
832ec1fffffffff,2.0,0.0,0.0
832ec2fffffffff,10.0,0.0,0.0
832ec3fffffffff,1.0,0.0,0.0
832ec9fffffffff,1.0,0.0,0.0
832ecbfffffffff,2.0,0.0,0.0
832ecdfffffffff,7.0,0.0,0.0
832ed9fffffffff,2.0,0.0,0.0
832ef6fffffffff,2.0,0.0,0.0
833019fffffffff,3.0,0.0,0.0
83302bfffffffff,1.0,0.0,0.0
833030fffffffff,2.0,0.0,0.0
833032fffffffff,4.0,0.0,0.0
833036fffffffff,2.0,0.0,0.0
833083fffffffff,2.0,0.0,0.0
833098fffffffff,6.0,0.0,0.0
83309afffffffff,2.0,0.0,0.0
83309bfffffffff,13.0,2.0,0.0
8330c3fffffffff,1.0,0.0,0.0
8330e2fffffffff,1.0,0.0,0.0
8330f3fffffffff,1.0,0.0,0.0
83316cfffffffff,2.0,0.0,0.0
83316dfffffffff,1.0,0.0,0.0
83316efffffffff,6.0,0.0,0.0
83318dfffffffff,6.0,0.0,0.0
8331aafffffffff,14.0,0.0,0.0
833c06fffffffff,3.0,0.0,0.0
833c0afffffffff,20.0,0.0,0.0
833c0bfffffffff,51.0,0.0,0.0
833c19fffffffff,6.0,0.0,0.0
833c1dfffffffff,24.0,0.0,0.0
833c31fffffffff,2.0,0.0,0.0
833c52fffffffff,78.0,0.0,0.0
833c53fffffffff,10.0,0.0,0.0
833c58fffffffff,27.0,0.0,0.0
833c69fffffffff,2.0,0.0,0.0
833ce4fffffffff,19.0,0.0,0.0
833ce5fffffffff,77.0,0.0,0.0
833d10fffffffff,3.0,0.0,0.0
833d13fffffffff,7.0,0.0,0.0
833d15fffffffff,3.0,0.0,0.0
833d1efffffffff,9.0,0.0,0.0
833dadfffffffff,13.0,0.0,0.0
83400afffffffff,2.0,0.0,0.0
834019fffffffff,2.0,0.0,0.0
834052fffffffff,4.0,0.0,0.0
834058fffffffff,5.0,0.0,0.0
834059fffffffff,2.0,0.0,0.0
83405cfffffffff,1.0,0.0,0.0
834095fffffffff,2.0,0.0,0.0
8340a6fffffffff,1.0,0.0,0.0
8340c1fffffffff,9.0,0.0,0.0
8340c5fffffffff,4.0,0.0,0.0
8340c6fffffffff,16.0,0.0,0.0
8340cefffffffff,2.0,0.0,0.0
8340e1fffffffff,112.0,0.0,3.0
8340e3fffffffff,5.0,0.0,0.0
8340e6fffffffff,6.0,0.0,0.0
8340eefffffffff,3.0,0.0,0.0
834103fffffffff,6.0,0.0,0.0
83411cfffffffff,10.0,0.0,0.0
83414cfffffffff,2.0,0.0,0.0
83415cfffffffff,1.0,0.0,0.0
834185fffffffff,3.0,0.0,0.0
83419bfffffffff,1.0,0.0,0.0
8341a4fffffffff,2.0,0.0,0.0
8341a5fffffffff,10.0,0.0,0.0
8341b3fffffffff,2.0,0.0,0.0
8341b4fffffffff,29.0,0.0,0.0
8341b5fffffffff,6.0,0.0,0.0
834a26fffffffff,1.0,0.0,0.0
834b34fffffffff,1.0,0.0,0.0
834b84fffffffff,7.0,0.0,0.0
834b86fffffffff,600.0,0.0,0.0
834ba0fffffffff,50.0,0.0,0.0
834ba1fffffffff,3.0,0.0,0.0
834ba2fffffffff,36.0,0.0,0.0
834ba3fffffffff,5.0,0.0,0.0
834ba5fffffffff,3.0,0.0,0.0
834ba6fffffffff,1.0,0.0,0.0
834bb1fffffffff,4.0,0.0,0.0
834bb5fffffffff,13.0,0.0,0.0
836432fffffffff,170.0,1.0,2.0
836502fffffffff,1.0,0.0,0.0
836580fffffffff,4.0,0.0,0.0
83659cfffffffff,2.0,0.0,0.0
8365b2fffffffff,3.0,0.0,0.0
8365b6fffffffff,2.0,0.0,0.0
836811fffffffff,1.0,0.0,0.0
836818fffffffff,9.0,0.0,0.0
83681cfffffffff,1.0,0.0,0.0
8368acfffffffff,2.0,0.0,0.0
8368c8fffffffff,1.0,1.0,0.0
8368cefffffffff,1.0,0.0,0.0
83699afffffffff,2.0,0.0,0.0
8372a2fffffffff,2.0,0.0,0.0
8372d5fffffffff,2.0,0.0,0.0
8372f2fffffffff,9.0,0.0,0.0
8372f3fffffffff,4.0,0.0,0.0
837390fffffffff,5.0,0.0,0.0
837392fffffffff,5.0,0.0,0.0
83739afffffffff,4.0,0.0,0.0
83739bfffffffff,2.0,0.0,0.0
838db5fffffffff,2.0,0.0,0.0
839460fffffffff,9.0,3.0,0.0
83950afffffffff,2.0,0.0,0.0
839544fffffffff,4.0,0.0,0.0
839561fffffffff,14.0,0.0,0.0
839566fffffffff,2.0,0.0,0.0
