cell_id,Luscinia megarhynchos,Luscinia megarhynchos megarhynchos/africana,Luscinia megarhynchos golzii
8407433ffffffff,2.0,0.0,0.0
840880dffffffff,2.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0
8418495ffffffff,5.0,0.0,0.0
84185b3ffffffff,2.0,0.0,0.0
84185bbffffffff,2.0,0.0,0.0
8418729ffffffff,6.0,0.0,0.0
8419413ffffffff,1.0,0.0,0.0
8419437ffffffff,2.0,0.0,0.0
84194c5ffffffff,5.0,2.0,0.0
84194e7ffffffff,2.0,0.0,0.0
84194ebffffffff,3.0,0.0,0.0
8419589ffffffff,1.0,0.0,0.0
841958bffffffff,6.0,0.0,0.0
8419591ffffffff,9.0,0.0,0.0
84195b9ffffffff,4.0,0.0,0.0
84195ddffffffff,2.0,0.0,0.0
841e085ffffffff,3.0,0.0,0.0
841e0a9ffffffff,17.0,0.0,0.0
841e0e3ffffffff,3.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0
841e153ffffffff,2.0,0.0,0.0
841e281ffffffff,1.0,0.0,0.0
841e325ffffffff,3.0,0.0,0.0
841ea19ffffffff,4.0,0.0,0.0
841ea93ffffffff,1.0,0.0,0.0
841eb3dffffffff,1.0,0.0,0.0
841ec1dffffffff,2.0,0.0,0.0
841ec47ffffffff,2.0,0.0,0.0
841ec91ffffffff,1.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0
841ece5ffffffff,1.0,1.0,0.0
841ece9ffffffff,4.0,0.0,0.0
841ed93ffffffff,4.0,2.0,0.0
841eeadffffffff,2.0,0.0,0.0
841ef59ffffffff,2.0,0.0,0.0
841f1b1ffffffff,1.0,0.0,0.0
841f535ffffffff,1.0,0.0,0.0
841f803ffffffff,1.0,0.0,0.0
841f827ffffffff,1.0,0.0,0.0
841f839ffffffff,2.0,0.0,0.0
841f91bffffffff,2.0,2.0,0.0
841f981ffffffff,2.0,0.0,0.0
841f999ffffffff,2.0,0.0,0.0
841f9c3ffffffff,2.0,0.0,0.0
841f9d7ffffffff,2.0,0.0,0.0
841fa17ffffffff,2.0,0.0,0.0
841fa37ffffffff,1.0,0.0,0.0
841faadffffffff,1.0,0.0,0.0
