cell_id,Ploceus ocularis,Ploceus ocularis crocatus,Ploceus ocularis ocularis/suahelicus
835291fffffffff,2.0,0.0,0.0
83529bfffffffff,19.0,0.0,0.0
83589cfffffffff,2.0,0.0,0.0
8358d1fffffffff,2.0,0.0,0.0
8358d3fffffffff,4.0,2.0,0.0
8358defffffffff,7.0,0.0,0.0
836a45fffffffff,2.0,0.0,0.0
836a4bfffffffff,4.0,0.0,0.0
836ac0fffffffff,16.0,0.0,0.0
836ac1fffffffff,76.0,0.0,0.0
836ac2fffffffff,3.0,0.0,0.0
836ac3fffffffff,133.0,5.0,0.0
836ac5fffffffff,1.0,0.0,0.0
836ac8fffffffff,100.0,0.0,0.0
836ac9fffffffff,45.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,16.0,0.0,0.0
836acdfffffffff,16.0,0.0,0.0
836acefffffffff,146.0,3.0,0.0
836ad8fffffffff,116.0,0.0,0.0
836adcfffffffff,141.0,3.0,0.0
836addfffffffff,44.0,2.0,0.0
836adefffffffff,75.0,0.0,0.0
836ae8fffffffff,37.0,0.0,0.0
836aeafffffffff,100.0,4.0,0.0
836aebfffffffff,8.0,0.0,0.0
836aecfffffffff,2.0,0.0,0.0
836aeefffffffff,17.0,0.0,0.0
837a40fffffffff,6.0,0.0,0.0
837a41fffffffff,17.0,0.0,0.0
837a45fffffffff,406.0,0.0,0.0
837a48fffffffff,31.0,0.0,0.0
837a4cfffffffff,29.0,0.0,0.0
837a4dfffffffff,101.0,0.0,0.0
837a60fffffffff,6.0,0.0,0.0
837a61fffffffff,26.0,0.0,0.0
837a63fffffffff,5.0,0.0,0.0
837a64fffffffff,6.0,0.0,0.0
837a65fffffffff,193.0,0.0,0.0
837a68fffffffff,207.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0
837a6afffffffff,216.0,0.0,0.0
837a6bfffffffff,22.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,18.0,0.0,0.0
837a6efffffffff,438.0,0.0,0.0
837a74fffffffff,2.0,0.0,0.0
837ac8fffffffff,70.0,6.0,0.0
837acafffffffff,36.0,5.0,0.0
837accfffffffff,13.0,0.0,0.0
837acdfffffffff,133.0,26.0,0.0
837ad9fffffffff,13.0,2.0,0.0
837aebfffffffff,5.0,0.0,0.0
837aedfffffffff,1.0,0.0,0.0
837b48fffffffff,75.0,0.0,0.0
837b4afffffffff,7.0,0.0,0.0
837b4bfffffffff,29.0,0.0,0.0
837b4cfffffffff,4.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0
837b59fffffffff,13.0,0.0,0.0
837b5bfffffffff,6.0,0.0,0.0
837b68fffffffff,3.0,0.0,0.0
