cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
82728ffffffffff,18.0,0.0,0.0
827297fffffffff,64.0,0.0,4.0
82729ffffffffff,5.0,0.0,0.0
8272a7fffffffff,16.0,0.0,3.0
8272affffffffff,219.0,0.0,48.0
8272cffffffffff,12.0,0.0,0.0
8272d7fffffffff,22.0,0.0,2.0
8272dffffffffff,56.0,0.0,2.0
8272f7fffffffff,188.0,0.0,32.0
827397fffffffff,318.0,0.0,18.0
82739ffffffffff,272.0,0.0,52.0
827687fffffffff,1.0,0.0,0.0
82769ffffffffff,54.0,0.0,0.0
827797fffffffff,8.0,0.0,0.0
82779ffffffffff,16.0,0.0,0.0
829467fffffffff,34.0,26.0,0.0
829547fffffffff,74.0,0.0,6.0
82956ffffffffff,300.0,0.0,12.0
829c07fffffffff,1002.0,0.0,150.0
829c1ffffffffff,824.0,0.0,156.0
829c27fffffffff,3826.0,0.0,406.0
829c2ffffffffff,2.0,0.0,0.0
829c97fffffffff,360.0,0.0,0.0
829c9ffffffffff,124.0,0.0,0.0
829ca7fffffffff,55.0,0.0,0.0
829caffffffffff,94.0,0.0,11.0
829cb7fffffffff,43.0,0.0,0.0
829cd7fffffffff,275.0,0.0,31.0
829cdffffffffff,1.0,0.0,0.0
829ce7fffffffff,2.0,0.0,1.0
829cf7fffffffff,113.0,0.0,51.0
829d07fffffffff,2.0,0.0,1.0
829d0ffffffffff,10.0,0.0,2.0
829d97fffffffff,2.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0
829ed7fffffffff,17.0,0.0,1.0
829edffffffffff,6.0,0.0,0.0
