cell_id,Falco chicquera,Falco chicquera chicquera,Falco chicquera ruficollis/horsbrughi
843c029ffffffff,14.0,0.0,0.0
843c191ffffffff,10.0,0.0,0.0
843c199ffffffff,8.0,0.0,0.0
843c19dffffffff,2.0,0.0,0.0
843c1a9ffffffff,2.0,0.0,0.0
843c1c3ffffffff,35.0,0.0,0.0
843c1c7ffffffff,1.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0
843c363ffffffff,4.0,0.0,0.0
843ca47ffffffff,1.0,0.0,0.0
843ca97ffffffff,5.0,0.0,0.0
843cb11ffffffff,4.0,0.0,0.0
843cb15ffffffff,9.0,0.0,0.0
843cb1dffffffff,17.0,0.0,0.0
843cb39ffffffff,1.0,0.0,0.0
843cc21ffffffff,1.0,0.0,0.0
843ce55ffffffff,4.0,0.0,0.0
843ce57ffffffff,6.0,0.0,0.0
843cec1ffffffff,21.0,0.0,0.0
843cec3ffffffff,3.0,0.0,0.0
843ceddffffffff,1.0,0.0,0.0
843cf0bffffffff,6.0,0.0,0.0
843cf11ffffffff,35.0,0.0,0.0
843cf13ffffffff,14.0,0.0,0.0
843cf15ffffffff,1.0,0.0,0.0
843cf17ffffffff,10.0,0.0,0.0
843d107ffffffff,2.0,0.0,0.0
843d137ffffffff,4.0,0.0,0.0
843d13dffffffff,2.0,0.0,0.0
843d841ffffffff,1.0,0.0,0.0
843d845ffffffff,2.0,0.0,0.0
843d851ffffffff,6.0,0.0,0.0
843d853ffffffff,6.0,0.0,0.0
843d859ffffffff,9.0,0.0,0.0
843d85bffffffff,1.0,0.0,0.0
843d85dffffffff,2.0,0.0,0.0
843d881ffffffff,1.0,0.0,0.0
843d883ffffffff,1.0,0.0,0.0
843d895ffffffff,1.0,0.0,0.0
843d8b7ffffffff,3.0,0.0,0.0
843d8b9ffffffff,2.0,0.0,0.0
843d8c1ffffffff,18.0,0.0,0.0
843d8d5ffffffff,2.0,0.0,0.0
843d927ffffffff,2.0,0.0,0.0
843d929ffffffff,2.0,0.0,0.0
843d92dffffffff,2.0,0.0,0.0
843d93bffffffff,3.0,0.0,0.0
843d965ffffffff,1.0,0.0,0.0
843d96dffffffff,10.0,0.0,0.0
843d987ffffffff,2.0,0.0,0.0
843d9d1ffffffff,8.0,0.0,0.0
843d9d3ffffffff,2.0,0.0,0.0
843d9dbffffffff,4.0,0.0,0.0
843d9edffffffff,3.0,0.0,0.0
843da09ffffffff,1.0,0.0,0.0
843da11ffffffff,12.0,0.0,0.0
843da13ffffffff,4.0,0.0,0.0
843da19ffffffff,4.0,0.0,0.0
843da1bffffffff,13.0,0.0,0.0
843da1dffffffff,56.0,0.0,0.0
843da21ffffffff,2.0,0.0,0.0
843da2dffffffff,2.0,0.0,0.0
843da33ffffffff,3.0,0.0,0.0
843da37ffffffff,26.0,0.0,0.0
843da57ffffffff,4.0,0.0,0.0
843da63ffffffff,6.0,0.0,0.0
843da69ffffffff,97.0,0.0,0.0
843da97ffffffff,1.0,0.0,0.0
843da9dffffffff,2.0,0.0,0.0
843daa1ffffffff,3.0,0.0,0.0
843daa5ffffffff,7.0,0.0,0.0
843dac9ffffffff,18.0,0.0,0.0
843dad5ffffffff,8.0,0.0,0.0
843daddffffffff,16.0,0.0,0.0
843dae1ffffffff,2.0,0.0,0.0
843dae7ffffffff,2.0,0.0,0.0
843daebffffffff,1.0,0.0,0.0
843db13ffffffff,4.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0
843db2dffffffff,2.0,0.0,0.0
843db31ffffffff,2.0,0.0,0.0
843db35ffffffff,12.0,0.0,0.0
843db37ffffffff,5.0,0.0,0.0
843db49ffffffff,2.0,0.0,0.0
843db4dffffffff,1.0,0.0,0.0
843db51ffffffff,1.0,0.0,0.0
843db55ffffffff,8.0,0.0,0.0
843db57ffffffff,16.0,0.0,0.0
843db63ffffffff,3.0,0.0,0.0
843db65ffffffff,5.0,0.0,0.0
843db6dffffffff,2.0,0.0,0.0
8442499ffffffff,4.0,0.0,0.0
8442515ffffffff,3.0,0.0,0.0
8442531ffffffff,28.0,0.0,0.0
8442533ffffffff,15.0,0.0,0.0
8442581ffffffff,2.0,0.0,0.0
8442597ffffffff,2.0,0.0,0.0
844259dffffffff,12.0,0.0,0.0
84425a9ffffffff,10.0,0.0,0.0
84425e7ffffffff,2.0,0.0,0.0
8442c01ffffffff,13.0,0.0,0.0
8442c05ffffffff,2.0,0.0,0.0
8442c07ffffffff,8.0,0.0,0.0
8442c0dffffffff,3.0,0.0,0.0
8442c11ffffffff,1.0,0.0,0.0
8442c13ffffffff,52.0,0.0,0.0
8442c17ffffffff,2.0,0.0,0.0
8442c1bffffffff,4.0,0.0,0.0
8442c2dffffffff,8.0,0.0,0.0
8442c35ffffffff,1.0,0.0,0.0
8442c39ffffffff,2.0,0.0,0.0
8442c3dffffffff,3.0,0.0,0.0
8442c4bffffffff,10.0,0.0,0.0
8442c4dffffffff,7.0,0.0,0.0
8442c59ffffffff,3.0,0.0,0.0
8442c5dffffffff,12.0,0.0,0.0
8442c67ffffffff,2.0,0.0,0.0
8442c93ffffffff,6.0,0.0,0.0
8442ca5ffffffff,4.0,0.0,0.0
8442cabffffffff,14.0,0.0,0.0
8442cb3ffffffff,2.0,0.0,0.0
8442cb9ffffffff,3.0,0.0,0.0
8442cc5ffffffff,1.0,0.0,0.0
8442ccdffffffff,1.0,0.0,0.0
8442cd3ffffffff,2.0,0.0,0.0
8442ce1ffffffff,3.0,0.0,0.0
8442ce3ffffffff,31.0,0.0,0.0
8442ce5ffffffff,2.0,0.0,0.0
8442ce7ffffffff,8.0,0.0,0.0
8442ce9ffffffff,252.0,0.0,0.0
8442cebffffffff,14.0,0.0,0.0
8442cedffffffff,1.0,0.0,0.0
8442d89ffffffff,2.0,0.0,0.0
8442db5ffffffff,31.0,0.0,0.0
8442db9ffffffff,2.0,0.0,0.0
8442dd3ffffffff,1.0,0.0,0.0
8442dd9ffffffff,30.0,0.0,0.0
8442e37ffffffff,3.0,0.0,0.0
8442e97ffffffff,5.0,0.0,0.0
8442ea9ffffffff,6.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
845402dffffffff,2.0,0.0,2.0
84540abffffffff,3.0,0.0,0.0
8454103ffffffff,5.0,0.0,0.0
845411dffffffff,1.0,0.0,1.0
8454133ffffffff,2.0,0.0,0.0
8454139ffffffff,4.0,0.0,2.0
845413bffffffff,5.0,0.0,0.0
8454157ffffffff,6.0,0.0,4.0
8454187ffffffff,12.0,0.0,2.0
8454195ffffffff,1.0,0.0,0.0
8454197ffffffff,2.0,0.0,0.0
845419bffffffff,4.0,0.0,0.0
84541a3ffffffff,20.0,0.0,2.0
84541a5ffffffff,16.0,0.0,4.0
