cell_id,Poodytes punctatus,Poodytes punctatus [punctatus Group],Poodytes punctatus caudatus
84bb091ffffffff,4.0,1.0,0.0
84bb093ffffffff,2.0,2.0,0.0
84bb099ffffffff,18.0,0.0,0.0
84bb293ffffffff,5.0,0.0,0.0
84bb299ffffffff,3.0,0.0,0.0
84bb29bffffffff,10.0,0.0,0.0
84bb503ffffffff,3.0,0.0,0.0
84bb50bffffffff,1.0,0.0,0.0
84bb515ffffffff,1.0,0.0,0.0
84bb729ffffffff,2.0,0.0,0.0
84bb745ffffffff,2.0,0.0,0.0
84da839ffffffff,2.0,0.0,0.0
84da83bffffffff,1.0,0.0,0.0
84da855ffffffff,8.0,0.0,0.0
84da85bffffffff,11.0,0.0,0.0
84da85dffffffff,2.0,0.0,0.0
84da861ffffffff,11.0,2.0,0.0
84da907ffffffff,1.0,0.0,0.0
84da91bffffffff,2.0,0.0,0.0
84daa91ffffffff,28.0,0.0,0.0
