cell_id,Poliocrania exsul,Poliocrania exsul [exsul Group],Poliocrania exsul maculifer/cassini
836610fffffffff,1.0,0.0,0.0
836611fffffffff,55.0,0.0,0.0
836612fffffffff,2.0,2.0,0.0
83661bfffffffff,49.0,0.0,0.0
83661cfffffffff,15.0,0.0,0.0
83661efffffffff,59.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366a5fffffffff,10.0,10.0,0.0
8366b0fffffffff,6.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366d0fffffffff,22.0,0.0,0.0
8366d3fffffffff,3.0,0.0,3.0
8366d5fffffffff,4.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
83679afffffffff,7.0,5.0,0.0
83679bfffffffff,1.0,1.0,0.0
836d69fffffffff,11.0,1.0,0.0
838f0dfffffffff,2.0,0.0,2.0
838f2cfffffffff,2.0,0.0,2.0
