cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
822687fffffffff,70.0,0.0,3.0,4.0
82268ffffffffff,313.0,0.0,20.0,0.0
822697fffffffff,137.0,0.0,30.0,0.0
82269ffffffffff,52.0,0.0,12.0,0.0
8226affffffffff,48.0,0.0,0.0,0.0
8226b7fffffffff,4.0,0.0,0.0,0.0
8226cffffffffff,2.0,0.0,0.0,0.0
8226d7fffffffff,119.0,0.0,3.0,0.0
8226dffffffffff,36.0,0.0,0.0,0.0
8226f7fffffffff,20.0,0.0,0.0,0.0
822807fffffffff,13.0,11.0,0.0,0.0
822817fffffffff,28.0,15.0,7.0,0.0
82281ffffffffff,20.0,17.0,0.0,0.0
822837fffffffff,4119.0,102.0,0.0,0.0
822887fffffffff,67.0,0.0,1.0,0.0
82288ffffffffff,45.0,5.0,5.0,0.0
8228a7fffffffff,10.0,0.0,8.0,0.0
8228affffffffff,39.0,0.0,26.0,0.0
8228b7fffffffff,42.0,0.0,12.0,0.0
8228c7fffffffff,2.0,2.0,0.0,0.0
8228d7fffffffff,66.0,10.0,0.0,0.0
8228dffffffffff,36.0,7.0,0.0,0.0
8228f7fffffffff,59.0,19.0,8.0,0.0
822917fffffffff,9.0,6.0,0.0,0.0
82291ffffffffff,1.0,1.0,0.0,0.0
822987fffffffff,10.0,0.0,6.0,0.0
82298ffffffffff,18.0,0.0,18.0,0.0
822997fffffffff,28.0,0.0,9.0,0.0
82299ffffffffff,2.0,0.0,0.0,0.0
8229a7fffffffff,332.0,127.0,0.0,0.0
8229affffffffff,45.0,15.0,13.0,0.0
8229b7fffffffff,100.0,0.0,47.0,0.0
824817fffffffff,6.0,0.0,0.0,6.0
82481ffffffffff,2.0,0.0,0.0,2.0
82482ffffffffff,3.0,1.0,0.0,0.0
824837fffffffff,1.0,0.0,0.0,1.0
824847fffffffff,42.0,0.0,0.0,0.0
82484ffffffffff,6.0,0.0,0.0,0.0
82485ffffffffff,54.0,0.0,0.0,0.0
824887fffffffff,7.0,0.0,0.0,0.0
82488ffffffffff,3.0,0.0,2.0,0.0
82489ffffffffff,60.0,0.0,4.0,0.0
8248a7fffffffff,4.0,0.0,0.0,4.0
8248affffffffff,3.0,0.0,3.0,0.0
8248c7fffffffff,29.0,0.0,12.0,2.0
8248cffffffffff,279.0,0.0,94.0,0.0
8248d7fffffffff,8.0,0.0,2.0,0.0
8248dffffffffff,22.0,0.0,12.0,0.0
8248e7fffffffff,2.0,0.0,0.0,2.0
8248effffffffff,977.0,0.0,435.0,0.0
8248f7fffffffff,9.0,0.0,9.0,0.0
824997fffffffff,62.0,0.0,0.0,17.0
8249affffffffff,7.0,0.0,0.0,7.0
8249b7fffffffff,9.0,0.0,0.0,9.0
826d17fffffffff,1.0,0.0,0.0,0.0
826d27fffffffff,3.0,0.0,0.0,0.0
826d2ffffffffff,29.0,0.0,0.0,11.0
826d37fffffffff,14.0,0.0,0.0,8.0
