cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
825f07fffffffff,69.0,0.0,0.0
825f0ffffffffff,22.0,0.0,0.0
825f17fffffffff,9.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f2ffffffffff,208.0,0.0,0.0
825f47fffffffff,17.0,0.0,0.0
825f6ffffffffff,16.0,0.0,0.0
825f77fffffffff,38.0,2.0,0.0
826647fffffffff,152.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0
82665ffffffffff,248.0,0.0,0.0
826667fffffffff,8.0,0.0,0.0
82666ffffffffff,14.0,0.0,0.0
8266c7fffffffff,147.0,0.0,0.0
8266cffffffffff,29.0,0.0,0.0
8266d7fffffffff,324.0,0.0,0.0
8266dffffffffff,576.0,35.0,0.0
8266e7fffffffff,62.0,0.0,0.0
8266effffffffff,143.0,0.0,0.0
828047fffffffff,36.0,1.0,0.0
82804ffffffffff,12.0,0.0,0.0
828067fffffffff,27.0,4.0,0.0
82806ffffffffff,7.0,0.0,0.0
828077fffffffff,12.0,0.0,0.0
828117fffffffff,59.0,11.0,0.0
828137fffffffff,273.0,34.0,0.0
828147fffffffff,46.0,10.0,0.0
82814ffffffffff,131.0,8.0,0.0
82815ffffffffff,27.0,10.0,0.0
828167fffffffff,45.0,5.0,0.0
828177fffffffff,67.0,11.0,0.0
828187fffffffff,269.0,64.0,0.0
82819ffffffffff,23.0,0.0,0.0
8281a7fffffffff,1.0,0.0,0.0
8281affffffffff,5.0,0.0,0.0
828a07fffffffff,80.0,24.0,0.0
828a17fffffffff,47.0,1.0,0.0
828a1ffffffffff,7.0,0.0,0.0
828a27fffffffff,15.0,6.0,0.0
828a37fffffffff,15.0,3.0,0.0
828a47fffffffff,38.0,1.0,0.0
828a4ffffffffff,7.0,0.0,0.0
828a57fffffffff,4.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a6ffffffffff,79.0,0.0,0.0
828a87fffffffff,56.0,2.0,0.0
828a8ffffffffff,3.0,0.0,0.0
828a97fffffffff,11.0,0.0,0.0
828a9ffffffffff,24.0,0.0,0.0
828aaffffffffff,33.0,0.0,0.0
828ab7fffffffff,1.0,1.0,0.0
828adffffffffff,13.0,2.0,0.0
828af7fffffffff,579.0,54.0,0.0
828b0ffffffffff,16.0,8.0,0.0
828b17fffffffff,14.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,173.0,2.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b5ffffffffff,14.0,1.0,0.0
828b67fffffffff,20.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0
828b87fffffffff,50.0,0.0,0.0
828b8ffffffffff,8.0,0.0,0.0
828b97fffffffff,1.0,0.0,0.0
828b9ffffffffff,397.0,2.0,0.0
828ba7fffffffff,10.0,0.0,0.0
828bb7fffffffff,49.0,0.0,0.0
828f67fffffffff,14.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0
828f77fffffffff,437.0,0.0,0.0
82a597fffffffff,32.0,5.0,0.0
82a807fffffffff,51.0,34.0,0.0
82a817fffffffff,1547.0,652.0,0.0
82a81ffffffffff,3.0,0.0,0.0
82a837fffffffff,417.0,95.0,0.0
82a85ffffffffff,1.0,0.0,0.0
82a887fffffffff,15.0,5.0,0.0
82a897fffffffff,192.0,61.0,0.0
82a8a7fffffffff,1804.0,468.0,0.0
82a8b7fffffffff,14.0,6.0,0.0
82a8cffffffffff,20.0,0.0,0.0
