cell_id,Emberiza cineracea,Emberiza cineracea cineracea,Emberiza cineracea semenowi
841ed91ffffffff,146.0,12.0,0.0
841ed93ffffffff,10.0,1.0,0.0
841ed9bffffffff,3.0,0.0,0.0
842c001ffffffff,2.0,0.0,0.0
842c065ffffffff,3.0,0.0,0.0
842c101ffffffff,2.0,0.0,0.0
842c103ffffffff,1.0,0.0,0.0
842c107ffffffff,2.0,0.0,0.0
842c123ffffffff,2.0,0.0,0.0
842c139ffffffff,4.0,0.0,0.0
842c143ffffffff,2.0,0.0,0.0
842c313ffffffff,2.0,0.0,0.0
842c32bffffffff,2.0,0.0,0.0
842c333ffffffff,3.0,0.0,0.0
842c903ffffffff,7.0,0.0,0.0
842c915ffffffff,2.0,0.0,0.0
842c931ffffffff,13.0,0.0,11.0
842c933ffffffff,5.0,0.0,3.0
842c935ffffffff,4.0,0.0,2.0
842c93bffffffff,18.0,0.0,7.0
842c93dffffffff,2.0,0.0,0.0
842cac7ffffffff,1.0,0.0,0.0
842cacdffffffff,5.0,0.0,0.0
842d1a5ffffffff,3.0,0.0,0.0
842d1a7ffffffff,2.0,0.0,0.0
842da81ffffffff,3.0,0.0,0.0
842da83ffffffff,2.0,0.0,0.0
842da89ffffffff,96.0,0.0,22.0
842da8bffffffff,8.0,0.0,3.0
842da91ffffffff,26.0,0.0,18.0
842da95ffffffff,1.0,0.0,0.0
842da99ffffffff,4.0,0.0,0.0
842da9bffffffff,36.0,1.0,13.0
842dac1ffffffff,1.0,0.0,0.0
842dac3ffffffff,3.0,0.0,0.0
842dad3ffffffff,2.0,0.0,0.0
842dad7ffffffff,2.0,0.0,0.0
842db01ffffffff,1.0,0.0,0.0
842db03ffffffff,15.0,0.0,0.0
842db05ffffffff,2.0,0.0,0.0
842db07ffffffff,1.0,0.0,0.0
842db15ffffffff,5.0,1.0,0.0
842db1bffffffff,1.0,0.0,0.0
842db29ffffffff,44.0,11.0,0.0
842db2bffffffff,35.0,0.0,0.0
842db37ffffffff,1.0,0.0,0.0
842db3bffffffff,1.0,0.0,0.0
843e689ffffffff,4.0,0.0,0.0
843e6c3ffffffff,1.0,0.0,0.0
843f639ffffffff,3.0,0.0,0.0
843f647ffffffff,2.0,0.0,0.0
8452065ffffffff,2.0,0.0,0.0
8452303ffffffff,1.0,0.0,0.0
845363bffffffff,1.0,0.0,0.0
8453645ffffffff,5.0,0.0,2.0
84536e5ffffffff,2.0,0.0,0.0
