cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
84209c7ffffffff,3.0,0.0,0.0
84209e1ffffffff,4.0,0.0,0.0
84209e3ffffffff,2.0,0.0,0.0
84209ebffffffff,11.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0
84309b3ffffffff,7.0,0.0,0.0
843185bffffffff,3.0,0.0,0.0
8431a87ffffffff,4.0,0.0,0.0
843c029ffffffff,1.0,0.0,0.0
843c0a5ffffffff,8.0,0.0,0.0
843c0adffffffff,2.0,0.0,0.0
843c1d3ffffffff,7.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0
843c587ffffffff,12.0,0.0,0.0
843c5a1ffffffff,1.0,1.0,0.0
843c5a9ffffffff,3.0,0.0,0.0
843c5b1ffffffff,5.0,0.0,0.0
843c5b7ffffffff,134.0,0.0,0.0
843c5ebffffffff,1.0,0.0,0.0
843cc11ffffffff,15.0,0.0,0.0
843cc31ffffffff,26.0,0.0,0.0
843cdd5ffffffff,2.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce51ffffffff,2.0,0.0,0.0
843ce81ffffffff,2.0,0.0,0.0
843ce85ffffffff,1.0,0.0,0.0
843cea1ffffffff,4.0,0.0,0.0
843cea5ffffffff,4.0,0.0,0.0
843d04dffffffff,2.0,0.0,0.0
843d157ffffffff,9.0,0.0,0.0
843d34bffffffff,5.0,0.0,0.0
843d35dffffffff,7.0,1.0,0.0
8440011ffffffff,2.0,2.0,0.0
84404c5ffffffff,2.0,2.0,0.0
84408d7ffffffff,2.0,0.0,0.0
8440c69ffffffff,2.0,2.0,0.0
8440c6dffffffff,4.0,4.0,0.0
8440d1bffffffff,1.0,0.0,0.0
8440e13ffffffff,2.0,2.0,0.0
8440e17ffffffff,2.0,2.0,0.0
8440ec1ffffffff,2.0,2.0,0.0
8441921ffffffff,5.0,0.0,0.0
84419d5ffffffff,4.0,4.0,0.0
8441a09ffffffff,2.0,0.0,0.0
8441a43ffffffff,17.0,0.0,0.0
8441b43ffffffff,4.0,0.0,0.0
8441b55ffffffff,3.0,0.0,0.0
8441b5dffffffff,4.0,0.0,0.0
844b26dffffffff,3.0,0.0,0.0
844ba03ffffffff,3.0,0.0,0.0
844ba07ffffffff,4.0,0.0,2.0
844ba21ffffffff,1.0,0.0,0.0
844ba2bffffffff,7.0,0.0,0.0
