cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8326c2fffffffff,4.0,0.0,0.0,0.0
8326cafffffffff,10.0,0.0,0.0,0.0
8326cefffffffff,1.0,0.0,0.0,0.0
8326d1fffffffff,5.0,0.0,0.0,0.0
8326d3fffffffff,1.0,0.0,0.0,0.0
8326d9fffffffff,1.0,0.0,0.0,0.0
8326dafffffffff,6.0,0.0,0.0,0.0
8326ddfffffffff,58.0,0.0,0.0,0.0
8326defffffffff,4.0,0.0,0.0,0.0
83446efffffffff,129.0,0.0,0.0,0.0
834505fffffffff,17.0,0.0,0.0,0.0
834508fffffffff,1.0,0.0,0.0,0.0
83450afffffffff,1.0,0.0,0.0,0.0
83450dfffffffff,2.0,0.0,2.0,0.0
83450efffffffff,3.0,0.0,0.0,0.0
834520fffffffff,15.0,0.0,0.0,0.0
834521fffffffff,5.0,0.0,1.0,0.0
834523fffffffff,2.0,0.0,2.0,0.0
834526fffffffff,1.0,0.0,0.0,0.0
834528fffffffff,27.0,0.0,27.0,0.0
83452cfffffffff,9.0,0.0,5.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,1.0,0.0,0.0,0.0
834535fffffffff,1.0,0.0,0.0,0.0
83481afffffffff,7.0,0.0,0.0,0.0
83481efffffffff,2.0,0.0,0.0,0.0
834880fffffffff,1.0,0.0,0.0,0.0
834882fffffffff,1.0,0.0,0.0,0.0
834890fffffffff,2.0,0.0,0.0,0.0
834891fffffffff,2.0,0.0,0.0,0.0
834895fffffffff,20.0,0.0,0.0,0.0
834898fffffffff,19.0,0.0,0.0,0.0
83489afffffffff,7.0,0.0,0.0,0.0
83489efffffffff,23.0,0.0,0.0,0.0
8348adfffffffff,1.0,0.0,0.0,0.0
8348b1fffffffff,6.0,0.0,0.0,0.0
8348b3fffffffff,30.0,11.0,0.0,0.0
8348d6fffffffff,16.0,0.0,0.0,0.0
8348f2fffffffff,6.0,0.0,0.0,0.0
8348f4fffffffff,2.0,0.0,0.0,0.0
834983fffffffff,3.0,0.0,3.0,0.0
834988fffffffff,3.0,0.0,0.0,0.0
834990fffffffff,12.0,0.0,12.0,0.0
834991fffffffff,2.0,0.0,2.0,0.0
834993fffffffff,2.0,0.0,0.0,0.0
834995fffffffff,21.0,1.0,0.0,0.0
834996fffffffff,16.0,0.0,6.0,0.0
834998fffffffff,15.0,0.0,15.0,0.0
83499bfffffffff,2.0,0.0,2.0,0.0
8349abfffffffff,15.0,0.0,0.0,0.0
836796fffffffff,5.0,0.0,0.0,0.0
836d04fffffffff,6.0,0.0,0.0,6.0
836d05fffffffff,1.0,0.0,0.0,0.0
836d06fffffffff,6.0,0.0,0.0,6.0
836d23fffffffff,14.0,0.0,0.0,0.0
836d25fffffffff,5.0,0.0,5.0,0.0
836d28fffffffff,1.0,0.0,0.0,0.0
836d29fffffffff,2.0,0.0,1.0,0.0
836d2afffffffff,4.0,0.0,2.0,0.0
836d2bfffffffff,11.0,0.0,4.0,0.0
836d2dfffffffff,2.0,0.0,2.0,0.0
836d2efffffffff,4.0,4.0,0.0,0.0
836d30fffffffff,71.0,0.0,71.0,0.0
836d31fffffffff,129.0,0.0,28.0,99.0
836d33fffffffff,22.0,0.0,0.0,22.0
836d34fffffffff,6.0,0.0,1.0,0.0
836d35fffffffff,2.0,0.0,1.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0
836d74fffffffff,1.0,0.0,1.0,0.0
836d75fffffffff,1.0,0.0,0.0,0.0
836d76fffffffff,3.0,0.0,3.0,0.0
