cell_id,Leiothlypis celata,Leiothlypis celata celata,Leiothlypis celata orestera,Leiothlypis celata lutescens,Leiothlypis celata sordida,Leiothlypis celata celata/orestera
830c01fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c02fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c03fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
830c04fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830c05fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c06fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c0bfffffffff,41.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,2558.0,0.0,0.0,0.0,0.0,0.0
830c15fffffffff,277.0,0.0,0.0,0.0,0.0,0.0
830c1bfffffffff,27.0,0.0,0.0,0.0,0.0,0.0
830c1efffffffff,275.0,0.0,0.0,0.0,0.0,0.0
830c21fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
830c23fffffffff,84.0,0.0,0.0,0.0,0.0,0.0
830c2afffffffff,61.0,0.0,0.0,0.0,0.0,0.0
830c2cfffffffff,32.0,0.0,0.0,0.0,0.0,0.0
830c2dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c33fffffffff,185.0,0.0,0.0,0.0,0.0,0.0
830c34fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
830c35fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,417.0,2.0,0.0,1.0,0.0,0.0
830c42fffffffff,1467.0,0.0,0.0,123.0,0.0,0.0
830c44fffffffff,90.0,0.0,0.0,11.0,0.0,0.0
830c45fffffffff,119.0,0.0,0.0,6.0,0.0,0.0
830c46fffffffff,881.0,0.0,0.0,61.0,0.0,0.0
830c50fffffffff,248.0,0.0,0.0,11.0,0.0,0.0
830c51fffffffff,933.0,0.0,0.0,45.0,0.0,0.0
830c52fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,113.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,470.0,0.0,0.0,18.0,0.0,0.0
830c56fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,200.0,0.0,0.0,0.0,0.0,0.0
830c60fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830c61fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c63fffffffff,33.0,2.0,0.0,0.0,0.0,0.0
830c64fffffffff,78.0,1.0,0.0,0.0,0.0,0.0
830c65fffffffff,66.0,1.0,0.0,0.0,0.0,0.0
830c66fffffffff,78.0,3.0,0.0,0.0,0.0,0.0
830c68fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830c6afffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,173.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,185.0,2.0,0.0,0.0,0.0,0.0
830c72fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,4997.0,23.0,0.0,29.0,0.0,18.0
830c74fffffffff,836.0,57.0,0.0,0.0,0.0,0.0
830c75fffffffff,77.0,10.0,0.0,0.0,0.0,0.0
830c76fffffffff,182.0,4.0,0.0,0.0,0.0,0.0
830ca4fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
830cc4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cddfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830ce1fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830ce2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ce3fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830ce6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ce9fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830ceafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cecfffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830cedfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d09fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830d0bfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830d0dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d40fffffffff,61.0,0.0,0.0,0.0,0.0,0.0
830d42fffffffff,84.0,0.0,0.0,0.0,0.0,0.0
830d44fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d46fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
830d48fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830d49fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830d4afffffffff,39.0,0.0,0.0,0.0,0.0,0.0
830d4cfffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830d4dfffffffff,47.0,0.0,0.0,0.0,0.0,0.0
830d4efffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830d52fffffffff,86.0,0.0,0.0,0.0,0.0,0.0
830d53fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
830d56fffffffff,14.0,2.0,0.0,0.0,0.0,0.0
830d58fffffffff,188.0,2.0,0.0,0.0,0.0,0.0
830d59fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,596.0,55.0,0.0,0.0,0.0,0.0
830d5bfffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830d5cfffffffff,11.0,2.0,0.0,0.0,0.0,0.0
830d5efffffffff,102.0,0.0,0.0,0.0,0.0,0.0
830d60fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d61fffffffff,65.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
