cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
825287fffffffff,22.0,5.0,0.0
825297fffffffff,5.0,3.0,0.0
82529ffffffffff,125.0,60.0,0.0
8252b7fffffffff,1.0,0.0,0.0
8252cffffffffff,2.0,0.0,0.0
8252dffffffffff,2.0,0.0,0.0
825407fffffffff,2.0,2.0,0.0
82540ffffffffff,9.0,0.0,0.0
825417fffffffff,98.0,49.0,0.0
82541ffffffffff,195.0,109.0,0.0
825447fffffffff,38.0,7.0,0.0
825457fffffffff,2.0,0.0,0.0
8254affffffffff,453.0,242.0,0.0
8254c7fffffffff,3.0,2.0,0.0
8254e7fffffffff,228.0,117.0,0.0
8254effffffffff,33.0,14.0,0.0
8254f7fffffffff,270.0,119.0,0.0
82580ffffffffff,2.0,0.0,0.0
825857fffffffff,8.0,4.0,0.0
82585ffffffffff,5.0,4.0,0.0
825887fffffffff,4.0,0.0,0.0
82588ffffffffff,2.0,0.0,0.0
825897fffffffff,65.0,27.0,0.0
8258a7fffffffff,12.0,4.0,0.0
8258b7fffffffff,14.0,6.0,0.0
8258c7fffffffff,11.0,2.0,0.0
8258cffffffffff,3.0,2.0,0.0
8258d7fffffffff,19.0,15.0,0.0
8258dffffffffff,22.0,11.0,0.0
8258e7fffffffff,157.0,104.0,0.0
8258effffffffff,2.0,2.0,0.0
8258f7fffffffff,5.0,3.0,0.0
825987fffffffff,11.0,3.0,0.0
82598ffffffffff,1.0,0.0,0.0
825997fffffffff,14.0,0.0,0.0
82599ffffffffff,43.0,33.0,0.0
826a17fffffffff,2.0,0.0,0.0
826a47fffffffff,17.0,8.0,0.0
826a4ffffffffff,5.0,2.0,0.0
826a5ffffffffff,128.0,12.0,0.0
826a67fffffffff,3.0,1.0,0.0
826a6ffffffffff,26.0,12.0,0.0
826a9ffffffffff,18.0,10.0,0.0
826ac7fffffffff,1149.0,482.0,0.0
826acffffffffff,1207.0,431.0,0.0
826adffffffffff,1022.0,523.0,0.0
826ae7fffffffff,5.0,5.0,0.0
826aeffffffffff,615.0,270.0,0.0
826b17fffffffff,10.0,0.0,0.0
82750ffffffffff,306.0,220.0,0.0
827517fffffffff,3.0,3.0,0.0
82751ffffffffff,2.0,2.0,0.0
827527fffffffff,218.0,173.0,0.0
82752ffffffffff,338.0,230.0,0.0
827537fffffffff,16.0,0.0,0.0
827577fffffffff,47.0,15.0,0.0
827587fffffffff,1.0,1.0,0.0
8275a7fffffffff,18.0,4.0,0.0
8275b7fffffffff,3.0,0.0,0.0
827a47fffffffff,773.0,344.0,0.0
827a4ffffffffff,941.0,371.0,0.0
827a57fffffffff,3.0,0.0,0.0
827a5ffffffffff,18.0,6.0,0.0
827a67fffffffff,737.0,418.0,0.0
827a6ffffffffff,2418.0,1107.0,2.0
827ac7fffffffff,9.0,5.0,0.0
827acffffffffff,530.0,342.0,0.0
827adffffffffff,159.0,87.0,0.0
827aeffffffffff,182.0,111.0,0.0
827b4ffffffffff,184.0,55.0,44.0
827b5ffffffffff,376.0,115.0,17.0
827b6ffffffffff,38.0,4.0,9.0
82821ffffffffff,2.0,2.0,0.0
828287fffffffff,10.0,1.0,0.0
82828ffffffffff,198.0,123.0,0.0
8282a7fffffffff,22.0,0.0,0.0
8282affffffffff,9.0,4.0,0.0
8282d7fffffffff,119.0,88.0,0.0
8282dffffffffff,2.0,2.0,0.0
8282f7fffffffff,11.0,3.0,0.0
828307fffffffff,8.0,3.0,0.0
828317fffffffff,1.0,1.0,0.0
828327fffffffff,22.0,6.0,0.0
828337fffffffff,3.0,3.0,0.0
828387fffffffff,2.0,2.0,0.0
82838ffffffffff,4.0,2.0,0.0
82839ffffffffff,36.0,36.0,0.0
8283affffffffff,1.0,0.0,0.0
829607fffffffff,31.0,17.0,0.0
82960ffffffffff,34.0,20.0,0.0
829617fffffffff,5.0,0.0,0.0
829627fffffffff,237.0,171.0,0.0
82962ffffffffff,86.0,61.0,0.0
829637fffffffff,117.0,74.0,0.0
829657fffffffff,14.0,12.0,0.0
829677fffffffff,25.0,19.0,0.0
829687fffffffff,8.0,2.0,0.0
82968ffffffffff,6.0,0.0,0.0
829697fffffffff,1785.0,1058.0,0.0
82969ffffffffff,70.0,25.0,0.0
8296a7fffffffff,33.0,22.0,2.0
8296affffffffff,6.0,4.0,0.0
8296b7fffffffff,334.0,86.0,5.0
8296d7fffffffff,1.0,0.0,0.0
829707fffffffff,100.0,33.0,11.0
82970ffffffffff,31.0,23.0,0.0
829717fffffffff,255.0,150.0,6.0
82971ffffffffff,43.0,30.0,0.0
829727fffffffff,4.0,0.0,0.0
82972ffffffffff,724.0,261.0,70.0
829737fffffffff,8.0,0.0,1.0
829747fffffffff,341.0,153.0,0.0
82974ffffffffff,655.0,419.0,0.0
829757fffffffff,647.0,449.0,0.0
82975ffffffffff,546.0,265.0,0.0
82976ffffffffff,7.0,4.0,0.0
829777fffffffff,36.0,15.0,0.0
82978ffffffffff,40.0,3.0,15.0
829797fffffffff,4.0,0.0,0.0
8297affffffffff,78.0,14.0,16.0
8297b7fffffffff,8.0,0.0,8.0
82ac87fffffffff,288.0,205.0,0.0
82ac8ffffffffff,102.0,51.0,0.0
82ac97fffffffff,98.0,52.0,0.0
82ac9ffffffffff,2.0,0.0,0.0
82aca7fffffffff,336.0,174.0,0.0
82acaffffffffff,49.0,42.0,0.0
82acb7fffffffff,125.0,71.0,0.0
82bc0ffffffffff,27.0,0.0,9.0
82bc1ffffffffff,92.0,0.0,21.0
82bc47fffffffff,112.0,0.0,47.0
82bc57fffffffff,14.0,0.0,0.0
82bc77fffffffff,35.0,0.0,9.0
82bc8ffffffffff,199.0,0.0,115.0
82bc9ffffffffff,27.0,0.0,6.0
82bcc7fffffffff,7.0,5.0,0.0
82bccffffffffff,11.0,3.0,0.0
82bcd7fffffffff,1212.0,46.0,338.0
82bcdffffffffff,390.0,248.0,1.0
82bce7fffffffff,163.0,0.0,67.0
82bcf7fffffffff,2238.0,0.0,858.0
