cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
847a401ffffffff,3.0,0.0,2.0
847a40bffffffff,1.0,0.0,0.0
847a485ffffffff,3.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0
847a61dffffffff,1.0,0.0,1.0
847a66dffffffff,2.0,2.0,0.0
847a681ffffffff,22.0,0.0,22.0
847a683ffffffff,10.0,0.0,9.0
847a6a1ffffffff,2.0,0.0,0.0
847a6adffffffff,12.0,0.0,12.0
847a6e5ffffffff,3.0,0.0,0.0
847a6e7ffffffff,4.0,0.0,4.0
847a739ffffffff,1.0,0.0,0.0
847b48dffffffff,2.0,0.0,0.0
847b4c1ffffffff,15.0,0.0,0.0
847b4c5ffffffff,20.0,0.0,0.0
847b4c7ffffffff,52.0,0.0,0.0
847b4c9ffffffff,11.0,0.0,0.0
847b4cbffffffff,3.0,0.0,0.0
847b4e7ffffffff,1.0,0.0,0.0
847b4ebffffffff,2.0,0.0,0.0
847b5b5ffffffff,2.0,2.0,0.0
8496907ffffffff,2.0,0.0,0.0
84969a5ffffffff,1.0,0.0,0.0
8497291ffffffff,4.0,0.0,4.0
84974abffffffff,1.0,0.0,1.0
84974bdffffffff,1.0,0.0,1.0
8497517ffffffff,2.0,0.0,2.0
84ac801ffffffff,2.0,0.0,2.0
84ac863ffffffff,1.0,0.0,1.0
84ac867ffffffff,3.0,0.0,1.0
84ac949ffffffff,3.0,0.0,0.0
84ac969ffffffff,1.0,0.0,1.0
84aca6bffffffff,1.0,0.0,1.0
84acb1bffffffff,1.0,0.0,1.0
84bcca5ffffffff,5.0,0.0,0.0
84bcd05ffffffff,1.0,0.0,0.0
84bcd29ffffffff,7.0,0.0,0.0
84bcd63ffffffff,3.0,0.0,0.0
84bcd67ffffffff,1.0,0.0,0.0
84bcf63ffffffff,1.0,0.0,0.0
