cell_id,Chlidonias niger,Chlidonias niger niger,Chlidonias niger surinamensis
8408809ffffffff,9.0,0.0,0.0
8408845ffffffff,7.0,4.0,0.0
8408869ffffffff,4.0,0.0,0.0
840886bffffffff,29.0,12.0,0.0
84088a9ffffffff,3.0,0.0,0.0
8408937ffffffff,1.0,0.0,0.0
8408985ffffffff,5.0,0.0,0.0
8408991ffffffff,2.0,2.0,0.0
8408997ffffffff,2.0,0.0,0.0
8408999ffffffff,2.0,0.0,0.0
840899bffffffff,2.0,0.0,0.0
84089a5ffffffff,9.0,0.0,0.0
84089a9ffffffff,6.0,0.0,0.0
84089b5ffffffff,1.0,1.0,0.0
8408b05ffffffff,3.0,0.0,0.0
8408b07ffffffff,1.0,0.0,0.0
8408b11ffffffff,2.0,0.0,0.0
8408b15ffffffff,18.0,0.0,0.0
8408b17ffffffff,3.0,0.0,0.0
8408b3dffffffff,2.0,0.0,0.0
8408d19ffffffff,2.0,2.0,0.0
8408d45ffffffff,5.0,0.0,0.0
840bb1dffffffff,2.0,2.0,0.0
840e9a1ffffffff,3.0,0.0,0.0
8410167ffffffff,7.0,0.0,0.0
8410a19ffffffff,13.0,3.0,0.0
8410a1dffffffff,1.0,0.0,0.0
8410dc1ffffffff,2.0,0.0,0.0
8410dc9ffffffff,2.0,0.0,0.0
8410de5ffffffff,1.0,0.0,0.0
8410f29ffffffff,2.0,0.0,0.0
8411041ffffffff,7.0,0.0,0.0
8411061ffffffff,17.0,1.0,0.0
8411069ffffffff,7.0,0.0,0.0
841106bffffffff,6.0,0.0,0.0
8411155ffffffff,3.0,0.0,0.0
8411169ffffffff,5.0,0.0,0.0
8411221ffffffff,2.0,0.0,0.0
8411269ffffffff,2.0,0.0,0.0
8411313ffffffff,1.0,0.0,0.0
8411345ffffffff,1.0,0.0,0.0
8411347ffffffff,1.0,0.0,0.0
8411369ffffffff,4.0,0.0,0.0
841136bffffffff,7.0,0.0,0.0
8411811ffffffff,1.0,1.0,0.0
8411813ffffffff,67.0,9.0,0.0
841181bffffffff,2.0,1.0,0.0
841181dffffffff,15.0,3.0,0.0
8411853ffffffff,18.0,0.0,0.0
84118adffffffff,16.0,0.0,0.0
84118cdffffffff,50.0,2.0,0.0
84118e1ffffffff,6.0,0.0,0.0
84118e9ffffffff,22.0,4.0,0.0
84118edffffffff,3.0,3.0,0.0
8411aa1ffffffff,1.0,0.0,0.0
8411aa5ffffffff,4.0,0.0,0.0
8411aa7ffffffff,12.0,0.0,0.0
8411aabffffffff,28.0,3.0,0.0
8411aadffffffff,1.0,0.0,0.0
8411ab5ffffffff,2.0,2.0,0.0
8411ab9ffffffff,3.0,3.0,0.0
8411abdffffffff,4.0,2.0,0.0
8411ae1ffffffff,3.0,3.0,0.0
8411ae3ffffffff,133.0,62.0,0.0
8411ae7ffffffff,8.0,7.0,0.0
