cell_id,Agricola pallidus,Agricola pallidus [pallidus Group],Agricola pallidus bafirawari,Agricola pallidus subalaris/erlangeri
84529b5ffffffff,3.0,0.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0,0.0
8454195ffffffff,2.0,0.0,0.0,0.0
84541a3ffffffff,5.0,0.0,0.0,0.0
84541b9ffffffff,2.0,0.0,0.0,0.0
84541bdffffffff,2.0,0.0,0.0,0.0
8454a9bffffffff,5.0,0.0,0.0,0.0
8454e21ffffffff,4.0,0.0,0.0,0.0
8454e41ffffffff,1.0,0.0,0.0,0.0
8454e43ffffffff,2.0,0.0,0.0,0.0
8454e49ffffffff,2.0,0.0,0.0,0.0
8454e4dffffffff,5.0,0.0,0.0,0.0
8454e51ffffffff,4.0,0.0,0.0,0.0
8454e5bffffffff,4.0,2.0,0.0,0.0
8458969ffffffff,3.0,0.0,0.0,0.0
8458a4dffffffff,1.0,0.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0,0.0
8458cd9ffffffff,3.0,0.0,0.0,0.0
8458d13ffffffff,2.0,0.0,0.0,0.0
8458de3ffffffff,6.0,0.0,0.0,0.0
8458debffffffff,3.0,0.0,0.0,0.0
8458e2dffffffff,21.0,0.0,0.0,0.0
8458e39ffffffff,1.0,0.0,0.0,0.0
8458e67ffffffff,2.0,0.0,0.0,0.0
8458eb5ffffffff,1.0,0.0,0.0,0.0
8458f0bffffffff,1.0,0.0,0.0,0.0
8458f5bffffffff,4.0,0.0,0.0,0.0
8459985ffffffff,12.0,0.0,0.0,0.0
84599e5ffffffff,4.0,0.0,0.0,0.0
846a459ffffffff,2.0,0.0,0.0,0.0
846a5a3ffffffff,1.0,0.0,0.0,0.0
846a5a9ffffffff,33.0,0.0,0.0,0.0
846a5abffffffff,8.0,0.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0,0.0
846a5b5ffffffff,1.0,0.0,0.0,0.0
846a619ffffffff,4.0,0.0,0.0,0.0
846a693ffffffff,2.0,0.0,0.0,0.0
846a697ffffffff,8.0,0.0,0.0,0.0
846a69bffffffff,2.0,0.0,0.0,0.0
846a6e1ffffffff,1.0,1.0,0.0,0.0
846ac03ffffffff,7.0,0.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0,0.0
846ac15ffffffff,3.0,0.0,0.0,0.0
846ac1dffffffff,3.0,0.0,0.0,0.0
846ac3dffffffff,6.0,0.0,0.0,0.0
846ac89ffffffff,5.0,0.0,0.0,0.0
846ac93ffffffff,2.0,0.0,0.0,0.0
846acc9ffffffff,2.0,0.0,0.0,0.0
846accbffffffff,5.0,0.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0,0.0
846ace5ffffffff,35.0,0.0,0.0,0.0
846ad81ffffffff,10.0,0.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0,0.0
846ad8bffffffff,31.0,0.0,0.0,0.0
846ad8dffffffff,4.0,0.0,0.0,0.0
846ad99ffffffff,2.0,0.0,0.0,0.0
846ada9ffffffff,1.0,0.0,0.0,0.0
846adc1ffffffff,10.0,0.0,0.0,0.0
846adc5ffffffff,2.0,0.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0,0.0
846add5ffffffff,1.0,0.0,0.0,0.0
846add7ffffffff,18.0,0.0,0.0,0.0
846ade7ffffffff,4.0,0.0,0.0,0.0
846adebffffffff,4.0,0.0,0.0,0.0
846ae85ffffffff,47.0,0.0,0.0,0.0
846aea1ffffffff,11.0,0.0,0.0,0.0
846aea3ffffffff,12.0,0.0,0.0,0.0
846aea9ffffffff,16.0,0.0,0.0,0.0
846aeabffffffff,3.0,0.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0,0.0
846aec1ffffffff,1.0,0.0,0.0,0.0
846aee3ffffffff,62.0,0.0,0.0,0.0
84750d1ffffffff,130.0,6.0,0.0,0.0
84750d3ffffffff,14.0,4.0,0.0,0.0
