cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
82446ffffffffff,3.0,0.0,0.0
824507fffffffff,6.0,0.0,2.0
82450ffffffffff,6.0,0.0,5.0
824527fffffffff,2.0,0.0,0.0
82452ffffffffff,21.0,0.0,11.0
824537fffffffff,13.0,0.0,0.0
82480ffffffffff,2.0,2.0,0.0
824837fffffffff,13.0,11.0,0.0
824987fffffffff,3.0,1.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,71.0,17.0,4.0
82499ffffffffff,4.0,0.0,0.0
8249affffffffff,9.0,6.0,0.0
8249b7fffffffff,1.0,1.0,0.0
825f4ffffffffff,3.0,0.0,0.0
82660ffffffffff,4.0,0.0,0.0
82661ffffffffff,7.0,0.0,1.0
826627fffffffff,4.0,0.0,2.0
8266a7fffffffff,26.0,0.0,3.0
8266d7fffffffff,17.0,0.0,1.0
82674ffffffffff,1.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d17fffffffff,31.0,31.0,0.0
826d27fffffffff,15.0,0.0,8.0
826d2ffffffffff,6.0,0.0,0.0
826d37fffffffff,192.0,161.0,23.0
826d67fffffffff,38.0,0.0,0.0
826d6ffffffffff,12.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0
82a827fffffffff,4.0,0.0,0.0
82a947fffffffff,3.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a957fffffffff,26.0,0.0,0.0
82a95ffffffffff,4.0,0.0,0.0
82a967fffffffff,42.0,0.0,0.0
82a96ffffffffff,29.0,0.0,0.0
82b20ffffffffff,1.0,0.0,0.0
82b347fffffffff,18.0,0.0,0.0
82b35ffffffffff,27.0,0.0,1.0
82c2dffffffffff,5.0,0.0,0.0
