cell_id,Ortalis guttata,Ortalis guttata guttata/subaffinis,Ortalis guttata remota
82660ffffffffff,41.0,0.0,0.0
826647fffffffff,32.0,3.0,0.0
82664ffffffffff,3.0,0.0,0.0
826657fffffffff,278.0,0.0,0.0
82665ffffffffff,672.0,7.0,0.0
826667fffffffff,4.0,0.0,0.0
826677fffffffff,128.0,0.0,0.0
8266c7fffffffff,2689.0,0.0,0.0
8266cffffffffff,165.0,0.0,0.0
8266d7fffffffff,99.0,0.0,0.0
8266dffffffffff,4253.0,326.0,0.0
8266e7fffffffff,6137.0,31.0,0.0
8266effffffffff,1647.0,9.0,0.0
828a07fffffffff,53.0,20.0,0.0
828a17fffffffff,20.0,0.0,0.0
828a1ffffffffff,3.0,0.0,0.0
828a27fffffffff,15.0,1.0,0.0
828a2ffffffffff,3.0,0.0,0.0
828a37fffffffff,12.0,1.0,0.0
828a47fffffffff,499.0,11.0,0.0
828a4ffffffffff,9.0,0.0,0.0
828a6ffffffffff,799.0,0.0,0.0
828a77fffffffff,16.0,0.0,0.0
828a87fffffffff,11.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0
828af7fffffffff,10.0,0.0,0.0
828b07fffffffff,35.0,1.0,0.0
828b0ffffffffff,150.0,8.0,0.0
828b17fffffffff,11.0,2.0,0.0
828b1ffffffffff,6.0,0.0,0.0
828b27fffffffff,530.0,1.0,0.0
828b2ffffffffff,274.0,10.0,0.0
828b37fffffffff,4.0,0.0,0.0
828b47fffffffff,1589.0,32.0,0.0
828b4ffffffffff,17.0,1.0,0.0
828b57fffffffff,102.0,3.0,0.0
828b5ffffffffff,113.0,11.0,0.0
828b67fffffffff,2869.0,171.0,0.0
828b6ffffffffff,504.0,18.0,0.0
828b77fffffffff,301.0,3.0,0.0
828b87fffffffff,63.0,0.0,0.0
828b8ffffffffff,17.0,0.0,0.0
828b9ffffffffff,31.0,7.0,0.0
828ba7fffffffff,6.0,0.0,0.0
828bb7fffffffff,1.0,0.0,0.0
828e67fffffffff,658.0,0.0,0.0
828e6ffffffffff,7.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,1175.0,0.0,0.0
828f4ffffffffff,306.0,0.0,0.0
828f57fffffffff,127.0,0.0,0.0
828f5ffffffffff,151.0,0.0,0.0
828f67fffffffff,185.0,0.0,0.0
828f6ffffffffff,61.0,9.0,0.0
828f77fffffffff,1382.0,102.0,0.0
82a85ffffffffff,7.0,0.0,0.0
82b327fffffffff,287.0,2.0,0.0
82b367fffffffff,3.0,0.0,0.0
