cell_id,Laniarius bicolor,Laniarius bicolor bicolor/guttatus,Laniarius bicolor sticturus
82821ffffffffff,1.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282f7fffffffff,10.0,0.0,0.0
828307fffffffff,6.0,0.0,0.0
828317fffffffff,13.0,0.0,0.0
82831ffffffffff,27.0,0.0,0.0
828327fffffffff,9.0,0.0,0.0
8283a7fffffffff,7.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
829647fffffffff,1.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0
829747fffffffff,294.0,0.0,63.0
82974ffffffffff,1031.0,0.0,347.0
829757fffffffff,12.0,0.0,0.0
82975ffffffffff,412.0,0.0,64.0
82976ffffffffff,2.0,0.0,2.0
82ac8ffffffffff,132.0,0.0,16.0
82ac97fffffffff,201.0,0.0,27.0
