cell_id,Laterallus albigularis,Laterallus albigularis albigularis/cerdaleus,Laterallus albigularis cinereiceps
836602fffffffff,123.0,0.0,0.0
836603fffffffff,6.0,0.0,0.0
836604fffffffff,15.0,0.0,0.0
836605fffffffff,4.0,0.0,0.0
836606fffffffff,4.0,2.0,0.0
836608fffffffff,18.0,0.0,0.0
83660afffffffff,104.0,5.0,0.0
83660bfffffffff,2.0,0.0,0.0
83660efffffffff,99.0,0.0,0.0
836610fffffffff,55.0,3.0,0.0
836611fffffffff,2.0,0.0,0.0
836612fffffffff,2.0,0.0,0.0
836613fffffffff,344.0,22.0,0.0
836616fffffffff,35.0,2.0,0.0
836618fffffffff,19.0,2.0,0.0
836619fffffffff,138.0,0.0,0.0
83661afffffffff,70.0,1.0,0.0
83661bfffffffff,250.0,24.0,0.0
83661cfffffffff,19.0,0.0,0.0
83661dfffffffff,167.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
836620fffffffff,11.0,0.0,0.0
836622fffffffff,22.0,2.0,0.0
836623fffffffff,3.0,0.0,0.0
83662cfffffffff,15.0,0.0,0.0
836631fffffffff,39.0,0.0,0.0
836684fffffffff,3.0,0.0,0.0
8366a0fffffffff,95.0,0.0,0.0
8366a2fffffffff,1.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366a5fffffffff,3786.0,326.0,0.0
8366a6fffffffff,496.0,0.0,165.0
8366b0fffffffff,581.0,0.0,0.0
8366b1fffffffff,6.0,0.0,0.0
8366b4fffffffff,1753.0,0.0,0.0
8366b5fffffffff,2225.0,7.0,61.0
8366b6fffffffff,35.0,0.0,0.0
8366c4fffffffff,105.0,0.0,0.0
8366c6fffffffff,105.0,0.0,0.0
8366d0fffffffff,413.0,50.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d2fffffffff,87.0,3.0,0.0
8366d3fffffffff,890.0,70.0,0.0
8366d4fffffffff,3.0,0.0,0.0
8366d5fffffffff,11.0,0.0,0.0
8366d6fffffffff,2.0,2.0,0.0
8366e0fffffffff,32.0,0.0,0.0
8366e2fffffffff,19.0,0.0,0.0
8366e4fffffffff,300.0,9.0,0.0
8366e6fffffffff,228.0,0.0,0.0
8366f0fffffffff,344.0,8.0,0.0
8366f1fffffffff,150.0,0.0,0.0
8366f3fffffffff,76.0,0.0,0.0
8366f5fffffffff,120.0,2.0,0.0
83678bfffffffff,4.0,0.0,0.0
836790fffffffff,12.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836793fffffffff,23.0,0.0,0.0
836794fffffffff,6.0,0.0,0.0
836796fffffffff,13.0,0.0,0.0
83679afffffffff,1733.0,0.0,0.0
83679bfffffffff,1240.0,0.0,138.0
836d60fffffffff,4.0,0.0,0.0
836d65fffffffff,8.0,0.0,0.0
836d68fffffffff,938.0,1.0,2.0
836d69fffffffff,3452.0,0.0,0.0
836d6bfffffffff,15.0,0.0,0.0
836d6cfffffffff,34.0,0.0,0.0
836d6dfffffffff,2678.0,0.0,0.0
838f0dfffffffff,247.0,21.0,0.0
838f28fffffffff,4.0,1.0,0.0
838f29fffffffff,39.0,0.0,0.0
838f2afffffffff,1.0,0.0,0.0
838f2bfffffffff,99.0,6.0,0.0
838f2cfffffffff,50.0,4.0,0.0
838f2dfffffffff,8.0,0.0,0.0
838f2efffffffff,89.0,0.0,0.0
