cell_id,Asthenes wyatti,Asthenes wyatti [wyatti Group],Asthenes wyatti [sclateri Group]
8466083ffffffff,6.0,6.0,0.0
84660b9ffffffff,13.0,13.0,0.0
84660bdffffffff,2.0,2.0,0.0
84660c3ffffffff,3.0,3.0,0.0
84660d5ffffffff,6.0,6.0,0.0
8466207ffffffff,103.0,100.0,0.0
8466217ffffffff,212.0,211.0,0.0
846622bffffffff,6.0,6.0,0.0
846623dffffffff,17.0,16.0,0.0
8466291ffffffff,2.0,2.0,0.0
8466299ffffffff,54.0,54.0,0.0
84662d3ffffffff,2.0,2.0,0.0
8466d31ffffffff,67.0,66.0,0.0
8466d33ffffffff,37.0,37.0,0.0
8466d3bffffffff,2.0,2.0,0.0
8466de5ffffffff,225.0,224.0,0.0
8466dedffffffff,6.0,6.0,0.0
8466e09ffffffff,5.0,5.0,0.0
84675a5ffffffff,1.0,1.0,0.0
848b213ffffffff,2.0,0.0,2.0
848b219ffffffff,1.0,0.0,1.0
848b255ffffffff,1.0,0.0,1.0
848b259ffffffff,4.0,0.0,4.0
848b2c9ffffffff,19.0,0.0,19.0
848b2cbffffffff,3.0,0.0,3.0
848b2cdffffffff,3.0,0.0,3.0
848b601ffffffff,1.0,0.0,0.0
848b605ffffffff,2.0,2.0,0.0
848b611ffffffff,143.0,142.0,0.0
848b613ffffffff,1.0,1.0,0.0
848b617ffffffff,8.0,8.0,0.0
848b61bffffffff,9.0,9.0,0.0
848b641ffffffff,2.0,2.0,0.0
848b651ffffffff,3.0,3.0,0.0
848b655ffffffff,1.0,1.0,0.0
848b657ffffffff,4.0,4.0,0.0
848b65dffffffff,1.0,1.0,0.0
848b6c9ffffffff,11.0,11.0,0.0
848b6cdffffffff,56.0,56.0,0.0
848b759ffffffff,2.0,2.0,0.0
848e603ffffffff,3.0,3.0,0.0
848e60bffffffff,2.0,2.0,0.0
848e60dffffffff,5.0,5.0,0.0
848e617ffffffff,4.0,4.0,0.0
848e61dffffffff,1.0,1.0,0.0
848e645ffffffff,12.0,12.0,0.0
848e647ffffffff,10.0,10.0,0.0
848e651ffffffff,2.0,2.0,0.0
848e657ffffffff,2.0,2.0,0.0
848e663ffffffff,14.0,14.0,0.0
848e669ffffffff,1.0,1.0,0.0
848e66bffffffff,57.0,55.0,0.0
848e68dffffffff,1.0,1.0,0.0
848e699ffffffff,3.0,3.0,0.0
848e6c3ffffffff,6.0,6.0,0.0
848e6c5ffffffff,6.0,5.0,0.0
848e6cdffffffff,2.0,2.0,0.0
848e6d1ffffffff,1.0,1.0,0.0
848e6d9ffffffff,20.0,19.0,0.0
848e6ddffffffff,8.0,8.0,0.0
848f291ffffffff,1.0,1.0,0.0
848f2bbffffffff,2.0,2.0,0.0
848f2d7ffffffff,4.0,4.0,0.0
848f2d9ffffffff,4.0,4.0,0.0
848f2ddffffffff,7.0,7.0,0.0
848f511ffffffff,5.0,5.0,0.0
848f519ffffffff,10.0,8.0,0.0
848f51dffffffff,5.0,5.0,0.0
848f54dffffffff,2.0,2.0,0.0
848f583ffffffff,2.0,2.0,0.0
848f58bffffffff,2.0,2.0,0.0
848f595ffffffff,2.0,2.0,0.0
848f599ffffffff,3.0,3.0,0.0
848f59dffffffff,2.0,2.0,0.0
848f5b9ffffffff,2.0,2.0,0.0
848f765ffffffff,38.0,34.0,0.0
848f767ffffffff,1.0,1.0,0.0
84b2435ffffffff,2.0,0.0,2.0
84b2583ffffffff,2.0,0.0,2.0
84b2589ffffffff,56.0,0.0,55.0
84b258bffffffff,3.0,0.0,3.0
84b25c1ffffffff,22.0,0.0,22.0
84b25c3ffffffff,12.0,0.0,12.0
84b25c9ffffffff,42.0,0.0,42.0
84b25cbffffffff,194.0,0.0,190.0
84b25d5ffffffff,1.0,0.0,1.0
84b2703ffffffff,3.0,0.0,3.0
84b2745ffffffff,1.0,0.0,1.0
84b2749ffffffff,17.0,0.0,17.0
84b2e1bffffffff,4.0,0.0,4.0
84b2ed9ffffffff,1.0,0.0,1.0
84b2ee9ffffffff,14.0,0.0,13.0
84b2eebffffffff,2.0,0.0,2.0
84b30d5ffffffff,1.0,0.0,1.0
84b3203ffffffff,1.0,0.0,1.0
84b3209ffffffff,6.0,2.0,4.0
84b320dffffffff,3.0,0.0,3.0
84b3215ffffffff,2.0,0.0,2.0
84b3219ffffffff,4.0,0.0,4.0
84b3221ffffffff,2.0,0.0,2.0
84b3241ffffffff,10.0,8.0,2.0
84b3243ffffffff,2.0,0.0,2.0
84b3245ffffffff,5.0,0.0,5.0
84b3257ffffffff,8.0,2.0,6.0
84b3261ffffffff,10.0,0.0,10.0
84b3263ffffffff,3.0,0.0,3.0
84b3267ffffffff,3.0,0.0,3.0
84b326dffffffff,12.0,0.0,12.0
84b32b3ffffffff,2.0,0.0,2.0
84b32b5ffffffff,1.0,0.0,1.0
84b32c1ffffffff,2.0,0.0,1.0
84b32dbffffffff,3.0,0.0,3.0
84b32ddffffffff,9.0,0.0,9.0
84b3341ffffffff,2.0,0.0,2.0
84b334bffffffff,2.0,0.0,2.0
84b3355ffffffff,63.0,0.0,63.0
84b335dffffffff,3.0,0.0,3.0
84b3425ffffffff,2.0,0.0,2.0
84b342dffffffff,23.0,0.0,22.0
84b346dffffffff,2.0,0.0,2.0
84b3515ffffffff,5.0,0.0,5.0
84b3517ffffffff,4.0,0.0,4.0
84b352bffffffff,2.0,0.0,2.0
84b354bffffffff,4.0,0.0,4.0
84b355bffffffff,1.0,0.0,1.0
84b35a1ffffffff,31.0,0.0,31.0
84b35a7ffffffff,138.0,0.0,137.0
84b35e1ffffffff,81.0,0.0,80.0
84b35e5ffffffff,9.0,0.0,9.0
84b3715ffffffff,2.0,0.0,2.0
84b3731ffffffff,6.0,0.0,6.0
84b3733ffffffff,5.0,0.0,5.0
