cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
846a581ffffffff,6.0,0.0,0.0,0.0
846aee3ffffffff,1.0,0.0,0.0,1.0
847a457ffffffff,1.0,0.0,0.0,1.0
847a681ffffffff,2.0,0.0,0.0,0.0
847a683ffffffff,3.0,0.0,0.0,0.0
847a687ffffffff,2.0,0.0,0.0,0.0
8496051ffffffff,1.0,0.0,0.0,0.0
8496933ffffffff,4.0,0.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0,0.0
84ac807ffffffff,2.0,0.0,0.0,0.0
84ac82dffffffff,1.0,0.0,0.0,0.0
84bc6abffffffff,2.0,0.0,0.0,2.0
84bc6bdffffffff,1.0,0.0,0.0,1.0
84bc899ffffffff,3.0,0.0,0.0,0.0
84bcc65ffffffff,2.0,0.0,0.0,0.0
84bcc69ffffffff,1.0,0.0,0.0,0.0
84bcc6dffffffff,9.0,0.0,0.0,0.0
84bcd81ffffffff,1.0,0.0,0.0,0.0
84bcd85ffffffff,1.0,0.0,0.0,0.0
84bcdcdffffffff,4.0,0.0,0.0,1.0
84bce29ffffffff,2.0,0.0,0.0,2.0
84bcf33ffffffff,5.0,0.0,0.0,0.0
84bcf5bffffffff,1.0,0.0,0.0,0.0
