cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
832681fffffffff,92.0,0.0,6.0,4.0
832683fffffffff,8.0,0.0,0.0,0.0
832685fffffffff,1.0,0.0,0.0,0.0
832688fffffffff,18.0,0.0,7.0,0.0
832689fffffffff,96.0,0.0,3.0,0.0
83268afffffffff,3.0,0.0,2.0,0.0
83268bfffffffff,15.0,0.0,0.0,0.0
83268cfffffffff,207.0,0.0,7.0,0.0
83268dfffffffff,2.0,0.0,0.0,0.0
83268efffffffff,12.0,0.0,0.0,0.0
832690fffffffff,14.0,0.0,5.0,0.0
832692fffffffff,17.0,0.0,0.0,0.0
832693fffffffff,4.0,0.0,0.0,0.0
832694fffffffff,4.0,0.0,0.0,0.0
832695fffffffff,12.0,0.0,1.0,0.0
832696fffffffff,80.0,0.0,20.0,0.0
832698fffffffff,15.0,0.0,0.0,0.0
832699fffffffff,9.0,0.0,0.0,0.0
83269afffffffff,3.0,0.0,2.0,0.0
83269bfffffffff,7.0,0.0,2.0,0.0
83269cfffffffff,3.0,0.0,1.0,0.0
83269dfffffffff,9.0,0.0,3.0,0.0
83269efffffffff,9.0,0.0,8.0,0.0
8326a8fffffffff,1.0,0.0,0.0,0.0
8326aafffffffff,48.0,0.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0,0.0
8326b3fffffffff,4.0,0.0,0.0,0.0
8326d0fffffffff,2.0,0.0,0.0,0.0
8326d1fffffffff,2.0,0.0,0.0,0.0
8326d2fffffffff,2.0,0.0,0.0,0.0
8326d3fffffffff,4.0,0.0,0.0,0.0
8326d4fffffffff,28.0,0.0,1.0,0.0
8326d6fffffffff,5.0,0.0,0.0,0.0
8326d8fffffffff,5.0,0.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0,0.0
8326defffffffff,29.0,0.0,0.0,0.0
8326f0fffffffff,3.0,0.0,0.0,0.0
8326f2fffffffff,17.0,0.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0,0.0
832806fffffffff,18.0,16.0,0.0,0.0
832811fffffffff,4.0,4.0,0.0,0.0
832813fffffffff,6.0,2.0,2.0,0.0
832814fffffffff,5.0,5.0,0.0,0.0
832815fffffffff,6.0,2.0,0.0,0.0
832818fffffffff,3.0,3.0,0.0,0.0
83281afffffffff,2.0,1.0,0.0,0.0
83281bfffffffff,2.0,2.0,0.0,0.0
83281cfffffffff,3.0,3.0,0.0,0.0
83281efffffffff,14.0,12.0,0.0,0.0
832830fffffffff,300.0,36.0,0.0,0.0
832831fffffffff,26.0,23.0,0.0,0.0
832832fffffffff,20.0,14.0,0.0,0.0
832833fffffffff,9.0,0.0,0.0,0.0
832834fffffffff,57.0,16.0,0.0,0.0
832835fffffffff,106.0,2.0,0.0,0.0
832836fffffffff,3594.0,6.0,0.0,0.0
832880fffffffff,4.0,0.0,0.0,0.0
832881fffffffff,4.0,0.0,1.0,0.0
832884fffffffff,60.0,0.0,0.0,0.0
832889fffffffff,30.0,7.0,0.0,0.0
83288bfffffffff,1.0,0.0,1.0,0.0
83288cfffffffff,2.0,0.0,0.0,0.0
83288dfffffffff,8.0,0.0,4.0,0.0
83288efffffffff,4.0,0.0,0.0,0.0
8328a1fffffffff,6.0,0.0,6.0,0.0
8328a2fffffffff,2.0,0.0,0.0,0.0
8328a3fffffffff,2.0,0.0,2.0,0.0
8328a9fffffffff,30.0,0.0,21.0,0.0
8328abfffffffff,4.0,0.0,2.0,0.0
8328acfffffffff,2.0,0.0,2.0,0.0
8328aefffffffff,7.0,0.0,3.0,0.0
8328b0fffffffff,5.0,0.0,0.0,0.0
8328b1fffffffff,17.0,0.0,2.0,0.0
8328b2fffffffff,3.0,0.0,0.0,0.0
8328b5fffffffff,1.0,0.0,0.0,0.0
